actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-17T23:10:29.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-17T23:10:29Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-17T23:10:33.0Z,1,REGULAR,jumpball,recovered,[],1629021,,,1610612753,0,0,2022-03-17T23:10:33Z,40000,,,0,,Jump Ball M. Bamba vs. M. Bagley III: Tip to M. Wagner,"[1629021, 1628964, 1628963]",1610612753.0,ORL,startperiod,M. Wagner,1629021.0,Wagner,M. Wagner,Bamba,1628964.0,Bagley III,1628963.0,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-03-17T23:10:44.0Z,1,REGULAR,2pt,Hook,[],1628964,13.222733245729303,31.862745098039213,1610612753,2,0,2022-03-17T23:11:07Z,70000,91.0,72.0,1,left,M. Bamba 11' turnaround Hook (2 PTS) (M. Wagner 1 AST),"[1628964, 1629021]",1610612753.0,ORL,turnaround,,,Bamba,M. Bamba,,,,,11.57,Made,2.0,M. Wagner,1629021.0,1.0,,,,,,,,,,,,,,
8,PT11M29.00S,2022-03-17T23:11:03.7Z,1,REGULAR,foul,offensive,[],1628963,,,1610612765,2,0,2022-03-17T23:11:16Z,80000,,,0,,M. Bagley III offensive FOUL (1 PF),"[1628963, 1629021]",1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,,,,,,,1830.0,1.0,0.0,Wagner,1629021.0,,,,,,,,,
10,PT11M29.00S,2022-03-17T23:11:03.7Z,1,REGULAR,turnover,offensive foul,[],1628963,,,1610612765,2,0,2022-03-17T23:11:03Z,100000,,,0,,M. Bagley III offensive foul TURNOVER (1 TO),[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,,,,,,,1830.0,,,,,1.0,,,,,,,,
12,PT11M13.00S,2022-03-17T23:11:30.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630175,9.149145860709593,48.529411764705884,1610612753,2,0,2022-03-17T23:11:38Z,110000,7.0,34.0,1,left,MISS C. Anthony driving Layup,[1630175],1610612753.0,ORL,driving,,,Anthony,C. Anthony,,,,,3.43,Missed,,,,,,,,,,,,,,,,,,
13,PT11M12.00S,2022-03-17T23:11:34.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,2,0,2022-03-17T23:11:34Z,120000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,
14,PT11M12.00S,2022-03-17T23:11:38.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,2,0,2022-03-17T23:11:38Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M05.00S,2022-03-17T23:12:11.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630532,11.908672798948752,50.49019607843137,1610612753,4,0,2022-03-17T23:12:18Z,140000,-2.0,59.0,1,left,F. Wagner driving Hook (2 PTS),[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,5.95,Made,2.0,,,,,,,,,,,,,,,,,
16,PT11M00.00S,2022-03-17T23:12:24.5Z,1,REGULAR,stoppage,equipment issue,[],0,,,1610612765,4,0,2022-03-17T23:12:24Z,150000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M51.00S,2022-03-17T23:12:49.3Z,1,REGULAR,foul,offensive,[],1628963,,,1610612765,4,0,2022-03-17T23:13:00Z,160000,,,0,,M. Bagley III offensive FOUL (2 PF),"[1628963, 1629021]",1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,,,,,,,1155.0,2.0,0.0,Wagner,1629021.0,,,,,,,,,
19,PT10M51.00S,2022-03-17T23:12:49.3Z,1,REGULAR,turnover,offensive foul,[],1628963,,,1610612765,4,0,2022-03-17T23:12:49Z,180000,,,0,,M. Bagley III offensive foul TURNOVER (2 TO),[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,,,,,,,1155.0,,,,,2.0,,,,,,,,
20,PT10M43.00S,2022-03-17T23:13:09.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630181,27.808804204993432,75.0,1610612753,4,0,2022-03-17T23:13:14Z,190000,-125.0,209.0,1,left,MISS R. Hampton 24' 3PT,[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,24.34,Missed,,,,,,,,,,,,,,,,,,
21,PT10M39.00S,2022-03-17T23:13:13.1Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,4,0,2022-03-17T23:13:14Z,200000,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,
22,PT10M29.00S,2022-03-17T23:13:22.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630191,90.48948751642575,45.588235294117645,1610612765,4,0,2022-03-17T23:13:29Z,210000,-22.0,37.0,1,right,MISS I. Stewart turnaround Hook,[1630191],1610612765.0,DET,turnaround,,,Stewart,I. Stewart,,,,,4.3,Missed,,,,,,,,,,,,,,,,,,
23,PT10M25.00S,2022-03-17T23:13:26.5Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,4,0,2022-03-17T23:13:29Z,220000,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,
24,PT10M21.00S,2022-03-17T23:13:30.6Z,1,REGULAR,3pt,Jump Shot,[],1628964,32.14520367936925,56.127450980392155,1610612753,7,0,2022-03-17T23:13:40Z,230000,-31.0,250.0,1,left,M. Bamba 25' 3PT  (5 PTS) (C. Anthony 1 AST),"[1628964, 1630175]",1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,25.16,Made,5.0,C. Anthony,1630175.0,1.0,,,,,,,,,,,,,,
26,PT10M04.00S,2022-03-17T23:13:46.7Z,1,REGULAR,2pt,Jump Shot,[],202709,76.2976346911958,62.745098039215684,1610612765,7,0,2022-03-17T23:13:53Z,250000,64.0,170.0,1,right,MISS C. Joseph 18' step back Shot,[202709],1610612765.0,DET,step back,,,Joseph,C. Joseph,,,,,18.18,Missed,,,,,,,,,,,,,,,,,,
27,PT10M01.00S,2022-03-17T23:13:49.7Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,7,0,2022-03-17T23:13:53Z,260000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,
28,PT09M46.00S,2022-03-17T23:14:04.7Z,1,REGULAR,3pt,Jump Shot,[],1629021,25.706307490144546,83.08823529411765,1610612753,7,0,2022-03-17T23:14:12Z,270000,-165.0,189.0,1,left,MISS M. Wagner 25' 3PT,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,25.12,Missed,,,,,,,,,,,,,,,,,,
29,PT09M41.00S,2022-03-17T23:14:09.7Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612753,7,0,2022-03-17T23:14:12Z,280000,,,0,,M. Bamba REBOUND (Off:1 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,28.0,2.0,1.0,1.0,,,,
