actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-02-05T22:10:33.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-05T22:10:33Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-05T22:10:35.8Z,1,REGULAR,jumpball,recovered,[],1628991,,,1610612763,0,0,2022-02-05T22:10:35Z,40000,,,0,,Jump Ball S. Adams vs. M. Bamba: Tip to J. Jackson Jr.,"[1628991, 203500, 1628964]",1610612763.0,MEM,startperiod,J. Jackson Jr.,1628991.0,Jackson Jr.,J. Jackson Jr.,Adams,203500.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-02-05T22:10:49.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628991,6.389618922470433,47.30392156862745,1610612763,0,2,2022-02-05T22:10:56Z,70000,13.0,8.0,1,left,J. Jackson Jr. alley-oop DUNK (2 PTS) (J. Morant 1 AST),"[1628991, 1629630]",1610612763.0,MEM,alley-oop,,,Jackson Jr.,J. Jackson Jr.,,,,,1.55,Made,2.0,J. Morant,1629630.0,1.0,,,,,,,,,,,,,,
9,PT11M19.00S,2022-02-05T22:11:12.6Z,1,REGULAR,3pt,Jump Shot,[],1630591,71.17279894875165,79.90196078431373,1610612753,3,2,2022-02-05T22:11:19Z,90000,150.0,218.0,1,right,J. Suggs 26' 3PT  (3 PTS) (F. Wagner 1 AST),"[1630591, 1630532]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,26.47,Made,3.0,F. Wagner,1630532.0,1.0,,,,,,,,,,,,,,
11,PT11M01.00S,2022-02-05T22:11:31.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,9.067017082785808,50.85018382352941,1610612763,3,2,2022-02-05T22:11:42Z,110000,-4.0,33.0,1,left,MISS J. Jackson Jr. driving Hook,[1628991],1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,3.3,Missed,,,,,,,,,,,,,,,,,,
12,PT10M57.00S,2022-02-05T22:11:35.0Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,3,2,2022-02-05T22:11:42Z,120000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M50.00S,2022-02-05T22:11:42.1Z,1,REGULAR,3pt,Jump Shot,[],1628976,67.62483574244416,24.754901960784316,1610612753,3,2,2022-02-05T22:11:48Z,130000,-126.0,252.0,1,right,MISS W. Carter Jr. 28' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,28.17,Missed,,,,,,,,,,,,,,,,,,
14,PT10M49.00S,2022-02-05T22:11:46.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,3,2,2022-02-05T22:11:46Z,140000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,
15,PT10M49.00S,2022-02-05T22:11:49.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,3,2,2022-02-05T22:11:49Z,150000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M46.00S,2022-02-05T22:12:05.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628976,92.32917214191852,49.26470588235294,1610612753,5,2,2022-02-05T22:12:11Z,160000,-4.0,20.0,1,right,W. Carter Jr. driving Layup (2 PTS) (J. Suggs 1 AST),"[1628976, 1630591]",1610612753.0,ORL,driving,,,Carter Jr.,W. Carter Jr.,,,,,1.99,Made,2.0,J. Suggs,1630591.0,1.0,,,,,,,,,,,,,,
18,PT10M46.00S,2022-02-05T22:12:08.9Z,1,REGULAR,foul,personal,['1freethrow'],203500,,,1610612753,5,2,2022-02-05T22:12:19Z,180000,,,0,,S. Adams shooting personal FOUL (1 PF) (Carter Jr. 1 FT),"[203500, 1628976]",1610612763.0,MEM,shooting,,,Adams,S. Adams,,,,,,,,,,,,,,,201640.0,1.0,0.0,Carter Jr.,1628976.0,,,,,
20,PT10M46.00S,2022-02-05T22:12:32.9Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1628976,,,1610612753,6,2,2022-02-05T22:12:32Z,200000,,,0,,W. Carter Jr. Free Throw 1 of 1 (3 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
