actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-14T00:12:35.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-14T00:12:35Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-14T00:12:37.6Z,1,REGULAR,jumpball,recovered,[],1630175,,,1610612753,0,0,2021-11-14T00:12:37Z,40000,,,0,,Jump Ball M. Bamba vs. D. Gafford: Tip to C. Anthony,"[1630175, 1628964, 1629655]",1610612753.0,ORL,startperiod,C. Anthony,1630175.0,Anthony,C. Anthony,Bamba,1628964.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-11-14T00:12:50.4Z,1,REGULAR,turnover,bad pass,[],1630175,,,1610612753,0,0,2021-11-14T00:12:56Z,70000,,,0,,C. Anthony bad pass TURNOVER (1 TO),"[1630175, 1628398]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,1.0,Kuzma,1628398.0,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2021-11-14T00:12:50.4Z,1,REGULAR,steal,,[],1628398,,,1610612764,0,0,2021-11-14T00:12:52Z,80000,,,0,,K. Kuzma STEAL (1 STL),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M22.00S,2021-11-14T00:13:12.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203915,28.695795006570307,87.00980392156862,1610612764,0,0,2021-11-14T00:13:18Z,90000,-185.0,217.0,1,left,MISS S. Dinwiddie 28' 3PT,[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,28.53,Missed,,,,,,,,,,,,,,,,
10,PT11M18.00S,2021-11-14T00:13:16.8Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,0,0,2021-11-14T00:13:18Z,100000,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,
11,PT11M06.00S,2021-11-14T00:13:28.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630591,91.63929040735874,57.59803921568628,1610612753,0,0,2021-11-14T00:14:35Z,110000,38.0,26.0,1,right,MISS J. Suggs driving finger roll Layup,[1630591],1610612753.0,ORL,driving finger roll,,,Suggs,J. Suggs,,,,,,,,4.61,Missed,,,,,,,,,,,,,,,,
12,PT11M04.00S,2021-11-14T00:13:30.6Z,1,REGULAR,rebound,defensive,[],203915,,,1610612764,0,0,2021-11-14T00:13:33Z,120000,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,
13,PT10M50.00S,2021-11-14T00:13:47.9Z,1,REGULAR,foul,personal,[],1628976,,,1610612764,0,0,2021-11-14T00:13:55Z,130000,,,0,,W. Carter Jr. personal FOUL (1 PF),"[1628976, 203484]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,1151.0,1.0,0.0,Caldwell-Pope,203484.0,,,,,,,
15,PT10M43.00S,2021-11-14T00:14:17.6Z,1,REGULAR,turnover,traveling,[],1628398,,,1610612764,0,0,2021-11-14T00:14:26Z,150000,,,0,,K. Kuzma traveling TURNOVER (1 TO),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,1.0,,,,,,,,,1151.0,,,,,,,,,,,
16,PT10M33.00S,2021-11-14T00:14:39.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630175,83.09789750328515,29.90196078431373,1610612753,0,0,2021-11-14T00:14:50Z,160000,-100.0,106.0,1,right,MISS C. Anthony 14' pullup Shot,[1630175],1610612753.0,ORL,pullup,,,Anthony,C. Anthony,,,,,,,,14.64,Missed,,,,,,,,,,,,,,,,
17,PT10M32.00S,2021-11-14T00:14:40.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,0,0,2021-11-14T00:14:50Z,170000,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,
18,PT10M32.00S,2021-11-14T00:14:45.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612764,0,0,2021-11-14T00:14:45Z,180000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
