actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-09T00:10:40.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-09T00:10:40Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-09T00:10:43.8Z,1,REGULAR,jumpball,recovered,[],1626166,,,1610612756,0,0,2022-03-09T00:10:43Z,40000,,,0,,Jump Ball D. Ayton vs. M. Bamba: Tip to C. Payne,"[1626166, 1629028, 1628964]",1610612756.0,PHX,startperiod,C. Payne,1626166.0,Payne,C. Payne,Ayton,1629028.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2022-03-09T00:10:52.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,7.703679369250986,43.872549019607845,1610612756,0,2,2022-03-09T00:10:59Z,70000,31.0,20.0,1,left,D. Ayton alley-oop DUNK (2 PTS) (C. Payne 1 AST),"[1629028, 1626166]",1610612756.0,PHX,alley-oop,,,Ayton,D. Ayton,,,,,3.65,Made,2.0,C. Payne,1626166.0,1.0,,,,,,,,,,,,,,,
9,PT11M18.00S,2022-03-09T00:11:22.2Z,1,REGULAR,3pt,Jump Shot,[],1630175,71.04139290407359,80.14705882352942,1610612753,0,2,2022-03-09T00:11:28Z,90000,151.0,220.0,1,right,MISS C. Anthony 26' 3PT,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,26.64,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M15.00S,2022-03-09T00:11:25.2Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,0,2,2022-03-09T00:11:28Z,100000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M08.00S,2022-03-09T00:11:32.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,15.456636005256241,50.245098039215684,1610612756,0,2,2022-03-09T00:11:36Z,110000,-1.0,93.0,1,left,MISS M. Bridges 9' driving floating Shot,[1628969],1610612756.0,PHX,driving floating,,,Bridges,M. Bridges,,,,,9.28,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M04.00S,2022-03-09T00:11:35.0Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,0,2,2022-03-09T00:11:35Z,120000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT10M57.00S,2022-03-09T00:11:42.8Z,1,REGULAR,3pt,Jump Shot,[],1628976,73.80091984231275,12.990196078431374,1610612753,0,2,2022-03-09T00:11:49Z,130000,-185.0,194.0,1,right,MISS W. Carter Jr. 26' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,26.79,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2022-03-09T00:11:45.8Z,1,REGULAR,rebound,defensive,[],203109,,,1610612756,0,2,2022-03-09T00:11:49Z,140000,,,0,,J. Crowder REBOUND (Off:0 Def:1),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT10M42.00S,2022-03-09T00:11:57.4Z,1,REGULAR,2pt,Jump Shot,[],1629028,10.5946123521682,28.921568627450984,1610612756,0,4,2022-03-09T00:12:04Z,150000,105.0,47.0,1,left,D. Ayton 11' turnaround Jump Shot (4 PTS) (C. Payne 2 AST),"[1629028, 1626166]",1610612756.0,PHX,turnaround,,,Ayton,D. Ayton,,,,,11.54,Made,4.0,C. Payne,1626166.0,2.0,,,,,,,,,,,,,,,
17,PT10M35.00S,2022-03-09T00:12:05.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,91.93495400788436,42.64705882352941,1610612753,0,4,2022-03-09T00:12:22Z,170000,-37.0,23.0,1,right,MISS F. Wagner running Layup,[1630532],1610612753.0,ORL,running,,,Wagner,F. Wagner,,,,,4.36,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M33.00S,2022-03-09T00:12:07.0Z,1,REGULAR,rebound,defensive,[],203109,,,1610612756,0,4,2022-03-09T00:12:13Z,180000,,,0,,J. Crowder REBOUND (Off:0 Def:2),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,17.0,2.0,2.0,0.0,,,,,,,,,,,
19,PT10M27.00S,2022-03-09T00:12:12.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626166,32.670827858081466,57.35294117647059,1610612756,0,7,2022-03-09T00:13:06Z,190000,-37.0,255.0,1,left,C. Payne 25' 3PT  (3 PTS),[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,25.72,Made,3.0,,,,,,,,,,,,,,,,,,
20,PT10M11.00S,2022-03-09T00:12:29.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628964,88.91261498028909,53.18627450980392,1610612753,2,7,2022-03-09T00:12:35Z,200000,16.0,52.0,1,right,M. Bamba Hook (2 PTS) (R. Hampton 1 AST),"[1628964, 1630181]",1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,5.41,Made,2.0,R. Hampton,1630181.0,1.0,,,,,,,,,,,,,,,
