actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
23,PT10M19.00S,2022-03-12T00:13:00.2Z,1,REGULAR,freethrow,1 of 2,[],1630532,,,1610612753,4,6,2022-03-12T00:13:00Z,230000,,,0,,F. Wagner Free Throw 1 of 2 (1 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,Made,,,,,1.0,,,,,,,,,,
24,PT10M19.00S,2022-03-12T00:13:13.8Z,1,REGULAR,freethrow,2 of 2,[],1630532,,,1610612753,5,6,2022-03-12T00:13:13Z,240000,,,0,,F. Wagner Free Throw 2 of 2 (2 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,Made,,,,,2.0,,,,,,,,,,
25,PT10M10.00S,2022-03-12T00:13:23.6Z,1,REGULAR,3pt,Jump Shot,[],1626156,67.88764783180025,28.921568627450984,1610612750,5,9,2022-03-12T00:13:32Z,250000,-105.0,249.0,1,right,D. Russell 27' 3PT  (3 PTS),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,27.08,Made,,,,,3.0,,,,,,,,,,
26,PT09M45.00S,2022-03-12T00:13:48.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628976,9.674770039421814,56.61764705882353,1610612753,7,9,2022-03-12T01:11:55Z,260000,-33.0,38.0,1,left,W. Carter Jr. driving floating bank Jump Shot (2 PTS),[1628976],1610612753.0,ORL,driving floating bank,,,Carter Jr.,W. Carter Jr.,,,,,,,,5.07,Made,,,,,2.0,,,,,,,,,,
27,PT09M36.00S,2022-03-12T00:13:58.1Z,1,REGULAR,3pt,Jump Shot,[],1626156,66.04796320630749,40.68627450980392,1610612750,7,9,2022-03-12T00:15:39Z,270000,-47.0,267.0,1,right,MISS D. Russell 27' pullup 3PT,[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,,,,27.06,Missed,,,,,,,,,,,,,,,
28,PT09M34.00S,2022-03-12T00:14:00.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,7,9,2022-03-12T00:14:04Z,280000,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,
29,PT09M34.00S,2022-03-12T00:14:05.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,7,9,2022-03-12T00:14:05Z,290000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M23.00S,2022-03-12T00:14:22.4Z,1,REGULAR,foul,personal,[],1626157,,,1610612753,7,9,2022-03-12T00:14:33Z,300000,,,0,,K. Towns personal FOUL (1 PF),"[1626157, 1628976]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Carter Jr.,1628976.0,,
32,PT09M20.00S,2022-03-12T00:14:43.8Z,1,REGULAR,foul,personal,[],1630162,,,1610612753,7,9,2022-03-12T00:14:56Z,320000,,,0,,A. Edwards personal FOUL (1 PF),"[1630162, 1630532]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,1627524.0,1.0,0.0,Wagner,1630532.0,,
34,PT09M13.00S,2022-03-12T00:15:03.6Z,1,REGULAR,3pt,Jump Shot,[],1630175,32.933639947437584,38.23529411764706,1610612753,7,9,2022-03-12T00:15:08Z,340000,59.0,257.0,1,left,MISS C. Anthony 26' 3PT,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,26.37,Missed,,,,,,,,,,,,,,,
