actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-02-17T00:11:51.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-17T00:11:51Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2022-02-17T00:11:56.9Z,1,REGULAR,jumpball,recovered,[],1630591,,,1610612753,0,0,2022-02-17T00:11:56Z,40000,,,0,,Jump Ball M. Bamba vs. C. Capela: Tip to J. Suggs,"[1630591, 1628964, 203991]",1610612753.0,ORL,startperiod,J. Suggs,1630591.0,Suggs,J. Suggs,Bamba,1628964.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-02-17T00:12:09.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630175,7.966491458607096,52.20588235294118,1610612753,2,0,2022-02-17T00:12:16Z,70000,-11.0,22.0,1,left,C. Anthony driving Layup (2 PTS),[1630175],1610612753.0,ORL,driving,,,Anthony,C. Anthony,,,,,2.5,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M19.00S,2022-02-17T00:12:30.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,88.64980289093299,57.84313725490197,1610612737,2,2,2022-02-17T00:12:46Z,80000,39.0,54.0,1,right,D. Hunter 6' Jump Shot (2 PTS) (C. Capela 1 AST),"[1629631, 203991]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,6.69,Made,2.0,C. Capela,203991.0,1.0,,,,,,,,,,,,,,
10,PT11M00.00S,2022-02-17T00:12:49.8Z,1,REGULAR,3pt,Jump Shot,[],1628976,31.35676741130092,37.5,1610612753,2,2,2022-02-17T00:12:54Z,100000,62.0,242.0,1,left,MISS W. Carter Jr. 25' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,25.02,Missed,,,,,,,,,,,,,,,,,,
11,PT10M57.00S,2022-02-17T00:12:52.8Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,2,2,2022-02-17T00:12:54Z,110000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT10M52.00S,2022-02-17T00:12:58.5Z,1,REGULAR,3pt,Jump Shot,[],1629027,62.89421813403416,49.50980392156863,1610612737,2,5,2022-02-17T00:13:11Z,120000,-2.0,296.0,1,right,T. Young 29' 3PT pullup (3 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,29.63,Made,3.0,,,,,,,,,,,,,,,,,
13,PT10M33.00S,2022-02-17T00:13:19.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628976,13.87976346911958,56.86274509803921,1610612753,2,5,2022-02-17T00:13:24Z,130000,-34.0,78.0,1,left,MISS W. Carter Jr. 8' turnaround Shot,[1628976],1610612753.0,ORL,turnaround,,,Carter Jr.,W. Carter Jr.,,,,,8.52,Missed,,,,,,,,,,,,,,,,,,
14,PT10M32.00S,2022-02-17T00:13:20.4Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,2,5,2022-02-17T00:13:24Z,140000,,,0,,C. Capela REBOUND (Off:0 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,13.0,2.0,2.0,0.0,,,,,,,,,,
15,PT10M32.00S,2022-02-17T00:13:29.2Z,1,REGULAR,stoppage,equipment issue,[],0,,,1610612737,2,5,2022-02-17T00:13:29Z,150000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M13.00S,2022-02-17T00:14:00.5Z,1,REGULAR,2pt,Jump Shot,[],201568,92.72339027595268,69.36274509803921,1610612737,2,5,2022-02-17T00:14:34Z,160000,97.0,16.0,1,right,MISS D. Gallinari 9' fadeaway Shot,[201568],1610612737.0,ATL,fadeaway,,,Gallinari,D. Gallinari,,,,,9.81,Missed,,,,,,,,,,,,,,,,,,
17,PT10M10.00S,2022-02-17T00:14:03.5Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,2,5,2022-02-17T00:14:05Z,170000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,
18,PT10M06.00S,2022-02-17T00:14:07.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630532,6.389618922470433,49.26470588235294,1610612753,4,5,2022-02-17T00:14:14Z,180000,4.0,8.0,1,left,F. Wagner running DUNK (2 PTS) (C. Anthony 1 AST),"[1630532, 1630175]",1610612753.0,ORL,running,,,Wagner,F. Wagner,,,,,0.85,Made,2.0,C. Anthony,1630175.0,1.0,,,,,,,,,,,,,,
20,PT09M57.00S,2022-02-17T00:14:15.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,87.59855453350855,54.41176470588235,1610612737,4,5,2022-02-17T00:14:22Z,200000,22.0,64.0,1,right,MISS T. Young 6' driving floating Shot - blocked,"[1629027, 1628964]",1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,6.78,Missed,,,,,,,,,Bamba,1628964.0,,,,,,,,
21,PT09M57.00S,2022-02-17T00:14:15.6Z,1,REGULAR,block,,[],1628964,,,1610612737,4,5,2022-02-17T00:14:19Z,210000,,,0,,M. Bamba BLOCK (1 BLK),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,
22,PT09M53.00S,2022-02-17T00:14:19.6Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,4,5,2022-02-17T00:14:22Z,220000,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,
23,PT09M51.00S,2022-02-17T00:14:22.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630175,6.783837056504599,48.77450980392157,1610612753,6,5,2022-02-17T00:14:35Z,230000,6.0,11.0,1,left,C. Anthony running Layup (4 PTS) (W. Carter Jr. 1 AST),"[1630175, 1628976]",1610612753.0,ORL,running,,,Anthony,C. Anthony,,,,,1.28,Made,4.0,W. Carter Jr.,1628976.0,1.0,,,,,,,,,,,,,,
