actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-12-02T00:10:50.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-02T00:10:50Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT12M00.00S,2021-12-02T00:10:58.9Z,1,REGULAR,jumpball,recovered,[],203999,,,1610612743,0,0,2021-12-02T00:16:11Z,23750,,,0,,Jump Ball J. Green vs. M. Bamba: Tip to N. Jokic,"[203999, 201145, 1628964]",1610612743.0,DEN,startperiod,N. Jokic,203999.0,Jokic,N. Jokic,Green,201145.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,,,,,
3,PT11M43.00S,2021-12-02T00:11:07.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,90.48948751642575,50.98039215686274,1610612743,0,2,2021-12-02T00:11:19Z,30000,5.0,37.0,1,right,A. Gordon driving Layup (2 PTS) (N. Jokic 1 AST),"[203932, 203999]",1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,3.72,Made,2.0,N. Jokic,203999.0,1.0,,,,,,,,,,,,,,,
5,PT11M28.00S,2021-12-02T00:11:21.3Z,1,REGULAR,3pt,Jump Shot,[],203914,5.863994743758213,95.34313725490196,1610612753,0,2,2021-12-02T00:11:27Z,50000,-227.0,3.0,1,left,MISS G. Harris 3PT,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,22.67,Missed,,,,,,,,,,,,,,,,,,,
6,PT11M24.00S,2021-12-02T00:11:25.3Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612743,0,2,2021-12-02T00:11:27Z,60000,,,0,,M. Morris REBOUND (Off:0 Def:1),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,5.0,1.0,1.0,0.0,,,,,,,,,,,
7,PT11M12.00S,2021-12-02T00:11:38.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203115,91.93495400788436,50.73529411764706,1610612743,0,4,2021-12-02T00:11:46Z,70000,4.0,23.0,1,right,W. Barton driving Layup (2 PTS) (N. Jokic 2 AST),"[203115, 203999]",1610612743.0,DEN,driving,,,Barton,W. Barton,,,,,2.36,Made,2.0,N. Jokic,203999.0,2.0,,,,,,,,,,,,,,,
10,PT10M53.00S,2021-12-02T00:11:57.2Z,1,REGULAR,3pt,Jump Shot,[],1628964,32.013797634691194,50.73529411764706,1610612753,0,4,2021-12-02T00:12:01Z,90000,-4.0,248.0,1,left,MISS M. Bamba 24' 3PT,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,24.84,Missed,,,,,,,,,,,,,,,,,,,
11,PT10M50.00S,2021-12-02T00:12:00.2Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,4,2021-12-02T00:12:01Z,100000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT10M39.00S,2021-12-02T00:12:13.9Z,1,REGULAR,foul,personal,['2freethrow'],1628964,,,1610612743,0,4,2021-12-02T00:12:35Z,110000,,,0,,M. Bamba shooting personal FOUL (1 PF) (Green 2 FT),"[1628964, 201145]",1610612753.0,ORL,shooting,,,Bamba,M. Bamba,,,,,,,,,,,,,,,202058.0,1.0,0.0,Green,201145.0,,,,,,
17,PT10M39.00S,2021-12-02T00:12:44.4Z,1,REGULAR,freethrow,1 of 2,[],201145,,,1610612743,0,5,2021-12-02T00:12:44Z,130000,,,0,,J. Green Free Throw 1 of 2 (1 PTS),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
