actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,officialId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-29T00:10:30.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-29T00:10:30Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-01-29T00:10:34.7Z,1,REGULAR,jumpball,recovered,[],1630175,,,1610612753,0,0,2022-01-29T00:10:34Z,40000,,,0,,Jump Ball M. Bamba vs. I. Stewart: Tip to C. Anthony,"[1630175, 1628964, 1630191]",1610612753.0,ORL,startperiod,C. Anthony,1630175.0,Anthony,C. Anthony,Bamba,1628964.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M55.00S,2022-01-29T00:10:40.1Z,1,REGULAR,stoppage,equipment issue,[],0,,,1610612753,0,0,2022-01-29T00:10:40Z,70000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2022-01-29T00:11:13.7Z,1,REGULAR,3pt,Jump Shot,[],1630532,32.802233902759525,29.166666666666668,1610612753,0,0,2022-01-29T00:11:32Z,80000,104.0,256.0,1,left,MISS F. Wagner 27' 3PT,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,27.62,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M32.00S,2022-01-29T00:11:13.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,0,0,2022-01-29T00:11:32Z,90000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,
10,PT11M32.00S,2022-01-29T00:11:22.4Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612753,0,0,2022-01-29T00:11:36Z,100000,,,0,,ORL shot clock Team TURNOVER,[],1610612753.0,ORL,,,,,,,,,,,,,1628951.0,,,,,,,,,,,,,,,,,
12,PT11M24.00S,2022-01-29T00:11:36.1Z,1,REGULAR,turnover,bad pass,[],1630180,,,1610612765,0,0,2022-01-29T00:11:43Z,110000,,,0,,S. Bey bad pass TURNOVER (1 TO),"[1630180, 1630591]",1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,1.0,Suggs,1630591.0,,,,,,,,,,,,,,
13,PT11M24.00S,2022-01-29T00:11:36.1Z,1,REGULAR,steal,,[],1630591,,,1610612753,0,0,2022-01-29T00:11:40Z,120000,,,0,,J. Suggs STEAL (1 STL),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M16.00S,2022-01-29T00:11:42.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630532,7.490144546649145,48.60600490196079,1610612753,2,0,2022-01-29T00:12:14Z,130000,7.0,18.0,1,left,F. Wagner running Layup (2 PTS) (J. Suggs 1 AST),"[1630532, 1630591]",1610612753.0,ORL,running,,,Wagner,F. Wagner,,,,,1.92,Made,,,,,,2.0,J. Suggs,1630591.0,1.0,,,,,,,,,,
16,PT10M52.00S,2022-01-29T00:12:06.8Z,1,REGULAR,2pt,Jump Shot,[],1630180,81.02825229960578,79.16666666666666,1610612765,2,0,2022-01-29T00:20:32Z,150000,146.0,126.0,1,right,MISS S. Bey 19' fadeaway Shot,[1630180],1610612765.0,DET,fadeaway,,,Bey,S. Bey,,,,,19.26,Missed,,,,,,,,,,,,,,,,,,,
