actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-31T00:10:39.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-31T00:10:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-31T00:10:42.1Z,1,REGULAR,jumpball,recovered,[],1630175,,,1610612753,0,0,2022-01-31T00:10:42Z,40000,,,0,,Jump Ball M. Bamba vs. D. Powell: Tip to C. Anthony,"[1630175, 1628964, 203939]",1610612753.0,ORL,startperiod,C. Anthony,1630175.0,Anthony,C. Anthony,Bamba,1628964.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-01-31T00:11:01.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,0,0,2022-01-31T00:11:01Z,70000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2022-01-31T00:11:18.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630175,10.988830486202366,37.5,1610612753,2,0,2022-01-31T00:11:28Z,80000,62.0,51.0,1,left,C. Anthony 8' driving finger roll Layup (2 PTS),[1630175],1610612753.0,ORL,driving finger roll,,,Anthony,C. Anthony,,,,,8.05,Made,2.0,,,,,,,,,,,,,,,,,,
9,PT11M15.00S,2022-01-31T00:11:37.6Z,1,REGULAR,3pt,Jump Shot,[],1628467,85.62746386333771,96.56862745098039,1610612742,2,3,2022-01-31T00:11:42Z,90000,233.0,83.0,1,right,M. Kleber 24' 3PT  (3 PTS) (L. Doncic 1 AST),"[1628467, 1629029]",1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,24.7,Made,3.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,,,,,
11,PT10M59.00S,2022-01-31T00:11:53.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630532,7.835085413929041,57.107843137254896,1610612753,4,3,2022-01-31T00:11:59Z,110000,-36.0,21.0,1,left,F. Wagner driving bank Hook (2 PTS) (J. Suggs 1 AST),"[1630532, 1630591]",1610612753.0,ORL,driving bank,,,Wagner,F. Wagner,,,,,4.13,Made,2.0,J. Suggs,1630591.0,1.0,,,,,,,,,,,,,,,
13,PT10M40.00S,2022-01-31T00:12:12.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203939,90.62089356110381,44.36274509803921,1610612742,4,5,2022-01-31T00:13:31Z,130000,-28.0,36.0,1,right,D. Powell alley-oop DUNK (2 PTS) (L. Doncic 2 AST),"[203939, 1629029]",1610612742.0,DAL,alley-oop,,,Powell,D. Powell,,,,,4.55,Made,2.0,L. Doncic,1629029.0,2.0,,,,,,,,,,,,,,,
15,PT10M21.00S,2022-01-31T00:12:31.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628976,6.258212877792378,44.85294117647059,1610612753,6,5,2022-01-31T00:12:36Z,150000,26.0,6.0,1,left,W. Carter Jr. Layup (2 PTS) (J. Suggs 2 AST),"[1628976, 1630591]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,2.65,Made,2.0,J. Suggs,1630591.0,2.0,,,,,,,,,,,,,,,
17,PT10M00.00S,2022-01-31T00:12:52.5Z,1,REGULAR,3pt,Jump Shot,[],1629029,85.62746386333771,95.34313725490196,1610612742,6,8,2022-01-31T00:12:56Z,170000,227.0,83.0,1,right,L. Doncic 24' 3PT  (3 PTS) (D. Finney-Smith 1 AST),"[1629029, 1627827]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,24.13,Made,3.0,D. Finney-Smith,1627827.0,1.0,,,,,,,,,,,,,,,
19,PT09M41.00S,2022-01-31T00:13:10.9Z,1,REGULAR,2pt,Jump Shot,[],1630591,19.530223390275953,29.65686274509804,1610612753,6,8,2022-01-31T00:13:15Z,190000,102.0,131.0,1,left,MISS J. Suggs 16' pullup Shot,[1630591],1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,16.59,Missed,,,,,,,,,,,,,,,,,,,
20,PT09M39.00S,2022-01-31T00:13:12.9Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612742,6,8,2022-01-31T00:13:15Z,200000,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,
21,PT09M24.00S,2022-01-31T00:13:27.9Z,1,REGULAR,3pt,Jump Shot,[],1629029,70.25295663600527,8.088235294117647,1610612742,6,8,2022-01-31T00:13:31Z,210000,-210.0,227.0,1,right,MISS L. Doncic 30' pullup 3PT,[1629029],1610612742.0,DAL,pullup,,,Doncic,L. Doncic,,,,,30.9,Missed,,,,,,,,,,,,,,,,,,,
22,PT09M21.00S,2022-01-31T00:13:30.9Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,6,8,2022-01-31T00:13:30Z,220000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,
23,PT09M18.00S,2022-01-31T00:13:37.1Z,1,REGULAR,turnover,traveling,[],1628976,,,1610612753,6,8,2022-01-31T00:13:44Z,230000,,,0,,W. Carter Jr. traveling TURNOVER (1 TO),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,1363.0,1.0,,,,,,,,,
24,PT09M07.00S,2022-01-31T00:14:02.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627827,69.33311432325887,23.03921568627451,1610612742,6,11,2022-01-31T00:14:07Z,240000,-135.0,236.0,1,right,D. Finney-Smith 27' 3PT  (3 PTS) (L. Doncic 3 AST),"[1627827, 1629029]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,27.16,Made,3.0,L. Doncic,1629029.0,3.0,,,,,,,,,,,,,,,
26,PT08M54.00S,2022-01-31T00:14:16.1Z,1,REGULAR,turnover,bad pass,[],1630591,,,1610612753,6,11,2022-01-31T00:14:20Z,260000,,,0,,J. Suggs bad pass TURNOVER (1 TO),"[1630591, 203939]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,1.0,Powell,203939.0,,,,,,,
27,PT08M54.00S,2022-01-31T00:14:16.1Z,1,REGULAR,steal,,[],203939,,,1610612742,6,11,2022-01-31T00:14:18Z,270000,,,0,,D. Powell STEAL (1 STL),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT08M51.00S,2022-01-31T00:14:19.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203939,89.83245729303549,50.245098039215684,1610612742,6,13,2022-01-31T00:14:25Z,280000,1.0,43.0,1,right,D. Powell running DUNK (4 PTS),[203939],1610612742.0,DAL,running,,,Powell,D. Powell,,,,,4.31,Made,4.0,,,,,,,,,,,,,,,,,,
29,PT08M50.00S,2022-01-31T00:14:36.3Z,1,REGULAR,timeout,full,['team'],0,,,1610612753,6,13,2022-01-31T00:15:00Z,290000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT08M34.00S,2022-01-31T00:17:37.6Z,1,REGULAR,turnover,out-of-bounds,[],1630532,,,1610612753,6,13,2022-01-31T00:17:46Z,300000,,,0,,F. Wagner bad pass out-of-bounds TURNOVER (1 TO),[1630532],1610612753.0,ORL,bad pass,,,Wagner,F. Wagner,,,,,,,,,,,,,,,1626300.0,1.0,,,,,,,,,
31,PT08M13.00S,2022-01-31T00:18:03.4Z,1,REGULAR,foul,technical,['1freethrow'],1628964,,,1610612742,6,13,2022-01-31T00:18:18Z,310000,,,0,,M. Bamba defensive-3-second technical FOUL (1 Tech),[1628964],1610612753.0,ORL,defensive-3-second,,,Bamba,M. Bamba,,,,,,,,,,,,,,,1363.0,,,,0.0,1.0,,,,,
32,PT08M13.00S,2022-01-31T00:18:26.9Z,1,REGULAR,freethrow,1 of 1,[],1628973,,,1610612742,6,14,2022-01-31T00:18:26Z,320000,,,0,,J. Brunson technical Free Throw 1 of 1 (1 PTS),[1628973],1610612742.0,DAL,technical,,,Brunson,J. Brunson,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
33,PT08M04.00S,2022-01-31T00:18:45.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628973,70.77858081471747,79.16666666666666,1610612742,6,14,2022-01-31T00:18:50Z,330000,146.0,222.0,1,right,MISS J. Brunson 26' pullup 3PT,[1628973],1610612742.0,DAL,pullup,,,Brunson,J. Brunson,,,,,26.58,Missed,,,,,,,,,,,,,,,,,,,
34,PT08M02.00S,2022-01-31T00:18:47.7Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,6,14,2022-01-31T00:18:50Z,340000,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,
35,PT07M50.00S,2022-01-31T00:18:59.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628964,7.5722733245729295,38.970588235294116,1610612753,8,14,2022-01-31T00:19:03Z,350000,55.0,19.0,1,left,M. Bamba Layup (2 PTS),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,5.82,Made,2.0,,,,,,,,,,,,,,,,,,
37,PT07M33.00S,2022-01-31T00:19:19.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,8,14,2022-01-31T00:19:19Z,370000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT07M31.00S,2022-01-31T00:19:48.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628467,92.06636005256242,57.35294117647059,1610612742,8,14,2022-01-31T00:19:51Z,380000,37.0,22.0,1,right,MISS M. Kleber Layup,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,4.29,Missed,,,,,,,,,,,,,,,,,,,
39,PT07M29.00S,2022-01-31T00:19:50.4Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,8,14,2022-01-31T00:19:51Z,390000,,,0,,M. Bamba REBOUND (Off:0 Def:2),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,38.0,2.0,2.0,0.0,,,,,,,,,,,
40,PT07M24.00S,2022-01-31T00:19:57.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,8,14,2022-01-31T00:19:57Z,400000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT07M24.00S,2022-01-31T00:20:03.4Z,1,REGULAR,substitution,out,[],1628973,,,1610612753,8,14,2022-01-31T00:20:12Z,410000,,,0,,SUB out: J. Brunson,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT07M24.00S,2022-01-31T00:20:03.4Z,1,REGULAR,substitution,in,[],203493,,,1610612753,8,14,2022-01-31T00:20:12Z,420000,,,0,,SUB in: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,
