actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-05T23:10:13.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-05T23:10:13Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-05T23:10:16.4Z,1,REGULAR,jumpball,recovered,[],1630175,,,1610612753,0,0,2021-11-05T23:10:16Z,40000,,,0,,Jump Ball M. Bamba vs. D. Eubanks: Tip to C. Anthony,"[1630175, 1628964, 1629234]",1610612753.0,ORL,startperiod,C. Anthony,1630175.0,Anthony,C. Anthony,Bamba,1628964.0,Eubanks,1629234.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2021-11-05T23:10:28.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,0,0,2021-11-05T23:10:29Z,70000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2021-11-05T23:10:44.4Z,1,REGULAR,3pt,Jump Shot,[],1630591,26.363337713534822,21.323529411764707,1610612753,0,0,2021-11-05T23:10:52Z,80000,143.0,195.0,1,left,MISS J. Suggs 24' 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,24.23,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2021-11-05T23:10:49.4Z,1,REGULAR,rebound,defensive,[],203926,,,1610612759,0,0,2021-11-05T23:10:52Z,90000,,,0,,D. McDermott REBOUND (Off:0 Def:1),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
10,PT11M17.00S,2021-11-05T23:11:05.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629234,92.19776609724047,45.83333333333333,1610612759,0,2,2021-11-05T23:11:12Z,100000,-21.0,21.0,1,right,D. Eubanks DUNK (2 PTS) (K. Johnson 1 AST),"[1629234, 1629640]",1610612759.0,SAS,,,,Eubanks,D. Eubanks,,,,,2.94,Made,,,,,2.0,K. Johnson,1629640.0,1.0,,,,,,,,,,,
12,PT10M57.00S,2021-11-05T23:11:25.4Z,1,REGULAR,3pt,Jump Shot,[],1628976,29.6484888304862,31.862745098039213,1610612753,0,2,2021-11-05T23:11:30Z,120000,91.0,226.0,1,left,MISS W. Carter Jr. 24' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,24.37,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M54.00S,2021-11-05T23:11:28.4Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,0,2,2021-11-05T23:11:30Z,130000,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT10M50.00S,2021-11-05T23:11:34.8Z,1,REGULAR,turnover,out-of-bounds,[],1629640,,,1610612759,0,2,2021-11-05T23:11:41Z,140000,,,0,,K. Johnson bad pass out-of-bounds TURNOVER (1 TO),[1629640],1610612759.0,SAS,bad pass,,,Johnson,K. Johnson,,,,,,,,,,,,,,,2534.0,1.0,,,,,,,,,
15,PT10M37.00S,2021-11-05T23:11:59.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628976,5.601182654402102,48.03921568627451,1610612753,0,2,2021-11-05T23:12:06Z,150000,10.0,0.0,1,left,MISS W. Carter Jr. Layup,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,0.98,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M35.00S,2021-11-05T23:12:01.5Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,0,2,2021-11-05T23:12:06Z,160000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:0),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
17,PT10M34.00S,2021-11-05T23:12:02.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628976,6.258212877792378,46.07843137254902,1610612753,0,2,2021-11-05T23:12:13Z,170000,20.0,6.0,1,left,MISS W. Carter Jr. putback Layup - blocked,"[1628976, 1627749]",1610612753.0,ORL,putback,,,Carter Jr.,W. Carter Jr.,,,,,2.06,Missed,,,,,,,,,,,Murray,1627749.0,,,,,,,
18,PT10M34.00S,2021-11-05T23:12:02.1Z,1,REGULAR,block,,[],1627749,,,1610612753,0,2,2021-11-05T23:12:05Z,180000,,,0,,D. Murray BLOCK (1 BLK),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M34.00S,2021-11-05T23:12:02.1Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,0,2,2021-11-05T23:12:13Z,190000,,,0,,W. Carter Jr. REBOUND (Off:2 Def:0),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,17.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
