actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-24T02:11:11.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-24T02:11:11Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-03-24T02:11:13.5Z,1,REGULAR,jumpball,recovered,[],1629640,,,1610612759,0,0,2022-03-24T02:11:13Z,40000,,,0,,Jump Ball J. Poeltl vs. D. Eubanks: Tip to K. Johnson,"[1629640, 1627751, 1629234]",1610612759.0,SAS,startperiod,K. Johnson,1629640.0,Johnson,K. Johnson,Poeltl,1627751.0,Eubanks,1629234.0,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-03-24T02:11:31.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,8.623521681997373,55.392156862745104,1610612759,0,0,2022-03-24T02:11:35Z,70000,-27.0,29.0,1,left,MISS J. Poeltl turnaround Hook,[1627751],1610612759.0,SAS,turnaround,,,Poeltl,J. Poeltl,,,,,3.93,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-03-24T02:11:33.0Z,1,REGULAR,rebound,defensive,[],1627739,,,1610612757,0,0,2022-03-24T02:11:35Z,80000,,,0,,K. Dunn REBOUND (Off:0 Def:1),[1627739],1610612757.0,POR,,,,Dunn,K. Dunn,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2022-03-24T02:11:44.7Z,1,REGULAR,2pt,Jump Shot,[],1627739,78.53153745072274,68.38235294117648,1610612757,2,0,2022-03-24T02:11:48Z,90000,92.0,149.0,1,right,K. Dunn 17' pullup Jump Shot (2 PTS),[1627739],1610612757.0,POR,pullup,,,Dunn,K. Dunn,,,,,17.53,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M16.00S,2022-03-24T02:11:55.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627751,6.258212877792378,50.73529411764706,1610612759,2,2,2022-03-24T02:12:00Z,100000,-4.0,6.0,1,left,J. Poeltl cutting DUNK (2 PTS) (D. Murray 1 AST),"[1627751, 1627749]",1610612759.0,SAS,cutting,,,Poeltl,J. Poeltl,,,,,0.73,Made,,,,,2.0,D. Murray,1627749.0,1.0,,,,,,,,,,
12,PT10M57.00S,2022-03-24T02:12:13.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627739,93.64323258869908,48.03921568627451,1610612757,4,2,2022-03-24T02:12:19Z,120000,-10.0,7.0,1,right,K. Dunn driving Layup (4 PTS),[1627739],1610612757.0,POR,driving,,,Dunn,K. Dunn,,,,,1.22,Made,,,,,4.0,,,,,,,,,,,,,
13,PT10M42.00S,2022-03-24T02:12:28.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,5.338370565045992,49.754901960784316,1610612759,4,2,2022-03-24T02:12:32Z,130000,1.0,-2.0,1,left,MISS J. Poeltl cutting Layup,[1627751],1610612759.0,SAS,cutting,,,Poeltl,J. Poeltl,,,,,0.26,Missed,,,,,,,,,,,,,,,,,,
14,PT10M40.00S,2022-03-24T02:12:30.5Z,1,REGULAR,rebound,defensive,[],1629604,,,1610612757,4,2,2022-03-24T02:12:30Z,140000,,,0,,C. Elleby REBOUND (Off:0 Def:1),[1629604],1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M31.00S,2022-03-24T02:12:39.6Z,1,REGULAR,3pt,Jump Shot,[],1626159,74.58935611038108,12.745098039215685,1610612757,4,2,2022-03-24T02:12:44Z,150000,-186.0,186.0,1,right,MISS J. Winslow 26' 3PT,[1626159],1610612757.0,POR,,,,Winslow,J. Winslow,,,,,26.35,Missed,,,,,,,,,,,,,,,,,,
