actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-10T02:11:46.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-10T02:11:46Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-10T02:11:49.2Z,1,REGULAR,jumpball,recovered,[],203496,,,1610612757,0,0,2022-01-10T02:11:49Z,40000,,,0,,Jump Ball J. Nurkic vs. A. Len: Tip to R. Covington,"[203496, 203994, 203458]",1610612757.0,POR,startperiod,R. Covington,203496.0,Covington,R. Covington,Nurkic,203994.0,Len,203458.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-01-10T02:12:04.3Z,1,REGULAR,turnover,out-of-bounds,[],1629014,,,1610612757,0,0,2022-01-10T02:13:40Z,70000,,,0,,A. Simons lost ball out-of-bounds TURNOVER (1 TO),[1629014],1610612757.0,POR,lost ball,,,Simons,A. Simons,,,,,1627963.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-01-10T02:12:20.7Z,1,REGULAR,foul,personal,[],203994,,,1610612758,0,0,2022-01-10T02:12:25Z,80000,,,0,,J. Nurkic personal FOUL (1 PF),"[203994, 1628368]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,2004.0,,1.0,0.0,Fox,1628368.0,,,,,,,,,,,,,,,
10,PT11M30.00S,2022-01-10T02:12:38.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203458,13.222733245729303,50.0,1610612758,0,0,2022-01-10T02:12:43Z,100000,0.0,72.0,1,left,MISS A. Len 7' driving floating Shot,[203458],1610612758.0,SAC,driving floating,,,Len,A. Len,,,,,,,,,,,7.18,Missed,,,,,,,,,,,,,
11,PT11M28.00S,2022-01-10T02:12:40.0Z,1,REGULAR,rebound,offensive,[],1628963,,,1610612758,0,0,2022-01-10T02:12:43Z,110000,,,0,,M. Bagley III REBOUND (Off:1 Def:0),[1628963],1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,,
12,PT11M26.00S,2022-01-10T02:12:42.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628963,13.87976346911958,49.50980392156863,1610612758,0,0,2022-01-10T02:13:51Z,120000,2.0,78.0,1,left,MISS M. Bagley III 7' Hook,[1628963],1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,,,,,,,7.8,Missed,,,,,,,,,,,,,
13,PT11M26.00S,2022-01-10T02:12:42.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,0,0,2022-01-10T02:12:53Z,130000,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,
14,PT11M26.00S,2022-01-10T02:12:47.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,0,0,2022-01-10T02:12:47Z,140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M18.00S,2022-01-10T02:13:02.7Z,1,REGULAR,foul,personal,[],203458,,,1610612757,0,0,2022-01-10T02:13:12Z,150000,,,0,,A. Len personal FOUL (1 PF),"[203458, 203994]",1610612758.0,SAC,,,,Len,A. Len,,,,,1627963.0,,1.0,0.0,Nurkic,203994.0,,,,,,,,,,,,,,,
17,PT11M11.00S,2022-01-10T02:13:21.4Z,1,REGULAR,3pt,Jump Shot,[],1629642,67.62483574244416,55.63725490196079,1610612757,0,0,2022-01-10T02:13:25Z,170000,28.0,252.0,1,right,MISS N. Little 25' 3PT,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,25.34,Missed,,,,,,,,,,,,,
18,PT11M07.00S,2022-01-10T02:13:25.4Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,0,0,2022-01-10T02:13:25Z,180000,,,0,,J. Nurkic REBOUND (Off:1 Def:0),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,17.0,1.0,0.0,1.0,,,,,,,,,
19,PT11M02.00S,2022-01-10T02:13:30.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203994,91.14651773981603,41.911764705882355,1610612757,0,0,2022-01-10T02:13:34Z,190000,-40.0,31.0,1,right,MISS J. Nurkic turnaround Shot,[203994],1610612757.0,POR,turnaround,,,Nurkic,J. Nurkic,,,,,,,,,,,5.07,Missed,,,,,,,,,,,,,
20,PT11M00.00S,2022-01-10T02:13:32.8Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612758,0,0,2022-01-10T02:13:34Z,200000,,,0,,M. Bagley III REBOUND (Off:1 Def:1),[1628963],1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,19.0,2.0,1.0,1.0,,,,,,,,,
21,PT10M48.00S,2022-01-10T02:13:44.5Z,1,REGULAR,3pt,Jump Shot,[],203084,6.389618922470433,94.6078431372549,1610612758,0,0,2022-01-10T02:13:49Z,210000,-223.0,8.0,1,left,MISS H. Barnes 3PT,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,22.31,Missed,,,,,,,,,,,,,
22,PT10M44.00S,2022-01-10T02:13:48.5Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,0,0,2022-01-10T02:13:49Z,220000,,,0,,J. Nurkic REBOUND (Off:1 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,21.0,2.0,1.0,1.0,,,,,,,,,
23,PT10M35.00S,2022-01-10T02:13:57.1Z,1,REGULAR,3pt,Jump Shot,[],1629642,71.04139290407359,71.81372549019608,1610612757,3,0,2022-01-10T02:14:36Z,230000,109.0,220.0,1,right,N. Little 24' 3PT step back (3 PTS) (J. Nurkic 1 AST),"[1629642, 203994]",1610612757.0,POR,step back,,,Little,N. Little,,,,,,,,,,,24.53,Made,,,,,3.0,J. Nurkic,203994.0,1.0,,,,,
24,PT10M14.00S,2022-01-10T02:14:18.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,7.227332457293036,49.67447916666667,1610612758,3,0,2022-01-10T02:17:00Z,240000,2.0,15.0,1,left,MISS H. Barnes driving Layup,[203084],1610612758.0,SAC,driving,,,Barnes,H. Barnes,,,,,,,,,,,1.55,Missed,,,,,,,,,,,,,
25,PT10M12.00S,2022-01-10T02:14:20.1Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,3,0,2022-01-10T02:14:23Z,250000,,,0,,J. Nurkic REBOUND (Off:1 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,24.0,3.0,2.0,1.0,,,,,,,,,
26,PT10M07.00S,2022-01-10T02:14:24.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629014,80.6340341655716,93.13725490196079,1610612757,6,0,2022-01-10T02:14:29Z,260000,216.0,130.0,1,right,A. Simons 25' 3PT running (3 PTS) (N. Little 1 AST),"[1629014, 1629642]",1610612757.0,POR,running,,,Simons,A. Simons,,,,,,,,,,,25.16,Made,,,,,3.0,N. Little,1629642.0,1.0,,,,,
28,PT09M48.00S,2022-01-10T02:14:48.3Z,1,REGULAR,foul,personal,[],203463,,,1610612758,6,0,2022-01-10T02:14:59Z,280000,,,0,,B. McLemore personal FOUL (1 PF),"[203463, 203084]",1610612757.0,POR,,,,McLemore,B. McLemore,,,,,2004.0,,1.0,0.0,Barnes,203084.0,,,,,,,,,,,,,,,
30,PT09M42.00S,2022-01-10T02:15:05.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,5.863994743758213,49.26470588235294,1610612758,6,2,2022-01-10T02:19:03Z,300000,4.0,3.0,1,left,D. Fox driving finger roll Layup (2 PTS),[1628368],1610612758.0,SAC,driving finger roll,,,Fox,D. Fox,,,,,,,,,,,0.45,Made,,,,,2.0,,,,,,,,
31,PT09M27.00S,2022-01-10T02:15:19.2Z,1,REGULAR,3pt,Jump Shot,[],1629642,93.51182654402102,96.56862745098039,1610612757,6,2,2022-01-10T02:15:23Z,310000,233.0,8.0,1,right,MISS N. Little 3PT,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,23.3,Missed,,,,,,,,,,,,,
32,PT09M24.00S,2022-01-10T02:15:22.2Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,6,2,2022-01-10T02:15:23Z,320000,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,
33,PT09M19.00S,2022-01-10T02:15:27.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628963,6.521024967148489,49.754901960784316,1610612758,6,2,2022-01-10T03:08:27Z,330000,1.0,9.0,1,left,MISS M. Bagley III running Layup - blocked,"[1628963, 203496]",1610612758.0,SAC,running,,,Bagley III,M. Bagley III,,,,,,,,,,,0.89,Missed,,,,,,,,,Covington,203496.0,,,
34,PT09M19.00S,2022-01-10T02:15:27.6Z,1,REGULAR,block,,[],203496,,,1610612758,6,2,2022-01-10T02:15:29Z,340000,,,0,,R. Covington BLOCK (1 BLK),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M19.00S,2022-01-10T02:15:27.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,6,2,2022-01-10T02:15:33Z,350000,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,
36,PT09M19.00S,2022-01-10T02:15:34.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,6,2,2022-01-10T02:15:34Z,360000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT09M10.00S,2022-01-10T02:15:47.3Z,1,REGULAR,2pt,Jump Shot,[],203463,72.7496714848883,50.98039215686274,1610612757,6,2,2022-01-10T02:15:51Z,370000,5.0,204.0,1,right,MISS B. McLemore 20' pullup Shot,[203463],1610612757.0,POR,pullup,,,McLemore,B. McLemore,,,,,,,,,,,20.38,Missed,,,,,,,,,,,,,
38,PT09M08.00S,2022-01-10T02:15:49.3Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,6,2,2022-01-10T02:15:51Z,380000,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,
39,PT08M52.00S,2022-01-10T02:16:05.5Z,1,REGULAR,3pt,Jump Shot,[],1628368,17.0335085413929,94.6078431372549,1610612758,6,2,2022-01-10T02:16:10Z,390000,-223.0,108.0,1,left,MISS D. Fox 24' pullup bank 3PT,[1628368],1610612758.0,SAC,pullup bank,,,Fox,D. Fox,,,,,,,,,,,24.76,Missed,,,,,,,,,,,,,
40,PT08M49.00S,2022-01-10T02:16:08.5Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,6,2,2022-01-10T02:16:10Z,400000,,,0,,R. Covington REBOUND (Off:0 Def:1),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,
41,PT08M45.00S,2022-01-10T02:16:12.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203496,94.03745072273325,51.71568627450981,1610612757,8,2,2022-01-10T02:16:16Z,410000,9.0,4.0,1,right,R. Covington running Layup (2 PTS),[203496],1610612757.0,POR,running,,,Covington,R. Covington,,,,,,,,,,,0.93,Made,,,,,2.0,,,,,,,,
42,PT08M33.00S,2022-01-10T02:16:25.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203458,16.113666228646515,50.73529411764706,1610612758,8,4,2022-01-10T02:16:29Z,420000,-4.0,99.0,1,left,A. Len 9' floating Jump Shot (2 PTS) (D. Fox 1 AST),"[203458, 1628368]",1610612758.0,SAC,floating,,,Len,A. Len,,,,,,,,,,,9.91,Made,,,,,2.0,D. Fox,1628368.0,1.0,,,,,
44,PT08M09.00S,2022-01-10T02:16:49.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,89.70105124835742,49.50980392156863,1610612757,8,4,2022-01-10T02:16:53Z,440000,-2.0,44.0,1,right,MISS J. Nurkic driving Hook,[203994],1610612757.0,POR,driving,,,Nurkic,J. Nurkic,,,,,,,,,,,4.44,Missed,,,,,,,,,,,,,
45,PT08M07.00S,2022-01-10T02:16:51.3Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,8,4,2022-01-10T02:16:53Z,450000,,,0,,J. Nurkic REBOUND (Off:2 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,44.0,4.0,2.0,2.0,,,,,,,,,
46,PT08M05.00S,2022-01-10T02:16:52.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203994,92.46057818659659,49.754901960784316,1610612757,8,4,2022-01-10T02:16:57Z,460000,-1.0,18.0,1,right,MISS J. Nurkic Hook,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,1.84,Missed,,,,,,,,,,,,,
47,PT08M05.00S,2022-01-10T02:16:52.7Z,1,REGULAR,rebound,defensive,[],203458,,,1610612758,8,4,2022-01-10T02:16:57Z,470000,,,0,,A. Len REBOUND (Off:0 Def:1),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,46.0,1.0,1.0,0.0,,,,,,,,,
48,PT07M55.00S,2022-01-10T02:17:02.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203458,6.521024967148489,50.49019607843137,1610612758,8,6,2022-01-10T02:17:07Z,480000,-2.0,9.0,1,left,A. Len alley-oop DUNK (4 PTS) (T. Haliburton 1 AST),"[203458, 1630169]",1610612758.0,SAC,alley-oop,,,Len,A. Len,,,,,,,,,,,0.91,Made,,,,,4.0,T. Haliburton,1630169.0,1.0,,,,,
50,PT07M43.00S,2022-01-10T02:17:14.3Z,1,REGULAR,3pt,Jump Shot,[],1629014,84.44480946123521,95.09803921568627,1610612757,11,6,2022-01-10T02:17:19Z,500000,225.0,94.0,1,right,A. Simons 24' 3PT pullup (6 PTS),[1629014],1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,,,,,,,24.42,Made,,,,,6.0,,,,,,,,
51,PT07M32.00S,2022-01-10T02:17:26.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203458,11.12023653088042,46.568627450980394,1610612758,11,6,2022-01-10T02:17:29Z,510000,17.0,52.0,1,left,MISS A. Len driving floating Shot,[203458],1610612758.0,SAC,driving floating,,,Len,A. Len,,,,,,,,,,,5.48,Missed,,,,,,,,,,,,,
52,PT07M30.00S,2022-01-10T02:17:28.3Z,1,REGULAR,rebound,offensive,[],203458,,,1610612758,11,6,2022-01-10T02:17:48Z,520000,,,0,,A. Len REBOUND (Off:1 Def:1),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,51.0,2.0,1.0,1.0,,,,,,,,,
53,PT07M30.00S,2022-01-10T02:17:28.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203458,5.590000152587891,50.0,1610612758,11,6,2022-01-10T02:17:41Z,530000,0.0,0.0,1,left,MISS A. Len tip Layup,[203458],1610612758.0,SAC,tip,,,Len,A. Len,,,,,,,,,,,0.0,Missed,,,,,,,,,,,,,
54,PT07M30.00S,2022-01-10T02:17:28.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,11,6,2022-01-10T02:17:41Z,540000,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,
55,PT07M30.00S,2022-01-10T02:17:31.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,11,6,2022-01-10T02:17:31Z,550000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M15.00S,2022-01-10T02:17:54.9Z,1,REGULAR,3pt,Jump Shot,[],1629642,87.99277266754271,94.6078431372549,1610612757,11,6,2022-01-10T02:17:58Z,560000,223.0,60.0,1,right,MISS N. Little 3PT,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,23.1,Missed,,,,,,,,,,,,,
57,PT07M12.00S,2022-01-10T02:17:57.9Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612758,11,6,2022-01-10T02:17:58Z,570000,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,56.0,1.0,1.0,0.0,,,,,,,,,
58,PT07M08.00S,2022-01-10T02:18:01.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630169,28.33442838370565,21.07843137254902,1610612758,11,9,2022-01-10T02:18:14Z,580000,145.0,214.0,1,left,T. Haliburton 25' 3PT running pullup (3 PTS),[1630169],1610612758.0,SAC,running pullup,,,Haliburton,T. Haliburton,,,,,,,,,,,25.81,Made,,,,,3.0,,,,,,,,
59,PT06M47.00S,2022-01-10T02:18:22.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629642,95.22010512483574,52.450980392156865,1610612757,13,9,2022-01-10T02:18:26Z,590000,12.0,-8.0,1,right,N. Little cutting Layup (5 PTS) (A. Simons 1 AST),"[1629642, 1629014]",1610612757.0,POR,cutting,,,Little,N. Little,,,,,,,,,,,1.45,Made,,,,,5.0,A. Simons,1629014.0,1.0,,,,,
61,PT06M35.00S,2022-01-10T02:18:34.4Z,1,REGULAR,3pt,Jump Shot,[],1628963,26.49474375821288,19.362745098039216,1610612758,13,9,2022-01-10T02:18:39Z,610000,153.0,197.0,1,left,MISS M. Bagley III 24' 3PT,[1628963],1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,,,,,,,24.92,Missed,,,,,,,,,,,,,
62,PT06M34.00S,2022-01-10T02:18:35.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,13,9,2022-01-10T02:18:39Z,620000,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,,,,
63,PT06M34.00S,2022-01-10T02:18:38.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,13,9,2022-01-10T02:18:38Z,630000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M34.00S,2022-01-10T02:18:42.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,13,9,2022-01-10T02:18:42Z,640000,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M34.00S,2022-01-10T02:19:46.7Z,1,REGULAR,substitution,out,[],203458,,,1610612757,13,9,2022-01-10T02:21:23Z,650000,,,0,,SUB out: A. Len,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M34.00S,2022-01-10T02:19:46.7Z,1,REGULAR,substitution,out,[],1630169,,,1610612757,13,9,2022-01-10T02:21:23Z,660000,,,0,,SUB out: T. Haliburton,[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M34.00S,2022-01-10T02:19:46.7Z,1,REGULAR,substitution,in,[],202684,,,1610612757,13,9,2022-01-10T02:21:23Z,670000,,,0,,SUB in: T. Thompson,[202684],1610612758.0,SAC,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M34.00S,2022-01-10T02:19:46.7Z,1,REGULAR,substitution,in,[],1627741,,,1610612757,13,9,2022-01-10T02:21:23Z,680000,,,0,,SUB in: B. Hield,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M12.00S,2022-01-10T02:22:03.5Z,1,REGULAR,3pt,Jump Shot,[],203496,80.23981603153744,7.598039215686274,1610612757,13,9,2022-01-10T02:22:10Z,690000,-212.0,133.0,1,right,MISS R. Covington 25' 3PT,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,25.04,Missed,,,,,,,,,,,,,
70,PT06M08.00S,2022-01-10T02:22:07.5Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,13,9,2022-01-10T02:22:10Z,700000,,,0,,H. Barnes REBOUND (Off:0 Def:2),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,69.0,2.0,2.0,0.0,,,,,,,,,
71,PT05M53.00S,2022-01-10T02:22:22.0Z,1,REGULAR,turnover,lost ball,[],203084,,,1610612758,13,9,2022-01-10T02:22:25Z,710000,,,0,,H. Barnes lost ball TURNOVER (1 TO),"[203084, 203496]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,1.0,,,,,,,,,,,,,,,,,Covington,203496.0,
