actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-05T03:11:19.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-05T03:11:19Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-12-05T03:11:24.8Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2021-12-05T03:11:24Z,40000,,,0,,Jump Ball R. Williams III vs. J. Nurkic: Tip to M. Smart,"[203935, 1629057, 203994]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Williams III,1629057.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M55.00S,2021-12-05T03:11:30.3Z,1,REGULAR,turnover,backcourt,[],1628369,,,1610612738,0,0,2021-12-05T03:11:40Z,70000,,,0,,J. Tatum backcourt TURNOVER (1 TO),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,201246.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2021-12-05T03:11:53.4Z,1,REGULAR,foul,personal,[],1629057,,,1610612757,0,0,2021-12-05T03:12:01Z,80000,,,0,,R. Williams III personal FOUL (1 PF),"[1629057, 203994]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,201246.0,,1.0,0.0,Nurkic,203994.0,,,,,,,,,,,,,,,
10,PT11M30.00S,2021-12-05T03:12:16.2Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203994,8.886333771353483,49.754901960784316,1610612757,0,0,2021-12-05T03:12:20Z,100000,1.0,31.0,1,left,MISS J. Nurkic Hook - blocked,"[203994, 1629684]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,3.1,Missed,Williams,1629684.0,,,,,,,,,,,
11,PT11M30.00S,2021-12-05T03:12:16.2Z,1,REGULAR,block,,[],1629684,,,1610612757,0,0,2021-12-05T03:12:18Z,110000,,,0,,G. Williams BLOCK (1 BLK),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M26.00S,2021-12-05T03:12:20.2Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,0,0,2021-12-05T03:12:20Z,120000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,
13,PT11M15.00S,2021-12-05T03:12:31.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,94.69448094612353,49.50980392156863,1610612738,0,2,2021-12-05T03:12:35Z,130000,-2.0,-3.0,1,right,R. Williams III alley-oop DUNK (2 PTS) (M. Smart 1 AST),"[1629057, 203935]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,,,,,,,0.36,Made,,,,,,,2.0,M. Smart,203935.0,1.0,,,
15,PT10M58.00S,2021-12-05T03:12:47.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626181,5.863994743758213,49.26470588235294,1610612757,0,2,2021-12-05T03:12:56Z,150000,4.0,3.0,1,left,MISS N. Powell driving Layup,[1626181],1610612757.0,POR,driving,,,Powell,N. Powell,,,,,,,,,,,0.45,Missed,,,,,,,,,,,,,
16,PT10M58.00S,2021-12-05T03:12:47.7Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,0,2,2021-12-05T03:12:56Z,160000,,,0,,J. Nurkic REBOUND (Off:1 Def:0),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,15.0,1.0,0.0,1.0,,,,,,,
