actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-12-03T03:11:36.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-03T03:11:36Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-12-03T03:11:38.6Z,1,REGULAR,jumpball,recovered,[],1629014,,,1610612757,0,0,2021-12-03T03:11:38Z,40000,,,0,,Jump Ball J. Nurkic vs. J. Poeltl: Tip to A. Simons,"[1629014, 203994, 1627751]",1610612757.0,POR,startperiod,A. Simons,1629014.0,Simons,A. Simons,Nurkic,203994.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-12-03T03:11:54.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,93.51182654402102,41.17647058823529,1610612757,0,0,2021-12-03T03:16:00Z,70000,-44.0,8.0,1,right,MISS J. Nurkic Layup - blocked,"[203994, 1627751]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,4.49,Missed,Poeltl,1627751.0,,,,,,,,,,,,,,,,
8,PT11M42.00S,2021-12-03T03:11:54.7Z,1,REGULAR,block,,[],1627751,,,1610612757,0,0,2021-12-03T03:11:57Z,80000,,,0,,J. Poeltl BLOCK (1 BLK),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2021-12-03T03:11:57.7Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,0,0,2021-12-03T03:13:06Z,90000,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M35.00S,2021-12-03T03:12:01.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628401,33.196452036793694,46.32352941176471,1610612759,0,3,2021-12-03T03:12:06Z,100000,18.0,260.0,1,left,D. White 26' 3PT running (3 PTS) (D. Murray 1 AST),"[1628401, 1627749]",1610612759.0,SAS,running,,,White,D. White,,,,,26.02,Made,,,,,,,3.0,D. Murray,1627749.0,1.0,,,,,,,,
12,PT11M16.00S,2021-12-03T03:12:19.7Z,1,REGULAR,2pt,Jump Shot,[],1626181,74.58935611038108,74.26470588235294,1610612757,0,3,2021-12-03T03:12:24Z,120000,121.0,186.0,1,right,MISS N. Powell 22' Jump Shot,[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,22.24,Missed,,,,,,,,,,,,,,,,,,
13,PT11M14.00S,2021-12-03T03:12:21.7Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,0,3,2021-12-03T03:12:24Z,130000,,,0,,J. Poeltl REBOUND (Off:0 Def:2),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,12.0,2.0,2.0,0.0,,,,,,,,,,,,
14,PT11M00.00S,2021-12-03T03:12:35.3Z,1,REGULAR,3pt,Jump Shot,[],203926,16.63929040735874,94.85294117647058,1610612759,0,6,2021-12-03T03:12:39Z,140000,-224.0,104.0,1,left,D. McDermott 24' 3PT  (3 PTS) (D. Murray 2 AST),"[203926, 1627749]",1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,24.72,Made,,,,,,,3.0,D. Murray,1627749.0,2.0,,,,,,,,
16,PT10M48.00S,2021-12-03T03:12:47.5Z,1,REGULAR,2pt,Jump Shot,[],203994,75.1149802890933,30.14705882352941,1610612757,0,6,2021-12-03T03:12:51Z,160000,-99.0,181.0,1,right,MISS J. Nurkic 20' Jump Shot,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,20.68,Missed,,,,,,,,,,,,,,,,,,
17,PT10M46.00S,2021-12-03T03:12:49.5Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,0,6,2021-12-03T03:12:51Z,170000,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,
18,PT10M37.00S,2021-12-03T03:12:58.4Z,1,REGULAR,3pt,Jump Shot,[],1629640,17.559132720105126,4.411764705882353,1610612759,0,6,2021-12-03T03:13:03Z,180000,228.0,113.0,1,left,MISS K. Johnson 25' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,25.42,Missed,,,,,,,,,,,,,,,,,,
19,PT10M34.00S,2021-12-03T03:13:01.4Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612757,0,6,2021-12-03T03:13:03Z,190000,,,0,,N. Powell REBOUND (Off:0 Def:1),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,
20,PT10M28.00S,2021-12-03T03:13:09.3Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612757,0,6,2021-12-03T03:13:18Z,200000,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Nurkic 2 FT),"[1627751, 203994]",1610612759.0,SAS,shooting,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Nurkic,203994.0,,,
