actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-10-21T02:14:50.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-21T02:14:50Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-10-21T02:14:51.9Z,1,REGULAR,jumpball,recovered,[],203081,,,1610612757,0,0,2021-10-21T02:14:52Z,40000,,,0,,Jump Ball J. Nurkic vs. R. Holmes: Tip to D. Lillard,"[203081, 203994, 1626158]",1610612757.0,POR,startperiod,D. Lillard,203081.0,Lillard,D. Lillard,Nurkic,203994.0,Holmes,1626158.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-10-21T02:15:09.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626181,92.9862023653088,52.20588235294118,1610612757,0,0,2021-10-21T02:15:14Z,70000,11.0,13.0,1,right,MISS N. Powell driving Layup - blocked,"[1626181, 1626158]",1610612757.0,POR,driving,,,Powell,N. Powell,,,,,1.73,Missed,Holmes,1626158.0,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2021-10-21T02:15:09.5Z,1,REGULAR,block,,[],1626158,,,1610612757,0,0,2021-10-21T02:15:12Z,80000,,,0,,R. Holmes BLOCK (1 BLK),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2021-10-21T02:15:12.5Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,0,0,2021-10-21T02:15:14Z,90000,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M25.00S,2021-10-21T02:15:24.1Z,1,REGULAR,3pt,Jump Shot,[],203084,26.757555847568987,19.607843137254903,1610612758,0,0,2021-10-21T02:15:28Z,100000,152.0,199.0,1,left,MISS H. Barnes 25' 3PT,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,25.04,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M22.00S,2021-10-21T02:15:27.1Z,1,REGULAR,rebound,defensive,[],203468,,,1610612757,0,0,2021-10-21T02:15:28Z,110000,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M15.00S,2021-10-21T02:15:34.3Z,1,REGULAR,3pt,Jump Shot,[],203496,91.5407358738502,96.56862745098039,1610612757,3,0,2021-10-21T02:15:38Z,120000,233.0,27.0,1,right,R. Covington 3PT  (3 PTS) (D. Lillard 1 AST),"[203496, 203081]",1610612757.0,POR,,,,Covington,R. Covington,,,,,23.44,Made,,,,,,,3.0,D. Lillard,203081.0,1.0,,,,,,,,,
14,PT10M55.00S,2021-10-21T02:15:53.5Z,1,REGULAR,3pt,Jump Shot,[],1628368,27.151773981603156,19.11764705882353,1610612758,3,3,2021-10-21T02:15:58Z,140000,154.0,203.0,1,left,D. Fox 25' 3PT  (3 PTS) (R. Holmes 1 AST),"[1628368, 1626158]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,25.48,Made,,,,,,,3.0,R. Holmes,1626158.0,1.0,,,,,,,,,
16,PT10M46.00S,2021-10-21T02:16:07.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,3,3,2021-10-21T02:16:07Z,160000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
