actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-01-06T03:11:23.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-06T03:11:23Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-06T03:11:25.9Z,1,REGULAR,jumpball,recovered,[],1629622,,,1610612748,0,0,2022-01-06T03:11:25Z,40000,,,0,,Jump Ball O. Yurtseven vs. J. Nurkic: Tip to M. Strus,"[1629622, 1630209, 203994]",1610612748.0,MIA,startperiod,M. Strus,1629622.0,Strus,M. Strus,Yurtseven,1630209.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-01-06T03:11:40.4Z,1,REGULAR,turnover,bad pass,[],200782,,,1610612748,0,0,2022-01-06T03:11:44Z,70000,,,0,,P. Tucker bad pass TURNOVER (1 TO),"[200782, 203994]",1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,1.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2022-01-06T03:11:40.4Z,1,REGULAR,steal,,[],203994,,,1610612757,0,0,2022-01-06T03:11:42Z,80000,,,0,,J. Nurkic STEAL (1 STL),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M30.00S,2022-01-06T03:11:52.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629014,81.42247043363994,82.59803921568627,1610612757,0,0,2022-01-06T03:11:56Z,90000,163.0,122.0,1,right,MISS A. Simons 20' pullup Shot,[1629014],1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,,,,20.37,Missed,,,,,,,,,,,,,,,
10,PT11M28.00S,2022-01-06T03:11:54.1Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612748,0,0,2022-01-06T03:11:56Z,100000,,,0,,M. Strus REBOUND (Off:0 Def:1),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M20.00S,2022-01-06T03:12:02.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630209,6.652431011826544,46.07843137254902,1610612748,0,0,2022-01-06T03:12:16Z,110000,20.0,10.0,1,left,MISS O. Yurtseven alley-oop Layup - blocked,"[1630209, 1626181]",1610612748.0,MIA,alley-oop,,,Yurtseven,O. Yurtseven,,,,,,,,2.2,Missed,,,,,Powell,1626181.0,,,,,,,,,
12,PT11M20.00S,2022-01-06T03:12:02.2Z,1,REGULAR,block,,[],1626181,,,1610612748,0,0,2022-01-06T03:12:04Z,120000,,,0,,N. Powell BLOCK (1 BLK),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M18.00S,2022-01-06T03:12:04.2Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,0,0,2022-01-06T03:12:16Z,130000,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
14,PT11M11.00S,2022-01-06T03:12:11.5Z,1,REGULAR,2pt,Jump Shot,[],1626181,81.15965834428384,14.215686274509803,1610612757,2,0,2022-01-06T03:12:19Z,140000,-179.0,125.0,1,right,N. Powell 21' pullup Jump Shot (2 PTS),[1626181],1610612757.0,POR,pullup,,,Powell,N. Powell,,,,,,,,21.8,Made,,,,,,,2.0,,,,,,,,
15,PT11M00.00S,2022-01-06T03:12:21.7Z,1,REGULAR,3pt,Jump Shot,[],1629622,20.318659658344284,92.40196078431373,1610612748,2,3,2022-01-06T03:12:27Z,150000,-212.0,138.0,1,left,M. Strus 25' 3PT  (3 PTS) (O. Yurtseven 1 AST),"[1629622, 1630209]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,25.32,Made,,,,,,,3.0,O. Yurtseven,1630209.0,1.0,,,,,
17,PT10M32.00S,2022-01-06T03:12:50.0Z,1,REGULAR,3pt,Jump Shot,[],1629014,79.97700394218134,91.66666666666666,1610612757,5,3,2022-01-06T03:12:54Z,170000,208.0,136.0,1,right,A. Simons 24' 3PT  (3 PTS) (N. Little 1 AST),"[1629014, 1629642]",1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,24.86,Made,,,,,,,3.0,N. Little,1629642.0,1.0,,,,,
19,PT10M16.00S,2022-01-06T03:13:09.2Z,1,REGULAR,foul,personal,['2freethrow'],1629642,,,1610612748,5,3,2022-01-06T03:13:16Z,190000,,,0,,N. Little shooting personal FOUL (1 PF) (Lowry 2 FT),"[1629642, 200768]",1610612757.0,POR,shooting,,,Little,N. Little,,,,,,,,,,,,,,,,,,,,1627526.0,1.0,0.0,Lowry,200768.0
21,PT10M16.00S,2022-01-06T03:13:39.0Z,1,REGULAR,freethrow,1 of 2,[],200768,,,1610612748,5,4,2022-01-06T03:13:39Z,210000,,,0,,K. Lowry Free Throw 1 of 2 (1 PTS),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,Made,,,,,,,1.0,,,,,,,,
22,PT10M16.00S,2022-01-06T03:13:55.3Z,1,REGULAR,freethrow,2 of 2,[],200768,,,1610612748,5,5,2022-01-06T03:13:55Z,220000,,,0,,K. Lowry Free Throw 2 of 2 (2 PTS),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,Made,,,,,,,2.0,,,,,,,,
23,PT09M56.00S,2022-01-06T03:14:16.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626181,91.40932982917214,50.245098039215684,1610612757,5,5,2022-01-06T03:14:19Z,230000,1.0,28.0,1,right,MISS N. Powell driving floating Shot,[1626181],1610612757.0,POR,driving floating,,,Powell,N. Powell,,,,,,,,2.83,Missed,,,,,,,,,,,,,,,
24,PT09M55.00S,2022-01-06T03:14:17.1Z,1,REGULAR,rebound,defensive,[],1630209,,,1610612748,5,5,2022-01-06T03:14:19Z,240000,,,0,,O. Yurtseven REBOUND (Off:0 Def:1),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,
