actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-12-18T03:11:37.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-18T03:11:37Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-18T03:11:39.5Z,1,REGULAR,jumpball,recovered,[],203081,,,1610612757,0,0,2021-12-18T03:11:39Z,40000,,,0,,Jump Ball J. Nurkic vs. M. Plumlee: Tip to D. Lillard,"[203081, 203994, 203486]",1610612757.0,POR,startperiod,D. Lillard,203081.0,Lillard,D. Lillard,Nurkic,203994.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2021-12-18T03:12:01.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,92.85479632063075,45.83333333333333,1610612757,2,0,2021-12-18T03:12:07Z,70000,-21.0,15.0,1,right,J. Nurkic driving Layup (2 PTS),[203994],1610612757.0,POR,driving,,,Nurkic,J. Nurkic,,,,,2.55,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M22.00S,2021-12-18T03:12:16.1Z,1,REGULAR,turnover,out-of-bounds,[],202330,,,1610612766,2,0,2021-12-18T03:12:21Z,80000,,,0,,G. Hayward lost ball out-of-bounds TURNOVER (1 TO),[202330],1610612766.0,CHA,lost ball,,,Hayward,G. Hayward,,,,,,,,1830.0,1.0,,,,,,,,,,,,,,,
9,PT11M11.00S,2021-12-18T03:12:38.8Z,1,REGULAR,foul,personal,[],203486,,,1610612757,2,0,2021-12-18T03:12:48Z,90000,,,0,,M. Plumlee personal FOUL (1 PF),"[203486, 203994]",1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,1155.0,,1.0,0.0,Nurkic,203994.0,,,,,,,,,,,
11,PT11M03.00S,2021-12-18T03:13:00.2Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203994,93.11760840998686,54.90196078431373,1610612757,2,0,2021-12-18T03:13:04Z,110000,25.0,12.0,1,right,MISS J. Nurkic turnaround Hook - blocked,"[203994, 203486]",1610612757.0,POR,turnaround,,,Nurkic,J. Nurkic,,,,,2.74,Missed,,,,,,,,Plumlee,203486.0,,,,,,,,,
12,PT11M03.00S,2021-12-18T03:13:00.2Z,1,REGULAR,block,,[],203486,,,1610612757,2,0,2021-12-18T03:13:02Z,120000,,,0,,M. Plumlee BLOCK (1 BLK),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M01.00S,2021-12-18T03:13:02.2Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,2,0,2021-12-18T03:13:04Z,130000,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,
14,PT10M55.00S,2021-12-18T03:13:08.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203486,11.514454664914586,49.754901960784316,1610612766,2,0,2021-12-18T03:13:15Z,140000,1.0,56.0,1,left,MISS M. Plumlee turnaround Hook,[203486],1610612766.0,CHA,turnaround,,,Plumlee,M. Plumlee,,,,,5.57,Missed,,,,,,,,,,,,,,,,,,
15,PT10M52.00S,2021-12-18T03:13:11.8Z,1,REGULAR,rebound,offensive,[],1628970,,,1610612766,2,0,2021-12-18T03:13:11Z,150000,,,0,,M. Bridges REBOUND (Off:1 Def:0),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,14.0,1.0,0.0,1.0,,,,,
16,PT10M48.00S,2021-12-18T03:13:15.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628970,6.258212877792378,50.245098039215684,1610612766,2,0,2021-12-18T03:13:21Z,160000,-1.0,6.0,1,left,MISS M. Bridges driving reverse Layup,[1628970],1610612766.0,CHA,driving reverse,,,Bridges,M. Bridges,,,,,0.64,Missed,,,,,,,,,,,,,,,,,,
