actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-25T03:16:30.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-25T03:16:30Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-25T03:16:34.0Z,1,REGULAR,jumpball,recovered,[],1626159,,,1610612757,0,0,2022-02-25T03:16:34Z,40000,,,0,,Jump Ball D. Eubanks vs. K. Looney: Tip to J. Winslow,"[1626159, 1629234, 1626172]",1610612757.0,POR,startperiod,J. Winslow,1626159.0,Winslow,J. Winslow,Eubanks,1629234.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-02-25T03:16:52.6Z,1,REGULAR,turnover,bad pass,[],1629014,,,1610612757,0,0,2022-02-25T03:16:57Z,70000,,,0,,A. Simons bad pass TURNOVER (1 TO),"[1629014, 1627780]",1610612757.0,POR,,,,Simons,A. Simons,,,,,1.0,Payton II,1627780.0,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-02-25T03:16:52.6Z,1,REGULAR,steal,,[],1627780,,,1610612744,0,0,2022-02-25T03:16:54Z,80000,,,0,,G. Payton II STEAL (1 STL),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M29.00S,2022-02-25T03:17:00.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203952,32.53942181340342,64.70588235294117,1610612744,0,0,2022-02-25T03:17:05Z,90000,-74.0,253.0,1,left,MISS A. Wiggins 26' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,26.38,Missed,,,,,,,,,,,,,,,
10,PT11M25.00S,2022-02-25T03:17:04.2Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612757,0,0,2022-02-25T03:17:05Z,100000,,,0,,D. Eubanks REBOUND (Off:0 Def:1),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M18.00S,2022-02-25T03:17:11.4Z,1,REGULAR,turnover,bad pass,[],1628404,,,1610612757,0,0,2022-02-25T03:17:20Z,110000,,,0,,J. Hart bad pass TURNOVER (1 TO),"[1628404, 203952]",1610612757.0,POR,,,,Hart,J. Hart,,,,,1.0,Wiggins,203952.0,,,,,,,,,,,,,,,,,
12,PT11M18.00S,2022-02-25T03:17:11.4Z,1,REGULAR,steal,,[],203952,,,1610612744,0,0,2022-02-25T03:17:14Z,120000,,,0,,A. Wiggins STEAL (1 STL),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M18.00S,2022-02-25T03:17:16.7Z,1,REGULAR,foul,personal,[],1628404,,,1610612744,0,0,2022-02-25T03:17:25Z,130000,,,0,,J. Hart personal FOUL (1 PF),"[1628404, 1626172]",1610612757.0,POR,,,,Hart,J. Hart,,,,,,,,,,,,,,1146.0,1.0,0.0,Looney,1626172.0,,,,,,
15,PT11M03.00S,2022-02-25T03:17:42.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1627780,8.360709592641262,52.94117647058824,1610612744,0,0,2022-02-25T03:18:21Z,150000,-15.0,26.0,1,left,MISS G. Payton II driving Hook,[1627780],1610612744.0,GSW,driving,,,Payton II,G. Payton II,,,,,,,,3.0,Missed,,,,,,,,,,,,,,,
