actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-10-24T02:11:58.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-24T02:11:58Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-10-24T02:12:00.8Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612756,0,0,2021-10-24T02:12:00Z,40000,,,0,,Jump Ball D. Ayton vs. J. Nurkic: Tip to C. Paul,"[101108, 1629028, 203994]",1610612756.0,PHX,startperiod,C. Paul,101108.0,Paul,C. Paul,Ayton,1629028.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M54.00S,2021-10-24T02:12:05.0Z,1,REGULAR,3pt,Jump Shot,[],203109,69.59592641261499,72.79411764705883,1610612756,0,0,2021-10-24T02:12:09Z,70000,114.0,233.0,1,right,MISS J. Crowder 25' 3PT,[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,25.97,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M50.00S,2021-10-24T02:12:09.0Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612757,0,0,2021-10-24T02:12:09Z,80000,,,0,,N. Powell REBOUND (Off:0 Def:1),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M40.00S,2021-10-24T02:12:18.3Z,1,REGULAR,3pt,Jump Shot,[],203468,9.017739816031538,4.411764705882353,1610612757,3,0,2021-10-24T02:12:21Z,90000,228.0,32.0,1,left,C. McCollum 3PT  (3 PTS) (D. Lillard 1 AST),"[203468, 203081]",1610612757.0,POR,,,,McCollum,C. McCollum,,,,,23.02,Made,,,,,3.0,D. Lillard,203081.0,1.0,,,,,,,,,,,
11,PT11M13.00S,2021-10-24T02:12:44.8Z,1,REGULAR,2pt,Jump Shot,[],1626164,71.04139290407359,63.23529411764706,1610612756,3,2,2021-10-24T02:12:48Z,110000,66.0,220.0,1,right,D. Booker 22' step back Jump Shot (2 PTS),[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,22.95,Made,,,,,2.0,,,,,,,,,,,,,,
12,PT10M57.00S,2021-10-24T02:13:00.6Z,1,REGULAR,3pt,Jump Shot,[],203468,20.05584756898817,92.40196078431373,1610612757,3,2,2021-10-24T02:13:06Z,120000,-212.0,136.0,1,left,MISS C. McCollum 25' pullup 3PT,[203468],1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,25.19,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M54.00S,2021-10-24T02:13:03.6Z,1,REGULAR,rebound,offensive,[],203496,,,1610612757,3,2,2021-10-24T02:13:06Z,130000,,,0,,R. Covington REBOUND (Off:1 Def:0),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
14,PT10M49.00S,2021-10-24T02:13:09.7Z,1,REGULAR,turnover,lost ball,[],203994,,,1610612757,3,2,2021-10-24T02:13:13Z,140000,,,0,,J. Nurkic lost ball TURNOVER (1 TO),"[203994, 101108]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,1.0,Paul,101108.0,,,,,,,,
15,PT10M49.00S,2021-10-24T02:13:09.7Z,1,REGULAR,steal,,[],101108,,,1610612756,3,2,2021-10-24T02:13:11Z,150000,,,0,,C. Paul STEAL (1 STL),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M32.00S,2021-10-24T02:13:26.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629028,85.3646517739816,37.00980392156863,1610612756,3,2,2021-10-24T02:13:31Z,160000,-65.0,85.0,1,right,MISS D. Ayton 10' turnaround fadeaway Shot,[1629028],1610612756.0,PHX,turnaround fadeaway,,,Ayton,D. Ayton,,,,,10.71,Missed,,,,,,,,,,,,,,,,,,,
