actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-27T03:13:50.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-27T03:13:51Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-01-27T03:13:52.6Z,1,REGULAR,jumpball,recovered,[],1629014,,,1610612757,0,0,2022-01-27T03:13:52Z,40000,,,0,,Jump Ball J. Nurkic vs. K. Porzingis: Tip to A. Simons,"[1629014, 203994, 204001]",1610612757.0,POR,startperiod,A. Simons,1629014.0,Simons,A. Simons,Nurkic,203994.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-01-27T03:14:05.8Z,1,REGULAR,turnover,bad pass,[],203994,,,1610612757,0,0,2022-01-27T03:17:07Z,70000,,,0,,J. Nurkic bad pass TURNOVER (1 TO),"[203994, 204001]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,1.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2022-01-27T03:14:05.8Z,1,REGULAR,steal,,[],204001,,,1610612742,0,0,2022-01-27T03:14:07Z,80000,,,0,,K. Porzingis STEAL (1 STL),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M31.00S,2022-01-27T03:14:19.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",204001,5.338370565045992,49.754901960784316,1610612742,0,2,2022-01-27T03:14:28Z,90000,1.0,-2.0,1,left,K. Porzingis reverse DUNK (2 PTS) (J. Brunson 1 AST),"[204001, 1628973]",1610612742.0,DAL,reverse,,,Porzingis,K. Porzingis,,,,,,,,0.26,Made,2.0,J. Brunson,1628973.0,1.0,,,,,,,,,,,,
11,PT11M12.00S,2022-01-27T03:14:38.7Z,1,REGULAR,turnover,bad pass,[],203994,,,1610612757,0,2,2022-01-27T03:14:43Z,110000,,,0,,J. Nurkic bad pass TURNOVER (2 TO),"[203994, 1628467]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,2.0,Kleber,1628467.0,,,,,,,,,,,,,,,,,,
12,PT11M12.00S,2022-01-27T03:14:38.7Z,1,REGULAR,steal,,[],1628467,,,1610612742,0,2,2022-01-27T03:14:40Z,120000,,,0,,M. Kleber STEAL (1 STL),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT10M58.00S,2022-01-27T03:14:52.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628973,6.521024967148489,96.07843137254902,1610612742,0,5,2022-01-27T03:15:00Z,130000,-230.0,9.0,1,left,J. Brunson 3PT  (3 PTS) (D. Finney-Smith 1 AST),"[1628973, 1627827]",1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,23.06,Made,3.0,D. Finney-Smith,1627827.0,1.0,,,,,,,,,,,,
15,PT10M45.00S,2022-01-27T03:15:04.7Z,1,REGULAR,3pt,Jump Shot,[],203468,66.83639947437582,16.666666666666664,1610612757,0,5,2022-01-27T03:15:12Z,150000,-167.0,259.0,1,right,MISS C. McCollum 30' 3PT,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,30.82,Missed,,,,,,,,,,,,,,,,
16,PT10M42.00S,2022-01-27T03:15:07.7Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,0,5,2022-01-27T03:15:12Z,160000,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
17,PT10M42.00S,2022-01-27T03:15:10.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627827,6.389618922470433,49.01960784313725,1610612742,0,7,2022-01-27T03:15:18Z,170000,5.0,8.0,1,left,D. Finney-Smith running Layup (2 PTS) (L. Doncic 1 AST),"[1627827, 1629029]",1610612742.0,DAL,running,,,Finney-Smith,D. Finney-Smith,,,,,,,,0.9,Made,2.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,,
19,PT10M42.00S,2022-01-27T03:15:18.8Z,1,REGULAR,foul,personal,['1freethrow'],1629014,,,1610612742,0,7,2022-01-27T03:15:28Z,190000,,,0,,A. Simons shooting personal FOUL (1 PF) (Finney-Smith 1 FT),"[1629014, 1627827]",1610612757.0,POR,shooting,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,203591.0,1.0,0.0,Finney-Smith,1627827.0,,,
21,PT10M42.00S,2022-01-27T03:15:39.1Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1627827,,,1610612742,0,8,2022-01-27T03:15:39Z,210000,,,0,,D. Finney-Smith Free Throw 1 of 1 (3 PTS),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
22,PT10M34.00S,2022-01-27T03:15:53.5Z,1,REGULAR,foul,personal,[],204001,,,1610612757,0,8,2022-01-27T03:15:59Z,220000,,,0,,K. Porzingis personal FOUL (1 PF),"[204001, 1626181]",1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,201640.0,1.0,0.0,Powell,1626181.0,,,
