actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-11T03:11:25.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-11T03:11:25Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-11T03:11:27.3Z,1,REGULAR,jumpball,recovered,[],1629014,,,1610612757,0,0,2022-01-11T03:11:27Z,40000,,,0,,Jump Ball J. Nurkic vs. N. Claxton: Tip to A. Simons,"[1629014, 203994, 1629651]",1610612757.0,POR,startperiod,A. Simons,1629014.0,Simons,A. Simons,Nurkic,203994.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-01-11T03:11:41.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,87.33574244415243,40.44117647058824,1610612757,0,0,2022-01-11T03:11:45Z,70000,-48.0,67.0,1,right,MISS J. Nurkic 8' driving Hook,[203994],1610612757.0,POR,driving,,,Nurkic,J. Nurkic,,,,,8.19,Missed,,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2022-01-11T03:11:44.6Z,1,REGULAR,rebound,defensive,[],202681,,,1610612751,0,0,2022-01-11T03:11:45Z,90000,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M18.00S,2022-01-11T03:12:06.0Z,1,REGULAR,turnover,bad pass,[],202681,,,1610612751,0,0,2022-01-11T03:12:11Z,100000,,,0,,K. Irving bad pass TURNOVER (1 TO),"[202681, 203463]",1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,1.0,McLemore,203463.0,,,,,,,,,,,
11,PT11M18.00S,2022-01-11T03:12:06.0Z,1,REGULAR,steal,,[],203463,,,1610612757,0,0,2022-01-11T03:12:07Z,110000,,,0,,B. McLemore STEAL (1 STL),[203463],1610612757.0,POR,,,,McLemore,B. McLemore,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M07.00S,2022-01-11T03:12:18.4Z,1,REGULAR,foul,personal,['2freethrow'],1629651,,,1610612757,0,0,2022-01-11T03:12:25Z,120000,,,0,,N. Claxton shooting personal FOUL (1 PF) (Nurkic 2 FT),"[1629651, 203994]",1610612751.0,BKN,shooting,,,Claxton,N. Claxton,,,,,,,,,,,,,,1627963.0,1.0,0.0,Nurkic,203994.0,,,,,,
14,PT11M07.00S,2022-01-11T03:12:44.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203994,,,1610612757,0,0,2022-01-11T03:12:45Z,140000,,,0,,MISS J. Nurkic Free Throw 1 of 2,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,Missed,,,,,,,,,,,,,,,,,,
15,PT11M07.00S,2022-01-11T03:12:44.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612757,0,0,2022-01-11T03:12:45Z,150000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,
16,PT11M07.00S,2022-01-11T03:12:56.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203994,,,1610612757,1,0,2022-01-11T03:12:56Z,160000,,,0,,J. Nurkic Free Throw 2 of 2 (1 PTS),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,Made,,,,,,,,,,,,,1.0,,,,,
