actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-27T02:11:40.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-27T02:11:40Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-27T02:11:42.7Z,1,REGULAR,jumpball,recovered,[],1630314,,,1610612757,0,0,2022-03-27T02:11:42Z,40000,,,0,,Jump Ball D. Eubanks vs. C. Wood: Tip to B. Williams,"[1630314, 1629234, 1626174]",1610612757.0,POR,startperiod,B. Williams,1630314.0,Williams,B. Williams,Eubanks,1629234.0,Wood,1626174.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M28.00S,2022-03-27T02:12:10.6Z,1,REGULAR,turnover,lost ball,[],1630553,,,1610612757,0,0,2022-03-27T02:12:16Z,70000,,,0,,K. Johnson lost ball TURNOVER (1 TO),"[1630553, 1626174]",1610612757.0,POR,,,,Johnson,K. Johnson,,,,,1.0,Wood,1626174.0,,,,,,,,,,,,,,,,,,
8,PT11M28.00S,2022-03-27T02:12:10.6Z,1,REGULAR,steal,,[],1626174,,,1610612745,0,0,2022-03-27T02:12:12Z,80000,,,0,,C. Wood STEAL (1 STL),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M23.00S,2022-03-27T02:12:16.5Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629645,19.92444152431012,34.55882352941176,1610612745,0,0,2022-03-27T02:12:41Z,90000,77.0,135.0,1,left,MISS K. Porter Jr. 15' running Shot,[1629645],1610612745.0,HOU,running,,,Porter Jr.,K. Porter Jr.,,,,,,,,15.53,Missed,,,,,,,,,,,,,,,,
10,PT11M21.00S,2022-03-27T02:12:18.5Z,1,REGULAR,rebound,defensive,[],1629604,,,1610612757,0,0,2022-03-27T02:12:21Z,100000,,,0,,C. Elleby REBOUND (Off:0 Def:1),[1629604],1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,
11,PT11M17.00S,2022-03-27T02:12:23.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630553,91.93495400788436,46.32352941176471,1610612757,0,0,2022-03-27T02:12:35Z,110000,-18.0,23.0,1,right,MISS K. Johnson running Layup,[1630553],1610612757.0,POR,running,,,Johnson,K. Johnson,,,,,,,,2.97,Missed,,,,,,,,,,,,,,,,
12,PT11M17.00S,2022-03-27T02:12:26.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,0,0,2022-03-27T02:12:26Z,120000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,
13,PT11M17.00S,2022-03-27T02:12:28.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,0,0,2022-03-27T02:12:28Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M17.00S,2022-03-27T02:12:29.4Z,1,REGULAR,foul,personal,[],1629726,,,1610612757,0,0,2022-03-27T02:12:37Z,140000,,,0,,G. Mathews loose ball personal FOUL (1 PF),"[1629726, 1629234]",1610612745.0,HOU,loose ball,,,Mathews,G. Mathews,,,,,,,,,,,,,,1155.0,1.0,0.0,Eubanks,1629234.0,,,,,,,
16,PT11M12.00S,2022-03-27T02:12:46.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630314,73.40670170827858,34.31372549019608,1610612757,2,0,2022-03-27T02:12:50Z,160000,-78.0,197.0,1,right,B. Williams 21' pullup Jump Shot (2 PTS),[1630314],1610612757.0,POR,pullup,,,Williams,B. Williams,,,,,,,,21.25,Made,,,,,,,,,,2.0,,,,,,
17,PT10M53.00S,2022-03-27T02:13:11.8Z,1,REGULAR,foul,personal,['2freethrow'],1630553,,,1610612745,2,0,2022-03-27T02:13:23Z,170000,,,0,,K. Johnson shooting personal FOUL (1 PF) (Green 2 FT),"[1630553, 1630224]",1610612757.0,POR,shooting,,,Johnson,K. Johnson,,,,,,,,,,,,,,1155.0,1.0,0.0,Green,1630224.0,,,,,,,
19,PT10M53.00S,2022-03-27T02:13:35.2Z,1,REGULAR,freethrow,1 of 2,[],1630224,,,1610612745,2,1,2022-03-27T02:13:53Z,190000,,,0,,J. Green Free Throw 1 of 2 (1 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,Made,,,,,,,,,,1.0,,,,,,
20,PT10M53.00S,2022-03-27T02:13:35.2Z,1,REGULAR,freethrow,2 of 2,[],1630224,,,1610612745,2,1,2022-03-27T02:13:53Z,200000,,,0,,MISS J. Green Free Throw 2 of 2,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,Missed,,,,,,,,,,,,,,,,
21,PT10M50.00S,2022-03-27T02:13:38.2Z,1,REGULAR,rebound,defensive,[],1630570,,,1610612757,2,1,2022-03-27T02:13:53Z,210000,,,0,,T. Watford REBOUND (Off:0 Def:1),[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,
