actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-12-13T02:11:24.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-13T02:11:24Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2021-12-13T02:11:49.3Z,1,REGULAR,jumpball,recovered,[],1626156,,,0,0,0,2021-12-13T02:11:49Z,40000,,,0,,Jump Ball K. Towns vs. J. Nurkic: Tip to D. Russell,"[1626156, 1626157, 203994]",1610612750.0,MIN,heldball,D. Russell,1626156.0,Russell,D. Russell,Towns,1626157.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2021-12-13T02:12:00.6Z,1,REGULAR,3pt,Jump Shot,[],1630162,31.750985545335087,43.38235294117647,1610612750,0,0,2021-12-13T02:12:48Z,70000,33.0,246.0,1,left,MISS A. Edwards 24' step back 3PT,[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,24.82,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2021-12-13T02:12:03.6Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,0,0,2021-12-13T02:12:04Z,80000,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M30.00S,2021-12-13T02:12:11.8Z,1,REGULAR,3pt,Jump Shot,[],1629642,91.93495400788436,94.85294117647058,1610612757,0,0,2021-12-13T02:12:15Z,90000,224.0,23.0,1,right,MISS N. Little 3PT,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,22.55,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2021-12-13T02:12:14.5Z,1,REGULAR,rebound,defensive,[],201976,,,1610612750,0,0,2021-12-13T02:12:14Z,100000,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M21.00S,2021-12-13T02:12:21.2Z,1,REGULAR,foul,personal,['2freethrow'],203994,,,1610612750,0,0,2021-12-13T02:12:31Z,110000,,,0,,J. Nurkic shooting personal FOUL (1 PF) (Beverley 2 FT),"[203994, 201976]",1610612757.0,POR,shooting,,,Nurkic,J. Nurkic,,,,,,,,,,,1627962.0,1.0,0.0,Beverley,201976.0,,,,,,,,,,
13,PT11M21.00S,2021-12-13T02:12:50.5Z,1,REGULAR,freethrow,1 of 2,[],201976,,,1610612750,0,1,2021-12-13T02:12:50Z,130000,,,0,,P. Beverley Free Throw 1 of 2 (1 PTS),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
14,PT11M21.00S,2021-12-13T02:13:04.4Z,1,REGULAR,freethrow,2 of 2,[],201976,,,1610612750,0,2,2021-12-13T02:13:04Z,140000,,,0,,P. Beverley Free Throw 2 of 2 (2 PTS),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,Made,,,,,,,,,,2.0,,,,,,,,,
15,PT11M13.00S,2021-12-13T02:13:14.0Z,1,REGULAR,turnover,bad pass,[],203081,,,1610612757,0,2,2021-12-13T02:13:17Z,150000,,,0,,D. Lillard bad pass TURNOVER (1 TO),"[203081, 1629020]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,1.0,Vanderbilt,1629020.0,,,,,,
16,PT11M13.00S,2021-12-13T02:13:14.0Z,1,REGULAR,steal,,[],1629020,,,1610612750,0,2,2021-12-13T02:13:15Z,160000,,,0,,J. Vanderbilt STEAL (1 STL),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT11M12.00S,2021-12-13T02:13:17.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629020,6.1268068331143235,49.754901960784316,1610612750,0,4,2021-12-13T02:13:25Z,170000,1.0,5.0,1,left,J. Vanderbilt running reverse Layup (2 PTS),[1629020],1610612750.0,MIN,running reverse,,,Vanderbilt,J. Vanderbilt,,,,,0.52,Made,,,,,,,,,,2.0,,,,,,,,,
18,PT11M12.00S,2021-12-13T02:13:20.2Z,1,REGULAR,foul,personal,['1freethrow'],1626204,,,1610612750,0,4,2021-12-13T02:13:37Z,180000,,,0,,L. Nance Jr. shooting personal FOUL (1 PF) (Vanderbilt 1 FT),"[1626204, 1629020]",1610612757.0,POR,shooting,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,204059.0,1.0,0.0,Vanderbilt,1629020.0,,,,,,,,,,
20,PT11M12.00S,2021-12-13T02:13:46.6Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1629020,,,1610612750,0,4,2021-12-13T02:13:53Z,200000,,,0,,MISS J. Vanderbilt Free Throw 1 of 1,[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,Missed,,,,,,,,,,,,,,,,,,,
21,PT11M07.00S,2021-12-13T02:13:51.6Z,1,REGULAR,rebound,defensive,[],1626204,,,1610612757,0,4,2021-12-13T02:13:48Z,210000,,,0,,L. Nance Jr. REBOUND (Off:0 Def:1),[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
22,PT10M56.00S,2021-12-13T02:14:02.4Z,1,REGULAR,turnover,out-of-bounds,[],203081,,,1610612757,0,4,2021-12-13T02:14:07Z,220000,,,0,,D. Lillard lost ball out-of-bounds TURNOVER (2 TO),[203081],1610612757.0,POR,lost ball,,,Lillard,D. Lillard,,,,,,,,,,,1627962.0,,,,,,2.0,,,,,,,,
23,PT10M48.00S,2021-12-13T02:14:11.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201976,23.73521681997372,23.52941176470588,1610612750,0,4,2021-12-13T02:14:15Z,230000,132.0,171.0,1,left,MISS P. Beverley 21' step back Shot,[201976],1610612750.0,MIN,step back,,,Beverley,P. Beverley,,,,,21.59,Missed,,,,,,,,,,,,,,,,,,,
24,PT10M45.00S,2021-12-13T02:14:14.7Z,1,REGULAR,rebound,defensive,[],1629642,,,1610612757,0,4,2021-12-13T02:14:15Z,240000,,,0,,N. Little REBOUND (Off:0 Def:1),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
25,PT10M26.00S,2021-12-13T02:14:34.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629642,93.77463863337714,50.73529411764706,1610612757,2,4,2021-12-13T02:14:41Z,250000,4.0,6.0,1,right,N. Little driving DUNK (2 PTS) (J. Nurkic 1 AST),"[1629642, 203994]",1610612757.0,POR,driving,,,Little,N. Little,,,,,0.7,Made,,,,,,,,,,2.0,,,,J. Nurkic,203994.0,1.0,,,
27,PT09M59.00S,2021-12-13T02:15:04.5Z,1,REGULAR,foul,personal,[],1626181,,,1610612750,2,4,2021-12-13T02:15:08Z,270000,,,0,,N. Powell personal FOUL (1 PF),"[1626181, 1626157]",1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,202053.0,1.0,0.0,Towns,1626157.0,,,,,,,,,,
29,PT09M53.00S,2021-12-13T02:15:30.4Z,1,REGULAR,3pt,Jump Shot,[],1626156,19.398817345597898,92.15686274509804,1610612750,2,4,2021-12-13T02:15:34Z,290000,-211.0,130.0,1,left,MISS D. Russell 24' 3PT,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,24.76,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M51.00S,2021-12-13T02:15:32.4Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,2,4,2021-12-13T02:15:34Z,300000,,,0,,J. Nurkic REBOUND (Off:0 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,29.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
