actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-10-28T02:11:14.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-28T02:11:14Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-10-28T02:11:16.1Z,1,REGULAR,jumpball,recovered,[],1628991,,,1610612763,0,0,2021-10-28T02:11:16Z,40000,,,0,,Jump Ball S. Adams vs. J. Nurkic: Tip to J. Jackson Jr.,"[1628991, 203500, 203994]",1610612763.0,MEM,startperiod,J. Jackson Jr.,1628991.0,Jackson Jr.,J. Jackson Jr.,Adams,203500.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-10-28T02:11:30.4Z,1,REGULAR,3pt,Jump Shot,[],1629001,66.3107752956636,48.28431372549019,1610612763,0,0,2021-10-28T02:11:36Z,70000,-9.0,264.0,1,right,MISS D. Melton 26' 3PT,[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,26.43,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2021-10-28T02:11:34.4Z,1,REGULAR,rebound,defensive,[],203081,,,1610612757,0,0,2021-10-28T02:11:36Z,80000,,,0,,D. Lillard REBOUND (Off:0 Def:1),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M33.00S,2021-10-28T02:11:39.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203081,33.590670170827856,51.71568627450981,1610612757,3,0,2021-10-28T02:11:48Z,90000,-9.0,263.0,1,left,D. Lillard 26' 3PT running pullup (3 PTS),[203081],1610612757.0,POR,running pullup,,,Lillard,D. Lillard,,,,,26.34,Made,,,,,3.0,,,,,,,,,,,,,
10,PT11M18.00S,2021-10-28T02:11:55.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203500,87.20433639947439,43.38235294117647,1610612763,3,2,2021-10-28T02:12:02Z,100000,-33.0,68.0,1,right,S. Adams 7' floating Jump Shot (2 PTS) (J. Jackson Jr. 1 AST),"[203500, 1628991]",1610612763.0,MEM,floating,,,Adams,S. Adams,,,,,7.54,Made,,,,,2.0,J. Jackson Jr.,1628991.0,1.0,,,,,,,,,,
12,PT10M53.00S,2021-10-28T02:12:19.7Z,1,REGULAR,2pt,Jump Shot,[],203468,8.754927726675426,78.18627450980392,1610612757,3,2,2021-10-28T02:13:05Z,120000,-141.0,30.0,1,left,MISS C. McCollum 14' pullup Shot - blocked,"[203468, 1630217]",1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,14.4,Missed,,,,,,,,,Bane,1630217.0,,,,,,,,
13,PT10M53.00S,2021-10-28T02:12:19.7Z,1,REGULAR,block,,[],1630217,,,1610612757,3,2,2021-10-28T02:12:22Z,130000,,,0,,D. Bane BLOCK (1 BLK),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,
14,PT10M51.00S,2021-10-28T02:12:21.7Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,3,2,2021-10-28T02:12:26Z,140000,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M46.00S,2021-10-28T02:12:27.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630217,74.85216819973719,10.784313725490197,1610612763,3,5,2021-10-28T02:12:34Z,150000,-196.0,184.0,1,right,D. Bane 26' 3PT  (3 PTS) (J. Jackson Jr. 2 AST),"[1630217, 1628991]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,26.88,Made,,,,,3.0,J. Jackson Jr.,1628991.0,2.0,,,,,,,,,,
17,PT10M26.00S,2021-10-28T02:12:46.9Z,1,REGULAR,3pt,Jump Shot,[],203468,31.61957950065703,38.23529411764706,1610612757,3,5,2021-10-28T02:12:51Z,170000,59.0,245.0,1,left,MISS C. McCollum 25' pullup 3PT,[203468],1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,25.17,Missed,,,,,,,,,,,,,,,,,,
18,PT10M25.00S,2021-10-28T02:12:47.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612763,3,5,2021-10-28T02:12:51Z,180000,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,
19,PT10M25.00S,2021-10-28T02:12:52.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,3,5,2021-10-28T02:12:52Z,190000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M15.00S,2021-10-28T02:13:05.4Z,1,REGULAR,turnover,out-of-bounds,[],1629630,,,1610612763,3,5,2021-10-28T02:13:12Z,200000,,,0,,J. Morant lost ball out-of-bounds TURNOVER (1 TO),[1629630],1610612763.0,MEM,lost ball,,,Morant,J. Morant,,,,,,,,,,,,,,,,,202037.0,1.0,,,,,,
21,PT09M56.00S,2021-10-28T02:13:35.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629642,6.521024967148489,51.225490196078425,1610612757,5,5,2021-10-28T02:13:40Z,210000,-6.0,9.0,1,left,N. Little driving Layup (2 PTS) (D. Lillard 1 AST),"[1629642, 203081]",1610612757.0,POR,driving,,,Little,N. Little,,,,,1.07,Made,,,,,2.0,D. Lillard,203081.0,1.0,,,,,,,,,,
23,PT09M56.00S,2021-10-28T02:13:40.0Z,1,REGULAR,foul,personal,['1freethrow'],1629630,,,1610612757,5,5,2021-10-28T02:14:06Z,230000,,,0,,J. Morant shooting personal FOUL (1 PF) (Little 1 FT),"[1629630, 1629642]",1610612763.0,MEM,shooting,,,Morant,J. Morant,,,,,,,,,,,,,,,,,1179.0,,1.0,0.0,Little,1629642.0,,
25,PT09M56.00S,2021-10-28T02:14:00.2Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1629642,,,1610612757,6,5,2021-10-28T02:14:00Z,250000,,,0,,N. Little Free Throw 1 of 1 (3 PTS),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
26,PT09M40.00S,2021-10-28T02:14:17.1Z,1,REGULAR,2pt,Jump Shot,[],1628991,90.88370565045992,81.12745098039215,1610612763,6,7,2021-10-28T02:14:23Z,260000,156.0,33.0,1,right,J. Jackson Jr. 15' driving floating Jump Shot (2 PTS) (J. Morant 1 AST),"[1628991, 1629630]",1610612763.0,MEM,driving floating,,,Jackson Jr.,J. Jackson Jr.,,,,,15.91,Made,,,,,2.0,J. Morant,1629630.0,1.0,,,,,,,,,,
28,PT09M28.00S,2021-10-28T02:14:28.2Z,1,REGULAR,3pt,Jump Shot,[],203081,33.722076215505915,55.63725490196079,1610612757,6,7,2021-10-28T02:14:33Z,280000,-28.0,264.0,1,left,MISS D. Lillard 26' pullup 3PT,[203081],1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,26.6,Missed,,,,,,,,,,,,,,,,,,
