actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-21T03:11:38.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-21T03:11:38Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-21T03:11:40.3Z,1,REGULAR,jumpball,recovered,[],203081,,,1610612757,0,0,2021-11-21T03:11:40Z,40000,,,0,,Jump Ball J. Nurkic vs. A. Drummond: Tip to D. Lillard,"[203081, 203994, 203083]",1610612757.0,POR,startperiod,D. Lillard,203081.0,Lillard,D. Lillard,Nurkic,203994.0,Drummond,203083.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2021-11-21T03:11:59.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,94.30026281208936,51.9607843137255,1610612757,2,0,2021-11-21T03:12:05Z,70000,10.0,1.0,1,right,J. Nurkic driving reverse Layup (2 PTS),[203994],1610612757.0,POR,driving reverse,,,Nurkic,J. Nurkic,,,,,0.99,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2021-11-21T03:12:15.9Z,1,REGULAR,3pt,Jump Shot,[],202699,17.95335085413929,93.87254901960785,1610612755,2,0,2021-11-21T03:12:19Z,80000,-219.0,116.0,1,left,MISS T. Harris 24' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,24.83,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M18.00S,2021-11-21T03:12:18.9Z,1,REGULAR,rebound,defensive,[],203468,,,1610612757,2,0,2021-11-21T03:12:19Z,90000,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M07.00S,2021-11-21T03:12:31.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626181,91.40932982917214,54.166666666666664,1610612757,2,0,2021-11-21T03:12:35Z,100000,21.0,28.0,1,right,MISS N. Powell driving Layup - blocked,"[1626181, 1627777]",1610612757.0,POR,driving,,,Powell,N. Powell,,,,,3.51,Missed,,,,,,Niang,1627777.0,,,,,,,,,,,,
11,PT11M07.00S,2021-11-21T03:12:31.4Z,1,REGULAR,block,,[],1627777,,,1610612757,2,0,2021-11-21T03:12:33Z,110000,,,0,,G. Niang BLOCK (1 BLK),[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M07.00S,2021-11-21T03:12:31.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,2,0,2021-11-21T03:12:35Z,120000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,
13,PT11M07.00S,2021-11-21T03:12:35.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,2,0,2021-11-21T03:12:35Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M02.00S,2021-11-21T03:12:50.0Z,1,REGULAR,foul,personal,['2freethrow'],1627777,,,1610612757,2,0,2021-11-21T03:13:01Z,140000,,,0,,G. Niang shooting personal FOUL (1 PF) (Powell 2 FT),"[1627777, 1626181]",1610612755.0,PHI,shooting,,,Niang,G. Niang,,,,,,,,,,,,,,202035.0,1.0,0.0,Powell,1626181.0,,,,,,,
