actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-07T02:41:32.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-07T02:41:32Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-07T02:41:34.4Z,1,REGULAR,jumpball,recovered,[],203081,,,1610612757,0,0,2021-11-07T02:41:34Z,40000,,,0,,Jump Ball J. Nurkic vs. D. Jordan: Tip to D. Lillard,"[203081, 203994, 201599]",1610612757.0,POR,startperiod,D. Lillard,203081.0,Lillard,D. Lillard,Nurkic,203994.0,Jordan,201599.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-11-07T02:41:45.3Z,1,REGULAR,3pt,Jump Shot,[],203081,69.07030223390277,81.12745098039215,1610612757,3,0,2021-11-07T02:41:49Z,70000,156.0,238.0,1,right,D. Lillard 28' 3PT  (3 PTS) (N. Powell 1 AST),"[203081, 1626181]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,28.45,Made,3.0,N. Powell,1626181.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2021-11-07T02:42:09.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201599,6.652431011826544,49.50980392156863,1610612747,3,2,2021-11-07T02:42:13Z,90000,2.0,10.0,1,left,D. Jordan driving DUNK (2 PTS) (A. Bradley 1 AST),"[201599, 202340]",1610612747.0,LAL,driving,,,Jordan,D. Jordan,,,,,1.03,Made,2.0,A. Bradley,202340.0,1.0,,,,,,,,,,,,,,
11,PT11M03.00S,2021-11-07T02:42:28.1Z,1,REGULAR,3pt,Jump Shot,[],203496,83.39356110381078,95.58823529411765,1610612757,6,2,2021-11-07T02:42:32Z,110000,228.0,104.0,1,right,R. Covington 25' 3PT  (3 PTS) (D. Lillard 1 AST),"[203496, 203081]",1610612757.0,POR,,,,Covington,R. Covington,,,,,25.03,Made,3.0,D. Lillard,203081.0,1.0,,,,,,,,,,,,,,
13,PT10M48.00S,2021-11-07T02:42:43.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202340,9.806176084099869,47.30392156862745,1610612747,6,4,2021-11-07T02:42:48Z,130000,13.0,40.0,1,left,A. Bradley driving floating Jump Shot (2 PTS),[202340],1610612747.0,LAL,driving floating,,,Bradley,A. Bradley,,,,,4.19,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M37.00S,2021-11-07T02:42:54.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626181,92.72339027595268,54.41176470588235,1610612757,6,4,2021-11-07T02:43:13Z,140000,22.0,16.0,1,right,MISS N. Powell DUNK,[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,2.72,Missed,,,,,,,,,,,,,,,,,,
15,PT10M33.00S,2021-11-07T02:42:58.3Z,1,REGULAR,rebound,defensive,[],202340,,,1610612747,6,4,2021-11-07T02:42:58Z,150000,,,0,,A. Bradley REBOUND (Off:0 Def:1),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
16,PT10M29.00S,2021-11-07T02:43:02.1Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],202340,25.969119579500656,38.970588235294116,1610612747,6,6,2021-11-07T02:49:47Z,160000,55.0,192.0,1,left,A. Bradley 19' pullup Jump Shot (4 PTS),[202340],1610612747.0,LAL,pullup,,,Bradley,A. Bradley,,,,,19.94,Made,4.0,,,,,,,,,,,,,,,,,
17,PT10M16.00S,2021-11-07T02:43:14.7Z,1,REGULAR,3pt,Jump Shot,[],203468,71.30420499342969,21.323529411764707,1610612757,6,6,2021-11-07T02:43:18Z,170000,-143.0,217.0,1,right,MISS C. McCollum 26' step back 3PT,[203468],1610612757.0,POR,step back,,,McCollum,C. McCollum,,,,,26.03,Missed,,,,,,,,,,,,,,,,,,
