actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-07T03:11:35.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-07T03:11:35Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-07T03:11:38.7Z,1,REGULAR,jumpball,recovered,[],1628372,,,1610612757,0,0,2021-12-07T03:11:38Z,40000,,,0,,Jump Ball J. Nurkic vs. I. Zubac: Tip to D. Smith Jr.,"[1628372, 203994, 1627826]",1610612757.0,POR,startperiod,D. Smith Jr.,1628372.0,Smith Jr.,D. Smith Jr.,Nurkic,203994.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M57.00S,2021-12-07T03:11:51.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,10.85742444152431,51.71568627450981,1610612757,2,0,2021-12-07T03:11:58Z,70000,-9.0,50.0,1,left,J. Nurkic driving Hook (2 PTS),[203994],1610612757.0,POR,driving,,,Nurkic,J. Nurkic,,,,,5.03,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2021-12-07T03:12:07.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612746,2,0,2021-12-07T03:12:07Z,80000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2021-12-07T03:12:28.0Z,1,REGULAR,3pt,Jump Shot,[],1628379,77.08607095926413,11.029411764705882,1610612746,2,0,2021-12-07T03:12:33Z,90000,-195.0,163.0,1,right,MISS L. Kennard 25' 3PT,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,25.4,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M36.00S,2021-12-07T03:12:31.0Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,2,0,2021-12-07T03:12:33Z,100000,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M26.00S,2021-12-07T03:12:40.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203994,13.748357424441524,36.51960784313725,1610612757,4,0,2021-12-07T03:12:51Z,110000,67.0,77.0,1,left,J. Nurkic 10' pullup Jump Shot (4 PTS) (T. Snell 1 AST),"[203994, 203503]",1610612757.0,POR,pullup,,,Nurkic,J. Nurkic,,,,,10.21,Made,4.0,,,,,T. Snell,203503.0,1.0,,,,,,,,,,,
13,PT11M02.00S,2021-12-07T03:13:04.8Z,1,REGULAR,2pt,Jump Shot,[],202694,88.38699080157687,30.637254901960787,1610612746,4,2,2021-12-07T03:13:14Z,130000,-97.0,57.0,1,right,M. Morris Sr. 11' turnaround fadeaway Jump Shot (2 PTS),[202694],1610612746.0,LAC,turnaround fadeaway,,,Morris Sr.,M. Morris Sr.,,,,,11.22,Made,2.0,,,,,,,,,,,,,,,,,,
14,PT10M43.00S,2021-12-07T03:13:23.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626181,12.697109067017081,49.01960784313725,1610612757,4,2,2021-12-07T03:13:41Z,140000,5.0,67.0,1,left,MISS N. Powell 6' driving Layup,[1626181],1610612757.0,POR,driving,,,Powell,N. Powell,,,,,6.71,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M43.00S,2021-12-07T03:13:23.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,4,2,2021-12-07T03:13:30Z,150000,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,
