actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-31T02:13:40.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-31T02:13:40Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-31T02:13:44.3Z,1,REGULAR,jumpball,recovered,[],203468,,,1610612740,0,0,2022-03-31T02:13:44Z,40000,,,0,,Jump Ball J. Valanciunas vs. D. Eubanks: Tip to C. McCollum,"[203468, 202685, 1629234]",1610612740.0,NOP,startperiod,C. McCollum,203468.0,McCollum,C. McCollum,Valanciunas,202685.0,Eubanks,1629234.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-03-31T02:14:03.0Z,1,REGULAR,foul,personal,['2freethrow'],1629604,,,1610612740,0,0,2022-03-31T02:14:13Z,70000,,,0,,C. Elleby shooting personal FOUL (1 PF) (Ingram 2 FT),"[1629604, 1627742]",1610612757.0,POR,shooting,,,Elleby,C. Elleby,,,,,1628954.0,1.0,0.0,Ingram,1627742.0,,,,,,,,,,,,,,,,
9,PT11M38.00S,2022-03-31T02:14:33.1Z,1,REGULAR,freethrow,1 of 2,[],1627742,,,1610612740,0,0,2022-03-31T02:14:33Z,90000,,,0,,MISS B. Ingram Free Throw 1 of 2,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,Missed,,,,,,,,,,,,,,,
10,PT11M38.00S,2022-03-31T02:14:33.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,0,0,2022-03-31T02:14:33Z,100000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,
11,PT11M38.00S,2022-03-31T02:14:49.8Z,1,REGULAR,freethrow,2 of 2,[],1627742,,,1610612740,0,1,2022-03-31T02:14:49Z,110000,,,0,,B. Ingram Free Throw 2 of 2 (1 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,Made,,1.0,,,,,,,,,,,,,
12,PT11M26.00S,2022-03-31T02:15:02.5Z,1,REGULAR,3pt,Jump Shot,[],1630535,30.17411300919842,29.901960784313726,1610612757,3,1,2022-03-31T02:15:09Z,120000,100.0,231.0,1,left,G. Brown III 25' 3PT  (3 PTS) (B. Williams 1 AST),"[1630535, 1630314]",1610612757.0,POR,,,,Brown III,G. Brown III,,,,,,,,,,Made,,3.0,25.2,B. Williams,1630314.0,1.0,,,,,,,,,
14,PT11M15.00S,2022-03-31T02:15:14.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,92.06636005256242,45.34313725490196,1610612740,3,1,2022-03-31T02:15:23Z,140000,-23.0,22.0,1,right,MISS B. Ingram driving Layup,[1627742],1610612740.0,NOP,driving,,,Ingram,B. Ingram,,,,,,,,,,Missed,,,3.21,,,,,,,,,,,,
15,PT11M13.00S,2022-03-31T02:15:16.1Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612757,3,1,2022-03-31T02:15:23Z,150000,,,0,,D. Eubanks REBOUND (Off:0 Def:1),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,,14.0,,,,,,1.0,1.0,0.0,,,,,,
16,PT11M11.00S,2022-03-31T02:15:19.3Z,1,REGULAR,turnover,lost ball,[],1629604,,,1610612757,3,1,2022-03-31T03:19:48Z,160000,,,0,,C. Elleby lost ball TURNOVER (1 TO),"[1629604, 1629637]",1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,,,,,,,,,,,,,,1.0,Hayes,1629637.0,,,
