actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-16T03:12:10.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-16T03:12:10Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-16T03:12:13.3Z,1,REGULAR,jumpball,recovered,[],203496,,,1610612757,0,0,2021-11-16T03:12:13Z,40000,,,0,,Jump Ball J. Nurkic vs. S. Barnes: Tip to R. Covington,"[203496, 203994, 1630567]",1610612757.0,POR,startperiod,R. Covington,203496.0,Covington,R. Covington,Nurkic,203994.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2021-11-16T03:12:34.9Z,1,REGULAR,3pt,Jump Shot,[],1626181,87.72996057818659,94.11764705882352,1610612757,0,0,2021-11-16T03:12:39Z,70000,221.0,63.0,1,right,MISS N. Powell 3PT,[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,22.94,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2021-11-16T03:12:36.9Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612761,0,0,2021-11-16T03:12:39Z,80000,,,0,,G. Trent Jr. REBOUND (Off:0 Def:1),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M09.00S,2021-11-16T03:12:59.4Z,1,REGULAR,2pt,Jump Shot,[],1628384,19.793035479632064,25.98039215686275,1610612761,0,2,2021-11-16T03:13:02Z,90000,120.0,134.0,1,left,O. Anunoby 17' turnaround fadeaway Jump Shot (2 PTS),[1628384],1610612761.0,TOR,turnaround fadeaway,,,Anunoby,O. Anunoby,,,,,17.96,Made,,,,,2.0,,,,,,,,,,,,,,
10,PT10M53.00S,2021-11-16T03:13:16.3Z,1,REGULAR,3pt,Jump Shot,[],203468,79.71419185282524,92.40196078431373,1610612757,3,2,2021-11-16T03:13:23Z,100000,212.0,138.0,1,right,C. McCollum 25' 3PT  (3 PTS) (D. Lillard 1 AST),"[203468, 203081]",1610612757.0,POR,,,,McCollum,C. McCollum,,,,,25.31,Made,,,,,3.0,D. Lillard,203081.0,1.0,,,,,,,,,,,
12,PT10M41.00S,2021-11-16T03:13:27.7Z,1,REGULAR,3pt,Jump Shot,[],1628384,22.158344283837057,12.5,1610612761,3,5,2021-11-16T03:13:35Z,120000,188.0,156.0,1,left,O. Anunoby 24' 3PT pullup (5 PTS),[1628384],1610612761.0,TOR,pullup,,,Anunoby,O. Anunoby,,,,,24.38,Made,,,,,5.0,,,,,,,,,,,,,,
13,PT10M24.00S,2021-11-16T03:13:44.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,93.9060446780552,51.9607843137255,1610612757,3,5,2021-11-16T03:13:54Z,130000,10.0,5.0,1,right,MISS J. Nurkic Layup,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,1.09,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M23.00S,2021-11-16T03:13:45.7Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,3,5,2021-11-16T03:13:54Z,140000,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
15,PT10M10.00S,2021-11-16T03:13:59.3Z,1,REGULAR,3pt,Jump Shot,[],1628384,6.389618922470433,4.6568627450980395,1610612761,3,8,2021-11-16T03:14:03Z,150000,227.0,8.0,1,left,O. Anunoby 3PT  (8 PTS) (P. Siakam 1 AST),"[1628384, 1627783]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,22.68,Made,,,,,8.0,P. Siakam,1627783.0,1.0,,,,,,,,,,,
