actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-10T03:11:25.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-10T03:11:25Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-10T03:11:28.3Z,1,REGULAR,jumpball,recovered,[],1628370,,,1610612747,0,0,2022-02-10T03:11:28Z,40000,,,0,,Jump Ball A. Davis vs. J. Nurkic: Tip to M. Monk,"[1628370, 203076, 203994]",1610612747.0,LAL,startperiod,M. Monk,1628370.0,Monk,M. Monk,Davis,203076.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-02-10T03:11:44.8Z,1,REGULAR,3pt,Jump Shot,[],1628370,20.18725361366623,92.15686274509804,1610612747,0,0,2022-02-10T03:11:49Z,70000,-211.0,137.0,1,left,MISS M. Monk 25' 3PT,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,25.16,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2022-02-10T03:11:48.8Z,1,REGULAR,rebound,defensive,[],1626159,,,1610612757,0,0,2022-02-10T03:11:49Z,80000,,,0,,J. Winslow REBOUND (Off:0 Def:1),[1626159],1610612757.0,POR,,,,Winslow,J. Winslow,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M15.00S,2022-02-10T03:12:09.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,94.43166885676742,48.77450980392157,1610612757,2,0,2022-02-10T03:12:14Z,90000,-6.0,0.0,1,right,J. Nurkic driving Layup (2 PTS) (A. Simons 1 AST),"[203994, 1629014]",1610612757.0,POR,driving,,,Nurkic,J. Nurkic,,,,,0.61,Made,,,,,2.0,A. Simons,1629014.0,1.0,,,,,,,,,,,
10,PT11M03.00S,2022-02-10T03:12:20.9Z,1,REGULAR,2pt,Jump Shot,[],203076,22.28975032851511,54.166666666666664,1610612747,2,0,2022-02-10T03:12:24Z,100000,-21.0,157.0,1,left,MISS A. Davis 15' turnaround Shot,[203076],1610612747.0,LAL,turnaround,,,Davis,A. Davis,,,,,15.84,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M02.00S,2022-02-10T03:12:21.9Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,2,0,2022-02-10T03:12:24Z,110000,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
12,PT10M54.00S,2022-02-10T03:12:33.0Z,1,REGULAR,violation,kicked ball,[],203076,,,1610612757,2,0,2022-02-10T03:14:14Z,120000,,,0,,A. Davis kicked ball VIOLATION,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,201638.0,,,,,,,,,,
13,PT10M49.00S,2022-02-10T03:12:58.2Z,1,REGULAR,3pt,Jump Shot,[],1629014,74.85216819973719,85.04901960784314,1610612757,2,0,2022-02-10T03:13:01Z,130000,175.0,184.0,1,right,MISS A. Simons 25' pullup 3PT,[1629014],1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,25.4,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M48.00S,2022-02-10T03:12:59.2Z,1,REGULAR,rebound,defensive,[],1628370,,,1610612747,2,0,2022-02-10T03:13:01Z,140000,,,0,,M. Monk REBOUND (Off:0 Def:1),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
15,PT10M29.00S,2022-02-10T03:13:18.6Z,1,REGULAR,2pt,Jump Shot,[],2544,16.376478318002626,20.588235294117645,1610612747,2,2,2022-02-10T03:13:22Z,150000,147.0,101.0,1,left,L. James 17' fadeaway Jump Shot (2 PTS),[2544],1610612747.0,LAL,fadeaway,,,James,L. James,,,,,17.87,Made,,,,,2.0,,,,,,,,,,,,,,
17,PT10M15.00S,2022-02-10T03:13:33.1Z,1,REGULAR,turnover,lost ball,[],203463,,,1610612757,2,2,2022-02-10T03:13:37Z,160000,,,0,,B. McLemore lost ball TURNOVER (1 TO),"[203463, 203076]",1610612757.0,POR,,,,McLemore,B. McLemore,,,,,,,,,,,,,,,,1.0,Davis,203076.0,,,,,,,
18,PT10M15.00S,2022-02-10T03:13:33.1Z,1,REGULAR,steal,,[],203076,,,1610612747,2,2,2022-02-10T03:13:34Z,170000,,,0,,A. Davis STEAL (1 STL),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M13.00S,2022-02-10T03:13:39.1Z,1,REGULAR,violation,kicked ball,[],203994,,,1610612747,2,2,2022-02-10T03:13:43Z,180000,,,0,,J. Nurkic kicked ball VIOLATION,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,202035.0,,,,,,,,,,
20,PT10M07.00S,2022-02-10T03:13:53.5Z,1,REGULAR,turnover,bad pass,[],2544,,,1610612747,2,2,2022-02-10T03:13:57Z,190000,,,0,,L. James bad pass TURNOVER (1 TO),"[2544, 203463]",1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,1.0,McLemore,203463.0,,,,,,,
21,PT10M07.00S,2022-02-10T03:13:53.5Z,1,REGULAR,steal,,[],203463,,,1610612757,2,2,2022-02-10T03:13:55Z,200000,,,0,,B. McLemore STEAL (1 STL),[203463],1610612757.0,POR,,,,McLemore,B. McLemore,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M01.00S,2022-02-10T03:13:59.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626159,95.3515111695138,44.85294117647059,1610612757,4,2,2022-02-10T03:14:03Z,210000,-26.0,-9.0,1,right,J. Winslow running Layup (2 PTS) (C. Elleby 1 AST),"[1626159, 1629604]",1610612757.0,POR,running,,,Winslow,J. Winslow,,,,,2.72,Made,,,,,2.0,C. Elleby,1629604.0,1.0,,,,,,,,,,,
24,PT09M46.00S,2022-02-10T03:14:19.6Z,1,REGULAR,foul,personal,[],203994,,,1610612747,4,2,2022-02-10T03:14:25Z,230000,,,0,,J. Nurkic personal FOUL (1 PF),"[203994, 203076]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,201638.0,,,,1.0,0.0,Davis,203076.0,,,
26,PT09M35.00S,2022-02-10T03:14:46.2Z,1,REGULAR,turnover,out-of-bounds,[],1628370,,,1610612747,4,2,2022-02-10T03:14:51Z,250000,,,0,,M. Monk bad pass out-of-bounds TURNOVER (1 TO),[1628370],1610612747.0,LAL,bad pass,,,Monk,M. Monk,,,,,,,,,,,,,,,202035.0,1.0,,,,,,,,,
27,PT09M17.00S,2022-02-10T03:15:09.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629014,92.59198423127464,54.41176470588235,1610612757,4,2,2022-02-10T03:15:12Z,260000,22.0,17.0,1,right,MISS A. Simons driving floating Shot,[1629014],1610612757.0,POR,driving floating,,,Simons,A. Simons,,,,,2.79,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M16.00S,2022-02-10T03:15:10.6Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,4,2,2022-02-10T03:15:12Z,270000,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
29,PT09M02.00S,2022-02-10T03:15:24.8Z,1,REGULAR,3pt,Jump Shot,[],203076,23.603810775295663,87.25490196078431,1610612747,4,2,2022-02-10T03:15:30Z,280000,-186.0,169.0,1,left,MISS A. Davis 25' 3PT,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,25.18,Missed,,,,,,,,,,,,,,,,,,,
30,PT08M59.00S,2022-02-10T03:15:27.8Z,1,REGULAR,rebound,defensive,[],1626159,,,1610612757,4,2,2022-02-10T03:15:30Z,290000,,,0,,J. Winslow REBOUND (Off:0 Def:2),[1626159],1610612757.0,POR,,,,Winslow,J. Winslow,,,,,,,29.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
31,PT08M54.00S,2022-02-10T03:15:32.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203463,87.59855453350855,94.85294117647058,1610612757,4,2,2022-02-10T03:15:37Z,300000,224.0,64.0,1,right,MISS B. McLemore running 3PT,[203463],1610612757.0,POR,running,,,McLemore,B. McLemore,,,,,23.33,Missed,,,,,,,,,,,,,,,,,,,
32,PT08M51.00S,2022-02-10T03:15:35.7Z,1,REGULAR,rebound,defensive,[],2772,,,1610612747,4,2,2022-02-10T03:15:37Z,310000,,,0,,T. Ariza REBOUND (Off:0 Def:1),[2772],1610612747.0,LAL,,,,Ariza,T. Ariza,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
