actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
2,PT12M00.00S,2021-11-18T03:11:20.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-18T03:11:20Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-18T03:11:22.6Z,1,REGULAR,jumpball,recovered,[],203081,,,1610612757,0,0,2021-11-18T03:11:22Z,40000,,,0,,Jump Ball J. Nurkic vs. T. Bradley: Tip to D. Lillard,"[203081, 203994, 1628396]",1610612757.0,POR,startperiod,D. Lillard,203081.0,Lillard,D. Lillard,Nurkic,203994.0,Bradley,1628396.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2021-11-18T03:11:37.2Z,1,REGULAR,foul,personal,[],1628396,,,1610612757,0,0,2021-11-18T03:11:43Z,70000,,,0,,T. Bradley personal FOUL (1 PF),"[1628396, 203994]",1610612741.0,CHI,,,,Bradley,T. Bradley,,,,,1628159.0,1.0,0.0,Nurkic,203994.0,,,,,,,,,,,,,,,,
49,PT11M45.00S,2021-11-18T03:11:47.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,11.875821287779246,52.450980392156865,1610612757,0,0,2021-11-18T04:08:19Z,85000,-12.0,59.0,1,left,MISS J. Nurkic 6' driving Layup - blocked,"[203994, 201942]",1610612757.0,POR,driving,,,Nurkic,J. Nurkic,,,,,,,,,,6.04,Missed,DeRozan,201942.0,,,,,,,,,,,,
50,PT11M45.00S,2021-11-18T03:11:47.3Z,1,REGULAR,block,,[],201942,,,1610612757,0,0,2021-11-18T03:18:13Z,87500,,,0,,D. DeRozan BLOCK (1 BLK),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT11M44.00S,2021-11-18T03:11:48.3Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,0,0,2021-11-18T04:08:19Z,88750,,,0,,J. Nurkic REBOUND (Off:1 Def:0),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,49.0,1.0,0.0,1.0,,,,,,,,
9,PT11M38.00S,2021-11-18T03:11:57.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203994,5.732588699080158,49.50980392156863,1610612757,0,0,2021-11-18T03:18:13Z,90000,2.0,1.0,1,left,MISS J. Nurkic Layup - blocked,"[203994, 1628396]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,0.29,Missed,Bradley,1628396.0,,,,,,,,,,,,
10,PT11M38.00S,2021-11-18T03:11:57.5Z,1,REGULAR,block,,[],1628396,,,1610612757,0,0,2021-11-18T03:11:59Z,100000,,,0,,T. Bradley BLOCK (1 BLK),[1628396],1610612741.0,CHI,,,,Bradley,T. Bradley,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M36.00S,2021-11-18T03:11:59.5Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,0,0,2021-11-18T03:12:01Z,110000,,,0,,J. Nurkic REBOUND (Off:2 Def:0),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,9.0,2.0,0.0,2.0,,,,,,,,
12,PT11M35.00S,2021-11-18T03:12:01.6Z,1,REGULAR,foul,personal,['2freethrow'],1628396,,,1610612757,0,0,2021-11-18T03:12:09Z,120000,,,0,,T. Bradley shooting personal FOUL (2 PF) (Nurkic 2 FT),"[1628396, 203994]",1610612741.0,CHI,shooting,,,Bradley,T. Bradley,,,,,1162.0,2.0,0.0,Nurkic,203994.0,,,,,,,,,,,,,,,,
14,PT11M35.00S,2021-11-18T03:12:26.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203994,,,1610612757,1,0,2021-11-18T03:12:26Z,140000,,,0,,J. Nurkic Free Throw 1 of 2 (1 PTS),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,Made,,,,,,,1.0,,,,,,,
15,PT11M35.00S,2021-11-18T03:12:39.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203994,,,1610612757,2,0,2021-11-18T03:12:39Z,150000,,,0,,J. Nurkic Free Throw 2 of 2 (2 PTS),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,Made,,,,,,,2.0,,,,,,,
16,PT11M13.00S,2021-11-18T03:13:03.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628396,91.93495400788436,48.03921568627451,1610612741,2,0,2021-11-18T03:13:07Z,160000,-10.0,23.0,1,right,MISS T. Bradley turnaround Hook,[1628396],1610612741.0,CHI,turnaround,,,Bradley,T. Bradley,,,,,,,,,,2.53,Missed,,,,,,,,,,,,,,
17,PT11M12.00S,2021-11-18T03:13:04.7Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,2,0,2021-11-18T03:13:07Z,170000,,,0,,J. Nurkic REBOUND (Off:2 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,16.0,3.0,1.0,2.0,,,,,,,,
18,PT11M04.00S,2021-11-18T03:13:13.0Z,1,REGULAR,turnover,lost ball,[],203496,,,1610612757,2,0,2021-11-18T03:13:16Z,180000,,,0,,R. Covington lost ball TURNOVER (1 TO),"[203496, 1627936]",1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,1.0,Caruso,1627936.0,,,,
19,PT11M04.00S,2021-11-18T03:13:13.0Z,1,REGULAR,steal,,[],1627936,,,1610612741,2,0,2021-11-18T03:13:14Z,190000,,,0,,A. Caruso STEAL (1 STL),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M54.00S,2021-11-18T03:13:22.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201942,83.26215505913272,63.23529411764706,1610612741,2,2,2021-11-18T03:13:25Z,200000,66.0,105.0,1,right,D. DeRozan 12' turnaround fadeaway Jump Shot (2 PTS),[201942],1610612741.0,CHI,turnaround fadeaway,,,DeRozan,D. DeRozan,,,,,,,,,,12.4,Made,,,,,,,2.0,,,,,,,
21,PT10M39.00S,2021-11-18T03:13:38.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,5.995400788436268,50.245098039215684,1610612757,4,2,2021-11-18T03:13:41Z,210000,-1.0,4.0,1,left,J. Nurkic driving Layup (4 PTS) (D. Lillard 1 AST),"[203994, 203081]",1610612757.0,POR,driving,,,Nurkic,J. Nurkic,,,,,,,,,,0.41,Made,,,,,,,4.0,,,,D. Lillard,203081.0,1.0,
23,PT10M24.00S,2021-11-18T03:13:52.2Z,1,REGULAR,3pt,Jump Shot,[],201942,68.80749014454665,34.55882352941176,1610612741,4,2,2021-11-18T03:13:57Z,230000,-77.0,241.0,1,right,MISS D. DeRozan 25' 3PT,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,25.28,Missed,,,,,,,,,,,,,,
24,PT10M21.00S,2021-11-18T03:13:55.3Z,1,REGULAR,rebound,offensive,[],1627936,,,1610612741,4,2,2021-11-18T03:13:55Z,240000,,,0,,A. Caruso REBOUND (Off:1 Def:0),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,23.0,1.0,0.0,1.0,,,,,,,,
25,PT10M20.00S,2021-11-18T03:13:56.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628366,85.49605781865965,4.411764705882353,1610612741,4,5,2021-11-18T03:14:01Z,250000,-228.0,84.0,1,right,L. Ball 24' 3PT  (3 PTS) (A. Caruso 1 AST),"[1628366, 1627936]",1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,24.28,Made,,,,,,,3.0,,,,A. Caruso,1627936.0,1.0,
27,PT10M02.00S,2021-11-18T03:14:13.9Z,1,REGULAR,3pt,Jump Shot,[],203081,30.699737187910642,77.94117647058823,1610612757,4,5,2021-11-18T03:14:18Z,270000,-140.0,236.0,1,left,MISS D. Lillard 27' pullup 3PT,[203081],1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,,,,,,27.43,Missed,,,,,,,,,,,,,,
28,PT10M00.00S,2021-11-18T03:14:15.9Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,4,5,2021-11-18T03:14:18Z,280000,,,0,,J. Nurkic REBOUND (Off:3 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,27.0,4.0,1.0,3.0,,,,,,,,
29,PT09M51.00S,2021-11-18T03:14:25.5Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203994,8.229303547963205,44.36274509803921,1610612757,4,5,2021-11-18T03:14:30Z,290000,28.0,25.0,1,left,MISS J. Nurkic driving Hook,[203994],1610612757.0,POR,driving,,,Nurkic,J. Nurkic,,,,,,,,,,3.76,Missed,,,,,,,,,,,,,,
30,PT09M49.00S,2021-11-18T03:14:27.5Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,4,5,2021-11-18T03:14:30Z,300000,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,
31,PT09M45.00S,2021-11-18T03:14:31.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628366,69.59592641261499,72.30392156862744,1610612741,4,8,2021-11-18T03:14:37Z,310000,112.0,233.0,1,right,L. Ball 25' 3PT running pullup (6 PTS),[1628366],1610612741.0,CHI,running pullup,,,Ball,L. Ball,,,,,,,,,,25.86,Made,,,,,,,6.0,,,,,,,
32,PT09M29.00S,2021-11-18T03:14:46.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,6.258212877792378,45.83333333333333,1610612757,6,8,2021-11-18T03:14:51Z,320000,21.0,6.0,1,left,J. Nurkic driving bank Hook (6 PTS) (N. Powell 1 AST),"[203994, 1626181]",1610612757.0,POR,driving bank,,,Nurkic,J. Nurkic,,,,,,,,,,2.17,Made,,,,,,,6.0,,,,N. Powell,1626181.0,1.0,
34,PT09M18.00S,2021-11-18T03:14:57.8Z,1,REGULAR,3pt,Jump Shot,[],203897,66.70499342969777,48.529411764705884,1610612741,6,11,2021-11-18T03:15:01Z,340000,-7.0,260.0,1,right,Z. LaVine 26' 3PT step back (3 PTS),[203897],1610612741.0,CHI,step back,,,LaVine,Z. LaVine,,,,,,,,,,26.06,Made,,,,,,,3.0,,,,,,,
35,PT09M05.00S,2021-11-18T03:15:15.3Z,1,REGULAR,foul,offensive,[],203994,,,1610612757,6,11,2021-11-18T03:15:20Z,350000,,,0,,J. Nurkic offensive FOUL (1 PF),"[203994, 1628366]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,1162.0,1.0,0.0,Ball,1628366.0,,,,,,,,,,,,,,,,
37,PT09M05.00S,2021-11-18T03:15:15.3Z,1,REGULAR,turnover,offensive foul,[],203994,,,1610612757,6,11,2021-11-18T03:15:15Z,370000,,,0,,J. Nurkic offensive foul TURNOVER (1 TO),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,1162.0,,,,,,,,,,,,,,1.0,,,,,,
38,PT08M52.00S,2021-11-18T03:15:38.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627936,93.38042049934296,3.6764705882352944,1610612741,6,11,2021-11-18T03:15:42Z,380000,-232.0,10.0,1,right,MISS A. Caruso 3PT,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,23.18,Missed,,,,,,,,,,,,,,
39,PT08M49.00S,2021-11-18T03:15:41.6Z,1,REGULAR,rebound,defensive,[],203081,,,1610612757,6,11,2021-11-18T03:15:42Z,390000,,,0,,D. Lillard REBOUND (Off:0 Def:1),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,
40,PT08M44.00S,2021-11-18T03:15:46.3Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],203081,10.33180026281209,71.56862745098039,1610612757,6,11,2021-11-18T03:15:51Z,400000,-108.0,45.0,1,left,MISS D. Lillard 11' running pullup Shot,[203081],1610612757.0,POR,running pullup,,,Lillard,D. Lillard,,,,,,,,,,11.67,Missed,,,,,,,,,,,,,,
41,PT08M42.00S,2021-11-18T03:15:48.7Z,1,REGULAR,rebound,offensive,[],203496,,,1610612757,6,11,2021-11-18T03:15:48Z,410000,,,0,,R. Covington REBOUND (Off:1 Def:0),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,40.0,1.0,0.0,1.0,,,,,,,,
42,PT08M41.00S,2021-11-18T03:15:49.9Z,1,REGULAR,turnover,lost ball,[],203496,,,1610612757,6,11,2021-11-18T03:15:54Z,420000,,,0,,R. Covington lost ball TURNOVER (2 TO),"[203496, 1627936]",1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,2.0,Caruso,1627936.0,,,,
43,PT08M41.00S,2021-11-18T03:15:49.9Z,1,REGULAR,steal,,[],1627936,,,1610612741,6,11,2021-11-18T03:15:51Z,430000,,,0,,A. Caruso STEAL (2 STL),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M25.00S,2021-11-18T03:16:05.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201942,86.94152431011827,86.02941176470588,1610612741,6,13,2021-11-18T03:16:08Z,440000,180.0,70.0,1,right,D. DeRozan 19' turnaround Jump Shot (4 PTS),[201942],1610612741.0,CHI,turnaround,,,DeRozan,D. DeRozan,,,,,,,,,,19.33,Made,,,,,,,4.0,,,,,,,
