actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,pointsTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
2,PT12M00.00S,2021-11-24T03:06:39.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-24T03:06:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-24T03:06:41.9Z,1,REGULAR,jumpball,recovered,[],203496,,,1610612757,0,0,2021-11-24T03:06:42Z,40000,,,0,,Jump Ball J. Nurkic vs. J. Green: Tip to R. Covington,"[203496, 203994, 203210]",1610612757.0,POR,startperiod,R. Covington,203496.0,Covington,R. Covington,Nurkic,203994.0,Green,203210.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-11-24T03:06:59.7Z,1,REGULAR,3pt,Jump Shot,[],1626181,69.59592641261499,27.941176470588236,1610612757,0,0,2021-11-24T03:07:04Z,70000,-110.0,233.0,1,right,MISS N. Powell 25' pullup 3PT,[1626181],1610612757.0,POR,pullup,,,Powell,N. Powell,,,,,25.81,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2021-11-24T03:07:03.7Z,1,REGULAR,rebound,defensive,[],203115,,,1610612743,0,0,2021-11-24T03:07:04Z,80000,,,0,,W. Barton REBOUND (Off:0 Def:1),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M28.00S,2021-11-24T03:07:10.3Z,1,REGULAR,3pt,Jump Shot,[],203210,28.991458607095925,24.754901960784316,1610612743,0,0,2021-11-24T03:07:14Z,90000,126.0,220.0,1,left,MISS J. Green 25' 3PT,[203210],1610612743.0,DEN,,,,Green,J. Green,,,,,25.36,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2021-11-24T03:07:13.3Z,1,REGULAR,rebound,defensive,[],203081,,,1610612757,0,0,2021-11-24T03:07:14Z,100000,,,0,,D. Lillard REBOUND (Off:0 Def:1),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M14.00S,2021-11-24T03:07:24.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,93.24901445466492,46.81372549019608,1610612757,0,0,2021-11-24T03:07:29Z,110000,-16.0,11.0,1,right,MISS J. Nurkic driving Layup,[203994],1610612757.0,POR,driving,,,Nurkic,J. Nurkic,,,,,1.93,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2021-11-24T03:07:24.0Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,0,0,2021-11-24T03:07:29Z,120000,,,0,,J. Nurkic REBOUND (Off:1 Def:0),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
13,PT11M14.00S,2021-11-24T03:07:28.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203994,93.64323258869908,50.49019607843137,1610612757,0,0,2021-11-24T03:07:37Z,130000,2.0,7.0,1,right,MISS J. Nurkic putback Layup - blocked,"[203994, 201145]",1610612757.0,POR,putback,,,Nurkic,J. Nurkic,,,,,0.77,Missed,,,,,Green,201145.0,,,,,,,,,,,,,
14,PT11M14.00S,2021-11-24T03:07:28.6Z,1,REGULAR,block,,[],201145,,,1610612757,0,0,2021-11-24T03:08:45Z,140000,,,0,,J. Green BLOCK (1 BLK),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M14.00S,2021-11-24T03:07:28.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,0,0,2021-11-24T03:07:37Z,150000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,
16,PT11M14.00S,2021-11-24T03:07:42.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,0,0,2021-11-24T03:07:57Z,160000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT11M07.00S,2021-11-24T03:07:48.7Z,1,REGULAR,turnover,traveling,[],1626181,,,1610612757,0,0,2021-11-24T03:07:56Z,170000,,,0,,N. Powell traveling TURNOVER (1 TO),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,,2714.0,1.0,,,,,,,,,,,
18,PT10M51.00S,2021-11-24T03:08:14.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203932,6.1268068331143235,53.67647058823529,1610612743,0,2,2021-11-24T03:08:30Z,180000,-18.0,5.0,1,left,A. Gordon turnaround bank Jump Shot (2 PTS),[203932],1610612743.0,DEN,turnaround bank,,,Gordon,A. Gordon,,,,,1.91,Made,,,,,,,,,2.0,,,,,,,,,,
19,PT10M34.00S,2021-11-24T03:08:31.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,94.43166885676742,51.9607843137255,1610612757,0,2,2021-11-24T03:08:39Z,190000,10.0,0.0,1,right,MISS J. Nurkic driving Layup,[203994],1610612757.0,POR,driving,,,Nurkic,J. Nurkic,,,,,0.98,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M31.00S,2021-11-24T03:08:34.2Z,1,REGULAR,rebound,defensive,[],201145,,,1610612743,0,2,2021-11-24T03:08:39Z,200000,,,0,,J. Green REBOUND (Off:0 Def:1),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
21,PT10M28.00S,2021-11-24T03:08:39.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612743,0,2,2021-11-24T03:08:39Z,210000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M12.00S,2021-11-24T03:09:05.4Z,1,REGULAR,3pt,Jump Shot,[],203210,7.440867279894875,3.9215686274509802,1610612743,0,2,2021-11-24T03:09:11Z,220000,230.0,17.0,1,left,MISS J. Green 3PT,[203210],1610612743.0,DEN,,,,Green,J. Green,,,,,23.11,Missed,,,,,,,,,,,,,,,,,,,
23,PT10M09.00S,2021-11-24T03:09:08.4Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612757,0,2,2021-11-24T03:12:08Z,230000,,,0,,N. Powell REBOUND (Off:0 Def:1),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
24,PT10M03.00S,2021-11-24T03:09:15.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,93.11760840998686,49.50980392156863,1610612757,2,2,2021-11-24T03:09:19Z,240000,-2.0,12.0,1,right,D. Lillard driving Layup (2 PTS),[203081],1610612757.0,POR,driving,,,Lillard,D. Lillard,,,,,1.25,Made,,,,,,,,,2.0,,,,,,,,,,
25,PT09M39.00S,2021-11-24T03:09:38.6Z,1,REGULAR,turnover,lost ball,[],1628420,,,1610612743,2,2,2021-11-24T03:09:45Z,250000,,,0,,M. Morris lost ball TURNOVER (1 TO),"[1628420, 203081]",1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,,,,1.0,,Lillard,203081.0,,,,,,,,
26,PT09M39.00S,2021-11-24T03:09:38.6Z,1,REGULAR,steal,,[],203081,,,1610612757,2,2,2021-11-24T03:09:40Z,260000,,,0,,D. Lillard STEAL (1 STL),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M35.00S,2021-11-24T03:09:45.0Z,1,REGULAR,foul,personal,['2freethrow'],203932,,,1610612757,2,2,2021-11-24T03:09:56Z,270000,,,0,,A. Gordon shooting personal FOUL (1 PF) (Powell 2 FT),"[203932, 1626181]",1610612743.0,DEN,shooting,,,Gordon,A. Gordon,,,,,,,,,,,,,2714.0,,,,,1.0,0.0,Powell,1626181.0,,,,
29,PT09M35.00S,2021-11-24T03:10:15.9Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1626181,,,1610612757,3,2,2021-11-24T03:10:15Z,290000,,,0,,N. Powell Free Throw 1 of 2 (1 PTS),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,Made,,,,,,,,,1.0,,,,,,,,,,
30,PT09M35.00S,2021-11-24T03:10:34.8Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1626181,,,1610612757,4,2,2021-11-24T03:10:34Z,300000,,,0,,N. Powell Free Throw 2 of 2 (2 PTS),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,Made,,,,,,,,,2.0,,,,,,,,,,
31,PT09M21.00S,2021-11-24T03:10:51.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,6.258212877792378,58.82352941176471,1610612743,4,4,2021-11-24T03:10:55Z,310000,-44.0,6.0,1,left,A. Gordon Layup (4 PTS) (J. Green 1 AST),"[203932, 203210]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,4.45,Made,,,,,,,,,4.0,,,,,,,J. Green,203210.0,1.0,
33,PT09M21.00S,2021-11-24T03:10:55.5Z,1,REGULAR,foul,personal,['1freethrow'],1626181,,,1610612743,4,4,2021-11-24T03:11:03Z,330000,,,0,,N. Powell shooting personal FOUL (1 PF) (Gordon 1 FT),"[1626181, 203932]",1610612757.0,POR,shooting,,,Powell,N. Powell,,,,,,,,,,,,,2714.0,,,,,1.0,0.0,Gordon,203932.0,,,,
35,PT09M21.00S,2021-11-24T03:11:15.7Z,1,REGULAR,freethrow,1 of 1,[],203932,,,1610612743,4,5,2021-11-24T03:11:15Z,350000,,,0,,A. Gordon Free Throw 1 of 1 (5 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,Made,,,,,,,,,5.0,,,,,,,,,,
36,PT09M07.00S,2021-11-24T03:11:31.1Z,1,REGULAR,2pt,Jump Shot,[],203081,75.1149802890933,22.794117647058822,1610612757,6,5,2021-11-24T03:11:38Z,360000,-136.0,181.0,1,right,D. Lillard 22' step back Jump Shot (4 PTS),[203081],1610612757.0,POR,step back,,,Lillard,D. Lillard,,,,,22.67,Made,,,,,,,,,4.0,,,,,,,,,,
