actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,value
2,PT12M00.00S,2022-02-05T03:11:31.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-05T03:11:31Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-02-05T03:11:33.4Z,1,REGULAR,jumpball,recovered,[],1629014,,,1610612757,0,0,2022-02-05T03:11:33Z,40000,,,0,,Jump Ball J. Nurkic vs. M. Diakite: Tip to A. Simons,"[1629014, 203994, 1629603]",1610612757.0,POR,startperiod,A. Simons,1629014.0,Simons,A. Simons,Nurkic,203994.0,Diakite,1629603.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-02-05T03:11:48.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203994,90.3580814717477,48.529411764705884,1610612757,0,0,2022-02-05T03:11:51Z,70000,-7.0,38.0,1,right,MISS J. Nurkic turnaround Shot,[203994],1610612757.0,POR,turnaround,,,Nurkic,J. Nurkic,,,,,3.88,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-02-05T03:11:49.7Z,1,REGULAR,rebound,offensive,[],1629604,,,1610612757,0,0,2022-02-05T03:11:49Z,80000,,,0,,C. Elleby REBOUND (Off:1 Def:0),[1629604],1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M40.00S,2022-02-05T03:11:50.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629604,92.85479632063075,56.61764705882353,1610612757,0,0,2022-02-05T03:11:54Z,90000,33.0,15.0,1,right,MISS C. Elleby putback Layup - blocked,"[1629604, 1629603]",1610612757.0,POR,putback,,,Elleby,C. Elleby,,,,,3.62,Missed,,,,,Diakite,1629603.0,,,,,,,,,,,,,
10,PT11M40.00S,2022-02-05T03:11:50.5Z,1,REGULAR,block,,[],1629603,,,1610612757,0,0,2022-02-05T03:11:52Z,100000,,,0,,M. Diakite BLOCK (1 BLK),[1629603],1610612760.0,OKC,,,,Diakite,M. Diakite,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M40.00S,2022-02-05T03:11:50.5Z,1,REGULAR,rebound,defensive,[],1630544,,,1610612760,0,0,2022-02-05T03:11:54Z,110000,,,0,,T. Mann REBOUND (Off:0 Def:1),[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
12,PT11M20.00S,2022-02-05T03:12:11.3Z,1,REGULAR,2pt,Jump Shot,[],1630544,17.16491458607096,20.34313725490196,1610612760,0,0,2022-02-05T03:12:17Z,120000,148.0,109.0,1,left,MISS T. Mann 18' step back Shot,[1630544],1610612760.0,OKC,step back,,,Mann,T. Mann,,,,,18.4,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M16.00S,2022-02-05T03:12:15.3Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,0,0,2022-02-05T03:12:17Z,130000,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT11M08.00S,2022-02-05T03:12:22.2Z,1,REGULAR,turnover,bad pass,[],203468,,,1610612757,0,0,2022-02-05T03:12:26Z,140000,,,0,,C. McCollum bad pass TURNOVER (1 TO),"[203468, 1629647]",1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,1.0,Bazley,1629647.0,,,,,,,,,,
15,PT11M08.00S,2022-02-05T03:12:22.2Z,1,REGULAR,steal,,[],1629647,,,1610612760,0,0,2022-02-05T03:12:24Z,150000,,,0,,D. Bazley STEAL (1 STL),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT11M07.00S,2022-02-05T03:12:29.5Z,1,REGULAR,foul,personal,[],203468,,,1610612760,0,0,2022-02-05T03:12:34Z,160000,,,0,,C. McCollum personal FOUL (1 PF),"[203468, 1630581]",1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,200833.0,1.0,0.0,Giddey,1630581.0,,,,,
18,PT10M58.00S,2022-02-05T03:12:55.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630581,28.86005256241787,75.24509803921569,1610612760,0,0,2022-02-05T03:14:32Z,180000,-126.0,219.0,1,left,MISS J. Giddey 25' pullup 3PT,[1630581],1610612760.0,OKC,pullup,,,Giddey,J. Giddey,,,,,25.26,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M55.00S,2022-02-05T03:12:58.4Z,1,REGULAR,rebound,defensive,[],203503,,,1610612757,0,0,2022-02-05T03:12:59Z,190000,,,0,,T. Snell REBOUND (Off:0 Def:1),[203503],1610612757.0,POR,,,,Snell,T. Snell,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
20,PT10M46.00S,2022-02-05T03:13:07.4Z,1,REGULAR,2pt,Jump Shot,[],1629014,74.85216819973719,44.85294117647059,1610612757,2,0,2022-02-05T03:13:11Z,200000,-26.0,184.0,1,right,A. Simons 18' pullup Jump Shot (2 PTS) (J. Nurkic 1 AST),"[1629014, 203994]",1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,18.57,Made,,,,,,,,,,,,,,,2.0,J. Nurkic,203994.0,1.0,
22,PT10M24.00S,2022-02-05T03:13:28.9Z,1,REGULAR,3pt,Jump Shot,[],1629652,31.09395532194481,59.068627450980394,1610612760,2,3,2022-02-05T03:13:33Z,220000,-45.0,240.0,1,left,L. Dort 24' 3PT pullup (3 PTS) (M. Diakite 1 AST),"[1629652, 1629603]",1610612760.0,OKC,pullup,,,Dort,L. Dort,,,,,24.4,Made,,,,,,,,,,,,,,,3.0,M. Diakite,1629603.0,1.0,
24,PT10M05.00S,2022-02-05T03:13:47.8Z,1,REGULAR,2pt,Jump Shot,[],203468,76.42904073587385,26.225490196078432,1610612757,2,3,2022-02-05T03:13:52Z,240000,-119.0,169.0,1,right,MISS C. McCollum 20' pullup Shot,[203468],1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,20.67,Missed,,,,,,,,,,,,,,,,,,,
25,PT10M01.00S,2022-02-05T03:13:51.8Z,1,REGULAR,rebound,defensive,[],1629603,,,1610612760,2,3,2022-02-05T03:13:52Z,250000,,,0,,M. Diakite REBOUND (Off:0 Def:1),[1629603],1610612760.0,OKC,,,,Diakite,M. Diakite,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
26,PT09M49.00S,2022-02-05T03:14:04.6Z,1,REGULAR,3pt,Jump Shot,[],1629603,10.33180026281209,4.411764705882353,1610612760,2,3,2022-02-05T03:14:08Z,260000,228.0,45.0,1,left,MISS M. Diakite 3PT,[1629603],1610612760.0,OKC,,,,Diakite,M. Diakite,,,,,23.22,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M47.00S,2022-02-05T03:14:06.6Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,2,3,2022-02-05T03:14:08Z,270000,,,0,,J. Nurkic REBOUND (Off:0 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,26.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
28,PT09M32.00S,2022-02-05T03:14:21.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629604,94.69448094612353,47.30392156862745,1610612757,2,3,2022-02-05T03:14:25Z,280000,-13.0,-3.0,1,right,MISS C. Elleby cutting Layup,[1629604],1610612757.0,POR,cutting,,,Elleby,C. Elleby,,,,,1.37,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M30.00S,2022-02-05T03:14:23.7Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,2,3,2022-02-05T03:14:25Z,290000,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
30,PT09M19.00S,2022-02-05T03:14:34.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629603,15.325229960578188,49.754901960784316,1610612760,2,5,2022-02-05T03:14:38Z,300000,1.0,92.0,1,left,M. Diakite 9' turnaround Hook (2 PTS),[1629603],1610612760.0,OKC,turnaround,,,Diakite,M. Diakite,,,,,9.16,Made,,,,,,,,,,,,,,,2.0,,,,
31,PT09M04.00S,2022-02-05T03:14:48.9Z,1,REGULAR,3pt,Jump Shot,[],203468,64.33968462549278,58.82352941176471,1610612757,2,5,2022-02-05T03:14:53Z,310000,44.0,283.0,1,right,MISS C. McCollum 28' 3PT,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,28.61,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M04.00S,2022-02-05T03:14:48.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,2,5,2022-02-05T03:14:53Z,320000,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,
