actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-16T03:11:34.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-16T03:11:34Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-16T03:11:36.6Z,1,REGULAR,jumpball,recovered,[],203081,,,1610612757,0,0,2021-12-16T03:11:36Z,40000,,,0,,Jump Ball J. Nurkic vs. S. Adams: Tip to D. Lillard,"[203081, 203994, 203500]",1610612757.0,POR,startperiod,D. Lillard,203081.0,Lillard,D. Lillard,Nurkic,203994.0,Adams,203500.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-12-16T03:11:47.3Z,1,REGULAR,2pt,Jump Shot,[],203994,21.895532194480946,28.676470588235293,1610612757,2,0,2021-12-16T03:11:51Z,70000,107.0,153.0,1,left,J. Nurkic 18' Jump Shot (2 PTS) (N. Powell 1 AST),"[203994, 1626181]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,18.67,Made,2.0,N. Powell,1626181.0,1.0,,,,,,,,,,,,,,,
9,PT11M31.00S,2021-12-16T03:12:02.2Z,1,REGULAR,3pt,Jump Shot,[],1628991,68.01905387647832,62.99019607843137,1610612763,2,0,2021-12-16T03:12:06Z,90000,65.0,248.0,1,right,MISS J. Jackson Jr. 25' 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,25.65,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M28.00S,2021-12-16T03:12:05.2Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,2,0,2021-12-16T03:12:06Z,100000,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M06.00S,2021-12-16T03:12:27.2Z,1,REGULAR,2pt,Jump Shot,[],203081,6.258212877792378,26.225490196078432,1610612757,2,0,2021-12-16T03:12:30Z,110000,119.0,6.0,1,left,MISS D. Lillard 11' step back Shot,[203081],1610612757.0,POR,step back,,,Lillard,D. Lillard,,,,,11.91,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M04.00S,2021-12-16T03:12:29.2Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,2,0,2021-12-16T03:12:30Z,120000,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT10M59.00S,2021-12-16T03:12:36.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,2,0,2021-12-16T03:12:36Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT10M49.00S,2021-12-16T03:12:57.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628415,92.85479632063075,55.63725490196079,1610612763,2,2,2021-12-16T03:13:02Z,140000,28.0,15.0,1,right,D. Brooks driving Layup (2 PTS),[1628415],1610612763.0,MEM,driving,,,Brooks,D. Brooks,,,,,3.18,Made,2.0,,,,,,,,,,,,,,,,,,
15,PT10M31.00S,2021-12-16T03:13:16.1Z,1,REGULAR,3pt,Jump Shot,[],1626181,21.107095926412615,90.44117647058823,1610612757,5,2,2021-12-16T03:13:19Z,150000,-202.0,146.0,1,left,N. Powell 24' 3PT pullup (3 PTS),[1626181],1610612757.0,POR,pullup,,,Powell,N. Powell,,,,,24.93,Made,3.0,,,,,,,,,,,,,,,,,,
16,PT10M11.00S,2021-12-16T03:13:35.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,93.51182654402102,44.6078431372549,1610612763,5,2,2021-12-16T03:13:39Z,160000,-27.0,8.0,1,right,MISS J. Jackson Jr. driving Layup,[1628991],1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,2.83,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M10.00S,2021-12-16T03:13:36.6Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,5,2,2021-12-16T03:13:39Z,170000,,,0,,J. Nurkic REBOUND (Off:0 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,16.0,2.0,2.0,0.0,,,,,,,,,,,
18,PT10M05.00S,2021-12-16T03:13:43.8Z,1,REGULAR,foul,personal,['2freethrow'],203500,,,1610612757,5,2,2021-12-16T03:13:49Z,180000,,,0,,S. Adams shooting personal FOUL (1 PF) (Little 2 FT),"[203500, 1629642]",1610612763.0,MEM,shooting,,,Adams,S. Adams,,,,,,,,,,,,,,,201638.0,1.0,0.0,Little,1629642.0,,,,,,
20,PT10M05.00S,2021-12-16T03:14:07.0Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629642,,,1610612757,6,2,2021-12-16T03:14:07Z,200000,,,0,,N. Little Free Throw 1 of 2 (1 PTS),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
21,PT10M05.00S,2021-12-16T03:14:20.4Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629642,,,1610612757,7,2,2021-12-16T03:14:20Z,210000,,,0,,N. Little Free Throw 2 of 2 (2 PTS),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
22,PT09M55.00S,2021-12-16T03:14:34.3Z,1,REGULAR,3pt,Jump Shot,[],1628415,90.22667542706965,3.9215686274509802,1610612763,7,2,2021-12-16T03:14:38Z,220000,-230.0,39.0,1,right,MISS D. Brooks 3PT,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,23.37,Missed,,,,,,,,,,,,,,,,,,,
23,PT09M52.00S,2021-12-16T03:14:37.3Z,1,REGULAR,rebound,defensive,[],203081,,,1610612757,7,2,2021-12-16T03:14:38Z,230000,,,0,,D. Lillard REBOUND (Off:0 Def:1),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,
24,PT09M44.00S,2021-12-16T03:14:45.2Z,1,REGULAR,2pt,Jump Shot,[],203994,20.45006570302234,26.47058823529412,1610612757,7,2,2021-12-16T03:14:49Z,240000,118.0,140.0,1,left,MISS J. Nurkic 18' Jump Shot,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,18.26,Missed,,,,,,,,,,,,,,,,,,,
25,PT09M41.00S,2021-12-16T03:14:48.2Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612763,7,2,2021-12-16T03:14:49Z,250000,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,
26,PT09M34.00S,2021-12-16T03:14:54.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630217,89.56964520367937,38.48039215686275,1610612763,7,2,2021-12-16T03:16:37Z,260000,-58.0,46.0,1,right,MISS D. Bane 7' driving floating Shot,[1630217],1610612763.0,MEM,driving floating,,,Bane,D. Bane,,,,,7.34,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M31.00S,2021-12-16T03:14:57.7Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,7,2,2021-12-16T03:14:59Z,270000,,,0,,J. Nurkic REBOUND (Off:0 Def:3),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,26.0,3.0,3.0,0.0,,,,,,,,,,,
28,PT09M22.00S,2021-12-16T03:15:07.5Z,1,REGULAR,turnover,bad pass,[],203081,,,1610612757,7,2,2021-12-16T03:15:10Z,280000,,,0,,D. Lillard bad pass TURNOVER (1 TO),"[203081, 203500]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,1.0,Adams,203500.0,,,
29,PT09M22.00S,2021-12-16T03:15:07.5Z,1,REGULAR,steal,,[],203500,,,1610612763,7,2,2021-12-16T03:15:09Z,290000,,,0,,S. Adams STEAL (1 STL),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M17.00S,2021-12-16T03:15:12.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628415,93.9060446780552,46.32352941176471,1610612763,7,2,2021-12-16T04:20:36Z,300000,-18.0,5.0,1,right,MISS D. Brooks running finger roll Layup,[1628415],1610612763.0,MEM,running finger roll,,,Brooks,D. Brooks,,,,,1.9,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M17.00S,2021-12-16T03:15:12.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,7,2,2021-12-16T03:15:17Z,310000,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,
32,PT09M17.00S,2021-12-16T03:15:17.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,7,2,2021-12-16T03:15:17Z,320000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M05.00S,2021-12-16T03:15:39.4Z,1,REGULAR,turnover,out-of-bounds,[],203081,,,1610612757,7,2,2021-12-16T03:15:44Z,330000,,,0,,D. Lillard bad pass out-of-bounds TURNOVER (2 TO),[203081],1610612757.0,POR,bad pass,,,Lillard,D. Lillard,,,,,,,,,,,,,,,201640.0,,,,,2.0,,,,,
34,PT08M48.00S,2021-12-16T03:16:01.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628991,94.30026281208936,44.36274509803921,1610612763,7,4,2021-12-16T03:16:49Z,340000,-28.0,1.0,1,right,J. Jackson Jr. driving Layup (2 PTS) (D. Brooks 1 AST),"[1628991, 1628415]",1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,2.82,Made,2.0,D. Brooks,1628415.0,1.0,,,,,,,,,,,,,,,
35,PT08M35.00S,2021-12-16T03:16:13.2Z,1,REGULAR,3pt,Jump Shot,[],203081,25.443495400788436,19.362745098039216,1610612757,10,4,2021-12-16T03:16:18Z,350000,153.0,187.0,1,left,D. Lillard 24' 3PT pullup (3 PTS),[203081],1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,24.15,Made,3.0,,,,,,,,,,,,,,,,,,
36,PT08M18.00S,2021-12-16T03:16:35.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,10,4,2021-12-16T03:16:35Z,360000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M18.00S,2021-12-16T03:16:56.4Z,1,REGULAR,stoppage,blood rule,[],0,,,1610612763,10,4,2021-12-16T03:16:56Z,370000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M16.00S,2021-12-16T03:17:38.4Z,1,REGULAR,3pt,Jump Shot,[],1628991,91.5407358738502,4.166666666666666,1610612763,10,4,2021-12-16T03:17:43Z,380000,-229.0,27.0,1,right,MISS J. Jackson Jr. 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,23.08,Missed,,,,,,,,,,,,,,,,,,,
40,PT08M13.00S,2021-12-16T03:17:41.4Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,10,4,2021-12-16T03:17:43Z,390000,,,0,,J. Nurkic REBOUND (Off:0 Def:4),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,39.0,4.0,4.0,0.0,,,,,,,,,,,
41,PT07M55.00S,2021-12-16T03:17:58.5Z,1,REGULAR,3pt,Jump Shot,[],1626204,7.703679369250986,97.05882352941177,1610612757,13,4,2021-12-16T03:18:02Z,400000,-235.0,20.0,1,left,L. Nance Jr. 3PT  (3 PTS) (N. Little 1 AST),"[1626204, 1629642]",1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,23.61,Made,3.0,N. Little,1629642.0,1.0,,,,,,,,,,,,,,,
43,PT07M53.00S,2021-12-16T03:18:07.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,13,4,2021-12-16T03:18:07Z,420000,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M25.00S,2021-12-16T03:21:22.1Z,1,REGULAR,3pt,Jump Shot,[],1630217,81.15965834428384,96.07843137254902,1610612763,13,4,2021-12-16T03:21:26Z,430000,230.0,125.0,1,right,MISS D. Bane 26' 3PT,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,26.19,Missed,,,,,,,,,,,,,,,,,,,
45,PT07M23.00S,2021-12-16T03:21:24.1Z,1,REGULAR,rebound,defensive,[],203081,,,1610612757,13,4,2021-12-16T03:21:26Z,440000,,,0,,D. Lillard REBOUND (Off:0 Def:2),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,44.0,2.0,2.0,0.0,,,,,,,,,,,
46,PT07M19.00S,2021-12-16T03:21:28.9Z,1,REGULAR,turnover,bad pass,[],203081,,,1610612757,13,4,2021-12-16T03:21:33Z,450000,,,0,,D. Lillard bad pass TURNOVER (3 TO),"[203081, 203500]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,3.0,Adams,203500.0,,,
47,PT07M19.00S,2021-12-16T03:21:28.9Z,1,REGULAR,steal,,[],203500,,,1610612763,13,4,2021-12-16T03:21:30Z,460000,,,0,,S. Adams STEAL (2 STL),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,
