actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-06T03:11:24.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-06T03:11:24Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-06T03:11:27.3Z,1,REGULAR,jumpball,recovered,[],203468,,,1610612757,0,0,2022-02-06T03:11:27Z,40000,,,0,,Jump Ball J. Nurkic vs. B. Portis: Tip to C. McCollum,"[203468, 203994, 1626171]",1610612757.0,POR,startperiod,C. McCollum,203468.0,McCollum,C. McCollum,Nurkic,203994.0,Portis,1626171.0,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-02-06T03:11:44.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,0,0,2022-02-06T03:11:44Z,70000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-02-06T03:12:02.3Z,1,REGULAR,3pt,Jump Shot,[],1629604,18.478975032851512,6.61764705882353,1610612757,0,0,2022-02-06T03:12:06Z,80000,217.0,121.0,1,left,MISS C. Elleby 24' 3PT,[1629604],1610612757.0,POR,,,,Elleby,C. Elleby,,,,,24.85,Missed,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2022-02-06T03:12:05.3Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,0,0,2022-02-06T03:12:06Z,90000,,,0,,J. Nurkic REBOUND (Off:1 Def:0),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,,
10,PT11M32.00S,2022-02-06T03:12:09.3Z,1,REGULAR,foul,personal,['2freethrow'],1626171,,,1610612757,0,0,2022-02-06T03:12:20Z,100000,,,0,,B. Portis shooting personal FOUL (1 PF) (Nurkic 2 FT),"[1626171, 203994]",1610612749.0,MIL,shooting,,,Portis,B. Portis,,,,,,,,,,,1626302.0,1.0,0.0,Nurkic,203994.0,,,,,,,,,
12,PT11M32.00S,2022-02-06T03:12:30.4Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203994,,,1610612757,0,0,2022-02-06T03:12:43Z,120000,,,0,,MISS J. Nurkic Free Throw 1 of 2,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,Missed,,,,,,,,,,,,,,,,,,
13,PT11M32.00S,2022-02-06T03:12:30.4Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612757,0,0,2022-02-06T03:12:43Z,130000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,
14,PT11M32.00S,2022-02-06T03:12:30.4Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203994,,,1610612757,0,0,2022-02-06T03:12:43Z,140000,,,0,,MISS J. Nurkic Free Throw 2 of 2,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,Missed,,,,,,,,,,,,,,,,,,
15,PT11M30.00S,2022-02-06T03:12:32.4Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,0,0,2022-02-06T03:12:43Z,150000,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT11M17.00S,2022-02-06T03:12:55.1Z,1,REGULAR,3pt,Jump Shot,[],1628960,91.5407358738502,94.85294117647058,1610612749,0,0,2022-02-06T03:12:59Z,160000,224.0,27.0,1,right,MISS G. Allen 3PT,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,22.59,Missed,,,,,,,,,,,,,,,,,,
17,PT11M14.00S,2022-02-06T03:12:58.1Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,0,0,2022-02-06T03:12:59Z,170000,,,0,,J. Nurkic REBOUND (Off:1 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,16.0,2.0,1.0,1.0,,,,,,,,,,,,,,
18,PT11M00.00S,2022-02-06T03:13:11.7Z,1,REGULAR,3pt,Jump Shot,[],1629014,22.026938239159,11.029411764705882,1610612757,0,0,2022-02-06T03:13:17Z,180000,195.0,155.0,1,left,MISS A. Simons 24' 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,24.88,Missed,,,,,,,,,,,,,,,,,,
19,PT10M55.00S,2022-02-06T03:13:16.7Z,1,REGULAR,rebound,defensive,[],201950,,,1610612749,0,0,2022-02-06T03:13:17Z,190000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
