actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-28T02:11:25.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-28T02:11:25Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-28T02:11:28.2Z,1,REGULAR,jumpball,recovered,[],201145,,,1610612743,0,0,2022-02-28T02:11:28Z,40000,,,0,,Jump Ball N. Jokic vs. D. Eubanks: Tip to J. Green,"[201145, 203999, 1629234]",1610612743.0,DEN,startperiod,J. Green,201145.0,Green,J. Green,Jokic,203999.0,Eubanks,1629234.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-02-28T02:11:48.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203115,15.850854139290407,35.53921568627451,1610612743,0,2,2022-02-28T02:11:51Z,70000,72.0,96.0,1,left,W. Barton 12' turnaround fadeaway Jump Shot (2 PTS),[203115],1610612743.0,DEN,turnaround fadeaway,,,Barton,W. Barton,,,,,12.06,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M14.00S,2022-02-28T02:12:11.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630553,94.43166885676742,49.754901960784316,1610612757,2,2,2022-02-28T02:12:15Z,80000,-1.0,0.0,1,right,K. Johnson cutting DUNK (2 PTS) (D. Eubanks 1 AST),"[1630553, 1629234]",1610612757.0,POR,cutting,,,Johnson,K. Johnson,,,,,0.12,Made,2.0,D. Eubanks,1629234.0,1.0,,,,,,,,,,,,,,,
10,PT10M59.00S,2022-02-28T02:12:28.5Z,1,REGULAR,foul,personal,[],1629014,,,1610612743,2,2,2022-02-28T02:12:37Z,100000,,,0,,A. Simons personal FOUL (1 PF),"[1629014, 203932]",1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,1204.0,1.0,0.0,Gordon,203932.0,,,,,,,,,,
12,PT10M45.00S,2022-02-28T02:12:55.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,13.748357424441524,57.59803921568627,1610612743,2,2,2022-02-28T02:13:00Z,120000,-38.0,77.0,1,left,MISS N. Jokic 8' floating Shot,[203999],1610612743.0,DEN,floating,,,Jokic,N. Jokic,,,,,8.56,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M43.00S,2022-02-28T02:12:57.7Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612757,2,2,2022-02-28T02:13:00Z,130000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,
14,PT10M38.00S,2022-02-28T02:13:03.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1628404,86.67871222076215,57.107843137254896,1610612757,4,2,2022-02-28T02:13:12Z,140000,36.0,73.0,1,right,J. Hart 8' running pullup Jump Shot (2 PTS),[1628404],1610612757.0,POR,running pullup,,,Hart,J. Hart,,,,,8.09,Made,2.0,,,,,,,,,,,,,,,,,,
15,PT10M20.00S,2022-02-28T02:13:22.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201145,7.30946123521682,49.754901960784316,1610612743,4,4,2022-02-28T02:13:25Z,150000,1.0,16.0,1,left,J. Green driving Layup (2 PTS),[201145],1610612743.0,DEN,driving,,,Green,J. Green,,,,,1.62,Made,2.0,,,,,,,,,,,,,,,,,,
16,PT09M56.00S,2022-02-28T02:13:45.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630553,88.38699080157687,62.745098039215684,1610612757,6,4,2022-02-28T02:13:54Z,160000,64.0,57.0,1,right,K. Johnson 8' driving floating Jump Shot (4 PTS) (A. Simons 1 AST),"[1630553, 1629014]",1610612757.0,POR,driving floating,,,Johnson,K. Johnson,,,,,8.53,Made,4.0,A. Simons,1629014.0,1.0,,,,,,,,,,,,,,,
