actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-01-26T03:11:28.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-26T03:11:28Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-26T03:11:30.3Z,1,REGULAR,jumpball,recovered,[],203496,,,1610612757,0,0,2022-01-26T03:11:30Z,40000,,,0,,Jump Ball J. Nurkic vs. K. Towns: Tip to R. Covington,"[203496, 203994, 1626157]",1610612757.0,POR,startperiod,R. Covington,203496.0,Covington,R. Covington,Nurkic,203994.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-01-26T03:11:48.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,93.38042049934296,44.6078431372549,1610612757,0,0,2022-01-26T03:11:51Z,70000,-27.0,10.0,1,right,MISS J. Nurkic driving Hook - blocked,"[203994, 1626157]",1610612757.0,POR,driving,,,Nurkic,J. Nurkic,,,,,2.87,Missed,Towns,1626157.0,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-01-26T03:11:48.0Z,1,REGULAR,block,,[],1626157,,,1610612757,0,0,2022-01-26T03:11:49Z,80000,,,0,,K. Towns BLOCK (1 BLK),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2022-01-26T03:11:50.0Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,0,0,2022-01-26T03:11:51Z,90000,,,0,,J. Nurkic REBOUND (Off:1 Def:0),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,
10,PT11M37.00S,2022-01-26T03:11:50.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203994,91.5407358738502,49.26470588235294,1610612757,0,0,2022-01-26T03:11:55Z,100000,-4.0,27.0,1,right,MISS J. Nurkic Layup,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,2.73,Missed,,,,,,,,,,,,,,,,,,
11,PT11M36.00S,2022-01-26T03:11:51.8Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,0,0,2022-01-26T03:11:55Z,110000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
12,PT11M30.00S,2022-01-26T03:11:57.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630183,7.178055190538765,48.77450980392157,1610612750,0,0,2022-01-26T03:12:02Z,120000,6.0,15.0,1,left,MISS J. McDaniels running Layup,[1630183],1610612750.0,MIN,running,,,McDaniels,J. McDaniels,,,,,1.62,Missed,,,,,,,,,,,,,,,,,,
13,PT11M28.00S,2022-01-26T03:11:58.4Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,0,0,2022-01-26T03:11:58Z,130000,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,
14,PT11M18.00S,2022-01-26T03:12:08.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,93.38042049934296,53.92156862745098,1610612757,0,0,2022-01-26T03:13:35Z,140000,20.0,10.0,1,right,MISS J. Nurkic cutting Layup - blocked,"[203994, 1629020]",1610612757.0,POR,cutting,,,Nurkic,J. Nurkic,,,,,2.19,Missed,Vanderbilt,1629020.0,,,,,,,,,,,,,,,,
15,PT11M18.00S,2022-01-26T03:12:08.3Z,1,REGULAR,block,,[],1629020,,,1610612757,0,0,2022-01-26T03:12:09Z,150000,,,0,,J. Vanderbilt BLOCK (1 BLK),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,
16,PT11M17.00S,2022-01-26T03:12:09.3Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,0,0,2022-01-26T03:12:12Z,160000,,,0,,J. Nurkic REBOUND (Off:2 Def:0),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,14.0,2.0,0.0,2.0,,,,,,,,,,,,
17,PT11M17.00S,2022-01-26T03:12:10.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203994,93.64323258869908,48.77450980392157,1610612757,2,0,2022-01-26T03:12:14Z,170000,-6.0,7.0,1,right,J. Nurkic putback Layup (2 PTS),[203994],1610612757.0,POR,putback,,,Nurkic,J. Nurkic,,,,,0.95,Made,,,,,,,2.0,,,,,,,,,,,
18,PT11M01.00S,2022-01-26T03:12:26.4Z,1,REGULAR,2pt,Jump Shot,[],1626156,24.129434954007884,60.049019607843135,1610612750,2,0,2022-01-26T03:12:30Z,180000,-50.0,174.0,1,left,MISS D. Russell 18' Jump Shot,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,18.14,Missed,,,,,,,,,,,,,,,,,,
19,PT10M58.00S,2022-01-26T03:12:29.4Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,2,0,2022-01-26T03:12:30Z,190000,,,0,,J. Nurkic REBOUND (Off:2 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,18.0,3.0,1.0,2.0,,,,,,,,,,,,
20,PT10M49.00S,2022-01-26T03:12:37.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,94.03745072273325,54.90196078431373,1610612757,4,0,2022-01-26T03:14:14Z,200000,25.0,4.0,1,right,J. Nurkic cutting Layup (4 PTS) (A. Simons 1 AST),"[203994, 1629014]",1610612757.0,POR,cutting,,,Nurkic,J. Nurkic,,,,,2.47,Made,,,,,,,4.0,A. Simons,1629014.0,1.0,,,,,,,,
22,PT10M31.00S,2022-01-26T03:12:56.0Z,1,REGULAR,3pt,Jump Shot,[],1626156,10.5946123521682,4.6568627450980395,1610612750,4,3,2022-01-26T03:12:59Z,220000,227.0,47.0,1,left,D. Russell 3PT  (3 PTS) (K. Towns 1 AST),"[1626156, 1626157]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,23.15,Made,,,,,,,3.0,K. Towns,1626157.0,1.0,,,,,,,,
24,PT10M14.00S,2022-01-26T03:13:16.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,4,3,2022-01-26T03:13:16Z,240000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT10M08.00S,2022-01-26T03:13:34.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,4,3,2022-01-26T03:13:34Z,250000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT10M04.00S,2022-01-26T03:13:50.3Z,1,REGULAR,2pt,Jump Shot,[],203468,71.69842312746385,55.88235294117647,1610612757,4,3,2022-01-26T03:13:55Z,260000,29.0,214.0,1,right,MISS C. McCollum 21' step back Shot,[203468],1610612757.0,POR,step back,,,McCollum,C. McCollum,,,,,21.55,Missed,,,,,,,,,,,,,,,,,,
27,PT10M01.00S,2022-01-26T03:13:53.3Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,4,3,2022-01-26T03:13:55Z,270000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,
28,PT09M56.00S,2022-01-26T03:13:59.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630162,6.783837056504599,50.73529411764706,1610612750,4,3,2022-01-26T03:14:05Z,280000,-4.0,11.0,1,left,MISS A. Edwards running alley-oop Layup,[1630162],1610612750.0,MIN,running alley-oop,,,Edwards,A. Edwards,,,,,1.19,Missed,,,,,,,,,,,,,,,,,,
29,PT09M54.00S,2022-01-26T03:14:01.0Z,1,REGULAR,rebound,defensive,[],203468,,,1610612757,4,3,2022-01-26T03:14:05Z,290000,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,
30,PT09M47.00S,2022-01-26T03:14:08.3Z,1,REGULAR,3pt,Jump Shot,[],1629014,75.77201051248358,9.803921568627452,1610612757,4,3,2022-01-26T03:14:11Z,300000,-201.0,175.0,1,right,MISS A. Simons 26' 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,26.66,Missed,,,,,,,,,,,,,,,,,,
31,PT09M44.00S,2022-01-26T03:14:11.3Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,4,3,2022-01-26T03:14:11Z,310000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:2),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,30.0,2.0,2.0,0.0,,,,,,,,,,,,
32,PT09M35.00S,2022-01-26T03:14:22.8Z,1,REGULAR,foul,personal,['2freethrow'],203994,,,1610612750,4,3,2022-01-26T03:14:28Z,320000,,,0,,J. Nurkic shooting personal FOUL (1 PF) (Vanderbilt 2 FT),"[203994, 1629020]",1610612757.0,POR,shooting,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,1155.0,1.0,0.0,Vanderbilt,1629020.0,,,
34,PT09M35.00S,2022-01-26T03:14:48.2Z,1,REGULAR,freethrow,1 of 2,[],1629020,,,1610612750,4,4,2022-01-26T03:14:48Z,340000,,,0,,J. Vanderbilt Free Throw 1 of 2 (1 PTS),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
35,PT09M35.00S,2022-01-26T03:14:48.2Z,1,REGULAR,freethrow,2 of 2,[],1629020,,,1610612750,4,4,2022-01-26T03:15:05Z,350000,,,0,,MISS J. Vanderbilt Free Throw 2 of 2,[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,Missed,,,,,,,,,,,,,,,,,,
36,PT09M33.00S,2022-01-26T03:14:50.2Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,4,4,2022-01-26T03:15:05Z,360000,,,0,,J. Nurkic REBOUND (Off:2 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,35.0,4.0,2.0,2.0,,,,,,,,,,,,
37,PT09M23.00S,2022-01-26T03:15:14.6Z,1,REGULAR,3pt,Jump Shot,[],1629642,69.72733245729303,22.54901960784314,1610612757,4,4,2022-01-26T03:15:18Z,370000,-137.0,232.0,1,right,MISS N. Little 26' 3PT,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,26.97,Missed,,,,,,,,,,,,,,,,,,
38,PT09M20.00S,2022-01-26T03:15:17.6Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,4,4,2022-01-26T03:15:18Z,380000,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,
39,PT09M12.00S,2022-01-26T03:15:25.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626156,5.732588699080158,50.98039215686274,1610612750,4,6,2022-01-26T03:15:27Z,390000,-5.0,1.0,1,left,D. Russell driving Layup (5 PTS),[1626156],1610612750.0,MIN,driving,,,Russell,D. Russell,,,,,0.51,Made,,,,,,,5.0,,,,,,,,,,,
40,PT09M02.00S,2022-01-26T03:15:35.7Z,1,REGULAR,3pt,Jump Shot,[],1629014,66.70499342969777,23.284313725490197,1610612757,4,6,2022-01-26T03:15:39Z,400000,-134.0,260.0,1,right,MISS A. Simons 29' 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,29.28,Missed,,,,,,,,,,,,,,,,,,
41,PT08M58.00S,2022-01-26T03:15:39.7Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,4,6,2022-01-26T03:15:39Z,410000,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,
42,PT08M53.00S,2022-01-26T03:15:43.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630162,7.178055190538765,95.58823529411765,1610612750,4,6,2022-01-26T03:15:49Z,420000,-228.0,15.0,1,left,MISS A. Edwards running 3PT,[1630162],1610612750.0,MIN,running,,,Edwards,A. Edwards,,,,,22.84,Missed,,,,,,,,,,,,,,,,,,
43,PT08M51.00S,2022-01-26T03:15:46.7Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612750,4,6,2022-01-26T03:15:46Z,430000,,,0,,K. Towns REBOUND (Off:1 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,42.0,2.0,1.0,1.0,,,,,,,,,,,,
44,PT08M47.00S,2022-01-26T03:15:50.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630183,15.850854139290407,4.6568627450980395,1610612750,4,6,2022-01-26T03:15:54Z,440000,227.0,96.0,1,left,MISS J. McDaniels 24' 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,24.64,Missed,,,,,,,,,,,,,,,,,,
45,PT08M44.00S,2022-01-26T03:15:53.1Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612750,4,6,2022-01-26T03:15:54Z,450000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:2),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,44.0,3.0,2.0,1.0,,,,,,,,,,,,
46,PT08M43.00S,2022-01-26T03:15:58.0Z,1,REGULAR,foul,personal,[],1629014,,,1610612750,4,6,2022-01-26T03:16:18Z,460000,,,0,,A. Simons personal FOUL (1 PF),"[1629014, 1626157]",1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,202026.0,1.0,0.0,Towns,1626157.0,,,
