actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
21,PT10M01.00S,2022-01-08T03:13:58.7Z,1,REGULAR,3pt,Jump Shot,[],1629636,33.590670170827856,50.0,1610612739,4,3,2022-01-08T03:14:02Z,210000,0.0,263.0,1,left,MISS D. Garland 26' pullup 3PT,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,26.33,Missed,,,,,,,,,,,,,,,,,,,
22,PT09M59.00S,2022-01-08T03:14:00.7Z,1,REGULAR,rebound,defensive,[],1629642,,,1610612757,4,3,2022-01-08T03:14:02Z,220000,,,0,,N. Little REBOUND (Off:0 Def:1),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
23,PT09M49.00S,2022-01-08T03:14:11.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629642,94.1688567674113,46.32352941176471,1610612757,4,3,2022-01-08T03:14:15Z,230000,-18.0,2.0,1,right,MISS N. Little driving Layup,[1629642],1610612757.0,POR,driving,,,Little,N. Little,,,,,1.85,Missed,,,,,,,,,,,,,,,,,,,
24,PT09M49.00S,2022-01-08T03:14:11.9Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,4,3,2022-01-08T03:18:35Z,240000,,,0,,J. Nurkic REBOUND (Off:1 Def:0),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,23.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
48,PT09M48.00S,2022-01-08T03:14:17.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203994,94.3988173455979,51.71568627450981,1610612757,4,3,2022-01-08T03:17:49Z,245000,9.0,0.0,1,right,MISS J. Nurkic tip Layup,[203994],1610612757.0,POR,tip,,,Nurkic,J. Nurkic,,,,,0.86,Missed,,,,,,,,,,,,,,,,,,,
49,PT09M48.00S,2022-01-08T03:14:17.2Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,4,3,2022-01-08T03:17:49Z,247500,,,0,,J. Allen REBOUND (Off:0 Def:2),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,48.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
25,PT09M39.00S,2022-01-08T03:14:22.5Z,1,REGULAR,foul,personal,['2freethrow'],203496,,,1610612739,4,3,2022-01-08T03:14:46Z,250000,,,0,,R. Covington shooting personal FOUL (1 PF) (Markkanen 2 FT),"[203496, 1628374]",1610612757.0,POR,shooting,,,Covington,R. Covington,,,,,,,,,,,,,,,,,1627962.0,1.0,0.0,Markkanen,1628374.0,,,,
27,PT09M39.00S,2022-01-08T03:14:48.7Z,1,REGULAR,freethrow,1 of 2,[],1628374,,,1610612739,4,4,2022-01-08T03:14:48Z,270000,,,0,,L. Markkanen Free Throw 1 of 2 (1 PTS),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,Made,,,,,,,1.0,,,,,,,,,,,,
28,PT09M39.00S,2022-01-08T03:14:48.7Z,1,REGULAR,freethrow,2 of 2,[],1628374,,,1610612739,4,4,2022-01-08T03:15:10Z,280000,,,0,,MISS L. Markkanen Free Throw 2 of 2,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M36.00S,2022-01-08T03:14:51.7Z,1,REGULAR,rebound,defensive,[],1629642,,,1610612757,4,4,2022-01-08T03:15:10Z,290000,,,0,,N. Little REBOUND (Off:0 Def:2),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
30,PT09M24.00S,2022-01-08T03:15:24.2Z,1,REGULAR,foul,personal,[],1628386,,,1610612757,4,4,2022-01-08T03:15:38Z,300000,,,0,,J. Allen personal FOUL (1 PF),"[1628386, 203994]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,202056.0,1.0,0.0,Nurkic,203994.0,,,,
32,PT09M16.00S,2022-01-08T03:15:52.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,93.38042049934296,53.431372549019606,1610612757,4,4,2022-01-08T03:15:58Z,320000,17.0,10.0,1,right,MISS J. Nurkic driving reverse Layup,[203994],1610612757.0,POR,driving reverse,,,Nurkic,J. Nurkic,,,,,1.97,Missed,,,,,,,,,,,,,,,,,,,
33,PT09M16.00S,2022-01-08T03:15:52.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,4,4,2022-01-08T03:15:58Z,330000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,
34,PT09M16.00S,2022-01-08T03:15:56.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,4,4,2022-01-08T03:15:56Z,340000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M06.00S,2022-01-08T03:16:17.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203994,93.24901445466492,49.26470588235294,1610612757,6,4,2022-01-08T03:16:23Z,350000,-4.0,11.0,1,right,J. Nurkic driving Hook (4 PTS) (R. Covington 1 AST),"[203994, 203496]",1610612757.0,POR,driving,,,Nurkic,J. Nurkic,,,,,1.16,Made,,,,,,,4.0,R. Covington,203496.0,1.0,,,,,,,,,
37,PT08M50.00S,2022-01-08T03:16:34.2Z,1,REGULAR,3pt,Jump Shot,[],1628374,32.276609724047304,73.0392156862745,1610612739,6,4,2022-01-08T03:16:38Z,370000,-115.0,251.0,1,left,MISS L. Markkanen 27' 3PT,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,27.61,Missed,,,,,,,,,,,,,,,,,,,
38,PT08M47.00S,2022-01-08T03:16:37.2Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,6,4,2022-01-08T03:16:38Z,380000,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
39,PT08M34.00S,2022-01-08T03:16:49.0Z,1,REGULAR,turnover,bad pass,[],1629642,,,1610612757,6,4,2022-01-08T03:16:52Z,390000,,,0,,N. Little bad pass TURNOVER (1 TO),"[1629642, 1630596]",1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,,,,,,,,,1.0,Mobley,1630596.0,
40,PT08M34.00S,2022-01-08T03:16:49.0Z,1,REGULAR,steal,,[],1630596,,,1610612739,6,4,2022-01-08T03:16:50Z,400000,,,0,,E. Mobley STEAL (1 STL),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M26.00S,2022-01-08T03:16:56.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629636,8.229303547963205,64.95098039215686,1610612739,6,4,2022-01-08T03:17:01Z,410000,-75.0,25.0,1,left,MISS D. Garland 7' driving floating Shot - blocked,"[1629636, 203994]",1610612739.0,CLE,driving floating,,,Garland,D. Garland,,,,,7.88,Missed,,,,,Nurkic,203994.0,,,,,,,,,,,,,
42,PT08M26.00S,2022-01-08T03:16:56.9Z,1,REGULAR,block,,[],203994,,,1610612739,6,4,2022-01-08T03:16:59Z,420000,,,0,,J. Nurkic BLOCK (1 BLK),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M24.00S,2022-01-08T03:16:58.9Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,6,4,2022-01-08T03:17:01Z,430000,,,0,,R. Covington REBOUND (Off:0 Def:3),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,41.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
44,PT08M20.00S,2022-01-08T03:17:03.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629642,93.38042049934296,50.73529411764706,1610612757,6,4,2022-01-08T03:17:09Z,440000,4.0,10.0,1,right,MISS N. Little running DUNK,[1629642],1610612757.0,POR,running,,,Little,N. Little,,,,,1.04,Missed,,,,,,,,,,,,,,,,,,,
