actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,officialId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-02-12T22:13:39.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-12T22:13:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-02-12T22:13:41.7Z,1,REGULAR,jumpball,recovered,[],1626159,,,1610612757,0,0,2022-02-12T22:13:41Z,40000,,,0,,Jump Ball J. Nurkic vs. M. Robinson: Tip to J. Winslow,"[1626159, 203994, 1629011]",1610612757.0,POR,startperiod,J. Winslow,1626159.0,Winslow,J. Winslow,Nurkic,203994.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-02-12T22:14:00.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,89.04402102496715,47.30392156862745,1610612757,0,0,2022-02-12T22:14:06Z,70000,-13.0,50.0,1,right,MISS J. Nurkic driving Hook,[203994],1610612757.0,POR,driving,,,Nurkic,J. Nurkic,,,,,5.23,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2022-02-12T22:14:02.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,0,0,2022-02-12T22:14:06Z,80000,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2022-02-12T22:14:06.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,0,0,2022-02-12T22:14:06Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2022-02-12T22:14:29.9Z,1,REGULAR,turnover,out-of-bounds,[],1629656,,,1610612752,0,0,2022-02-12T22:14:38Z,100000,,,0,,Q. Grimes lost ball out-of-bounds TURNOVER (1 TO),[1629656],1610612752.0,NYK,lost ball,,,Grimes,Q. Grimes,,,,,,,,1628159.0,1.0,,,,,,,,,,,,,,,,
11,PT11M00.00S,2022-02-12T22:14:54.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629014,87.20433639947439,36.76470588235294,1610612757,0,0,2022-02-12T22:15:00Z,110000,-66.0,68.0,1,right,MISS A. Simons 9' driving floating Shot,[1629014],1610612757.0,POR,driving floating,,,Simons,A. Simons,,,,,9.48,Missed,,,,,,,,,,,,,,,,,,,
12,PT10M58.00S,2022-02-12T22:14:56.9Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,0,0,2022-02-12T22:15:00Z,120000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,11.0,,,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT10M48.00S,2022-02-12T22:15:07.8Z,1,REGULAR,2pt,Jump Shot,[],203944,18.478975032851512,71.32352941176471,1610612752,0,0,2022-02-12T22:15:10Z,130000,-107.0,121.0,1,left,MISS J. Randle 16' turnaround fadeaway Shot,[203944],1610612752.0,NYK,turnaround fadeaway,,,Randle,J. Randle,,,,,16.14,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M47.00S,2022-02-12T22:15:08.8Z,1,REGULAR,rebound,defensive,[],1626159,,,1610612757,0,0,2022-02-12T22:15:10Z,140000,,,0,,J. Winslow REBOUND (Off:0 Def:1),[1626159],1610612757.0,POR,,,,Winslow,J. Winslow,,,,,,,13.0,,,1.0,1.0,0.0,,,,,,,,,,,,,
