actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-11-06T02:11:53.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-06T02:11:53Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-11-06T02:11:55.1Z,1,REGULAR,jumpball,recovered,[],203081,,,1610612757,0,0,2021-11-06T02:11:55Z,40000,,,0,,Jump Ball J. Nurkic vs. M. Turner: Tip to D. Lillard,"[203081, 203994, 1626167]",1610612757.0,POR,startperiod,D. Lillard,203081.0,Lillard,D. Lillard,Nurkic,203994.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2021-11-06T02:12:05.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626181,94.03745072273325,52.20588235294118,1610612757,2,0,2021-11-06T02:12:09Z,70000,11.0,4.0,1,right,N. Powell cutting Layup (2 PTS) (J. Nurkic 1 AST),"[1626181, 203994]",1610612757.0,POR,cutting,,,Powell,N. Powell,,,,,1.15,Made,2.0,J. Nurkic,203994.0,1.0,,,,,,,,,,,,,,,
9,PT11M37.00S,2021-11-06T02:12:15.9Z,1,REGULAR,turnover,bad pass,[],204456,,,1610612754,2,0,2021-11-06T02:12:19Z,90000,,,0,,T. McConnell bad pass TURNOVER (1 TO),"[204456, 203496]",1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,1.0,Covington,203496.0,,,,,,,,,,,,
10,PT11M37.00S,2021-11-06T02:12:15.9Z,1,REGULAR,steal,,[],203496,,,1610612757,2,0,2021-11-06T02:12:17Z,100000,,,0,,R. Covington STEAL (1 STL),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M29.00S,2021-11-06T02:12:22.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203468,93.11760840998686,46.07843137254902,1610612757,2,0,2021-11-06T02:12:26Z,110000,-20.0,12.0,1,right,MISS C. McCollum driving Layup,[203468],1610612757.0,POR,driving,,,McCollum,C. McCollum,,,,,2.31,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M26.00S,2021-11-06T02:12:25.8Z,1,REGULAR,rebound,defensive,[],204456,,,1610612754,2,0,2021-11-06T02:12:26Z,120000,,,0,,T. McConnell REBOUND (Off:0 Def:1),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT11M21.00S,2021-11-06T02:12:30.8Z,1,REGULAR,3pt,Jump Shot,[],1630537,22.946780551905388,7.598039215686274,1610612754,2,0,2021-11-06T02:13:40Z,130000,212.0,163.0,1,left,MISS C. Duarte 26' running pullup 3PT,[1630537],1610612754.0,IND,running pullup,,,Duarte,C. Duarte,,,,,26.75,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M20.00S,2021-11-06T02:12:31.8Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,2,0,2021-11-06T02:12:41Z,140000,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT11M12.00S,2021-11-06T02:12:39.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203994,80.23981603153744,50.49019607843137,1610612757,2,0,2021-11-06T02:12:44Z,150000,2.0,133.0,1,right,MISS J. Nurkic 13' floating Shot,[203994],1610612757.0,POR,floating,,,Nurkic,J. Nurkic,,,,,13.32,Missed,,,,,,,,,,,,,,,,,,,
16,PT11M10.00S,2021-11-06T02:12:41.8Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,2,0,2021-11-06T02:12:44Z,160000,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
17,PT11M00.00S,2021-11-06T02:12:51.8Z,1,REGULAR,3pt,Jump Shot,[],1627747,25.312089356110377,16.176470588235293,1610612754,2,0,2021-11-06T02:12:56Z,170000,169.0,185.0,1,left,MISS C. LeVert 25' 3PT,[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,25.09,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M58.00S,2021-11-06T02:12:53.8Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,2,0,2021-11-06T02:12:56Z,180000,,,0,,R. Covington REBOUND (Off:0 Def:1),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,
19,PT10M51.00S,2021-11-06T02:13:02.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,92.85479632063075,51.470588235294116,1610612757,4,0,2021-11-06T02:13:06Z,190000,7.0,15.0,1,right,J. Nurkic driving finger roll Layup (2 PTS) (D. Lillard 1 AST),"[203994, 203081]",1610612757.0,POR,driving finger roll,,,Nurkic,J. Nurkic,,,,,1.65,Made,2.0,D. Lillard,203081.0,1.0,,,,,,,,,,,,,,,
21,PT10M33.00S,2021-11-06T02:13:19.4Z,1,REGULAR,3pt,Jump Shot,[],1627734,7.046649145860711,4.166666666666666,1610612754,4,0,2021-11-06T02:13:25Z,210000,229.0,14.0,1,left,MISS D. Sabonis 3PT,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,22.96,Missed,,,,,,,,,,,,,,,,,,,
