actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-15T03:08:19.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-15T03:08:19Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-15T03:08:21.5Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612756,0,0,2021-12-15T03:08:21Z,40000,,,0,,Jump Ball D. Ayton vs. J. Nurkic: Tip to C. Paul,"[101108, 1629028, 203994]",1610612756.0,PHX,startperiod,C. Paul,101108.0,Paul,C. Paul,Ayton,1629028.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-12-15T03:08:32.8Z,1,REGULAR,turnover,bad pass,[],101108,,,1610612756,0,0,2021-12-15T03:08:36Z,70000,,,0,,C. Paul bad pass TURNOVER (1 TO),"[101108, 1626204]",1610612756.0,PHX,,,,Paul,C. Paul,,,,,1.0,Nance Jr.,1626204.0,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2021-12-15T03:08:32.8Z,1,REGULAR,steal,,[],1626204,,,1610612757,0,0,2021-12-15T03:08:34Z,80000,,,0,,L. Nance Jr. STEAL (1 STL),[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2021-12-15T03:08:42.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626204,5.206964520367937,49.50980392156863,1610612757,0,0,2021-12-15T03:08:51Z,90000,2.0,-4.0,1,left,MISS L. Nance Jr. Layup,[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,0.44,Missed,,,,,,,,,,,,,,,,
10,PT11M34.00S,2021-12-15T03:08:44.0Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,0,0,2021-12-15T03:11:43Z,100000,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,
11,PT11M26.00S,2021-12-15T03:08:51.7Z,1,REGULAR,2pt,Jump Shot,[],203109,76.2976346911958,30.14705882352941,1610612756,0,2,2021-12-15T03:08:56Z,110000,-99.0,170.0,1,right,J. Crowder 19' pullup Jump Shot (2 PTS) (C. Paul 1 AST),"[203109, 101108]",1610612756.0,PHX,pullup,,,Crowder,J. Crowder,,,,,,,,19.71,Made,,,,,2.0,C. Paul,101108.0,1.0,,,,,,,,
12,PT11M06.00S,2021-12-15T03:09:13.2Z,1,REGULAR,turnover,bad pass,[],1626204,,,1610612757,0,2,2021-12-15T03:09:16Z,120000,,,0,,L. Nance Jr. bad pass TURNOVER (1 TO),"[1626204, 1629028]",1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,1.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,
13,PT11M06.00S,2021-12-15T03:09:13.2Z,1,REGULAR,steal,,[],1629028,,,1610612756,0,2,2021-12-15T03:09:14Z,130000,,,0,,D. Ayton STEAL (1 STL),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT10M52.00S,2021-12-15T03:09:28.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629028,93.24901445466492,50.0,1610612756,0,4,2021-12-15T03:09:32Z,140000,0.0,11.0,1,right,D. Ayton cutting Layup (2 PTS) (C. Paul 2 AST),"[1629028, 101108]",1610612756.0,PHX,cutting,,,Ayton,D. Ayton,,,,,,,,1.1,Made,,,,,2.0,C. Paul,101108.0,2.0,,,,,,,,
