actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-10-30T02:14:05.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-30T02:14:05Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-10-30T02:14:07.9Z,1,REGULAR,jumpball,recovered,[],201587,,,1610612746,0,0,2021-10-30T02:14:07Z,40000,,,0,,Jump Ball I. Zubac vs. J. Nurkic: Tip to N. Batum,"[201587, 1627826, 203994]",1610612746.0,LAC,startperiod,N. Batum,201587.0,Batum,N. Batum,Zubac,1627826.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-10-30T02:14:21.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612746,0,0,2021-10-30T02:14:21Z,70000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2021-10-30T02:14:54.6Z,1,REGULAR,stoppage,injury,[],0,,,1610612746,0,0,2021-10-30T02:14:54Z,80000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2021-10-30T02:15:18.2Z,1,REGULAR,2pt,Jump Shot,[],201587,80.6340341655716,70.09803921568627,1610612746,0,0,2021-10-30T02:15:22Z,90000,100.0,130.0,1,right,MISS N. Batum 16' fadeaway Shot,[201587],1610612746.0,LAC,fadeaway,,,Batum,N. Batum,,,,,16.39,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M32.00S,2021-10-30T02:15:21.2Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,0,0,2021-10-30T02:15:22Z,100000,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M22.00S,2021-10-30T02:15:31.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,7.30946123521682,50.49019607843137,1610612757,0,0,2021-10-30T02:15:36Z,110000,-2.0,16.0,1,left,MISS J. Nurkic cutting Layup,[203994],1610612757.0,POR,cutting,,,Nurkic,J. Nurkic,,,,,1.64,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M19.00S,2021-10-30T02:15:34.1Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,0,0,2021-10-30T02:15:34Z,120000,,,0,,J. Nurkic REBOUND (Off:1 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,11.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
13,PT11M19.00S,2021-10-30T02:15:35.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203994,5.995400788436268,47.30392156862745,1610612757,2,0,2021-10-30T02:16:57Z,130000,13.0,4.0,1,left,J. Nurkic putback DUNK (2 PTS),[203994],1610612757.0,POR,putback,,,Nurkic,J. Nurkic,,,,,1.41,Made,,,,,2.0,,,,,,,,,,,,,,
14,PT11M01.00S,2021-10-30T02:15:51.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627826,93.11760840998686,49.26470588235294,1610612746,2,0,2021-10-30T02:15:56Z,140000,-4.0,12.0,1,right,MISS I. Zubac driving DUNK - blocked,"[1627826, 203994]",1610612746.0,LAC,driving,,,Zubac,I. Zubac,,,,,1.27,Missed,,,,,,Nurkic,203994.0,,,,,,,,,,,,
