actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-03-31T23:10:21.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-31T23:10:21Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-31T23:10:23.9Z,1,REGULAR,jumpball,recovered,[],201976,,,1610612741,0,0,2023-03-31T23:10:23Z,40000,False,,,0,,Jump Ball N. Vucevic vs. M. Williams: Tip to P. Beverley,"[201976, 202696, 1631109]",1610612741.0,CHI,startperiod,P. Beverley,201976.0,Beverley,P. Beverley,Vucevic,202696.0,Williams,1631109.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2023-03-31T23:10:40.4Z,1,REGULAR,3pt,Jump Shot,[],203897,65.91655716162943,39.950980392156865,1610612741,0,0,2023-03-31T23:10:45Z,70000,False,-50.0,268.0,1,right,MISS Z. LaVine 27' pullup 3PT,[203897],1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Center,27.26,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2023-03-31T23:10:42.4Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612766,0,0,2023-03-31T23:10:45Z,80000,False,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2023-03-31T23:10:58.2Z,1,REGULAR,turnover,out-of-bounds,[],1631109,,,1610612766,0,0,2023-03-31T23:11:04Z,90000,False,,,0,,M. Williams bad pass out-of-bounds TURNOVER (1 TO),[1631109],1610612766.0,CHA,bad pass,,,Williams,M. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1662.0,1.0,,,,,,,,,,,,
10,PT11M14.00S,2023-03-31T23:11:14.7Z,1,REGULAR,foul,personal,['2freethrow'],1631109,,,1610612741,0,0,2023-03-31T23:11:26Z,100000,False,,,0,,M. Williams shooting personal FOUL (1 PF) (Vucevic 2 FT),"[1631109, 202696]",1610612766.0,CHA,shooting,,,Williams,M. Williams,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,1627963.0,,1.0,0.0,Vucevic,202696.0,,,,,,,,
12,PT11M14.00S,2023-03-31T23:11:36.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],202696,,,1610612741,0,0,2023-03-31T23:11:36Z,120000,False,,,0,,MISS N. Vucevic Free Throw 1 of 2,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
13,PT11M14.00S,2023-03-31T23:11:36.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612741,0,0,2023-03-31T23:11:36Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,
14,PT11M14.00S,2023-03-31T23:11:51.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],202696,,,1610612741,0,1,2023-03-31T23:11:51Z,140000,False,,,0,,N. Vucevic Free Throw 2 of 2 (1 PTS),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
15,PT10M54.00S,2023-03-31T23:12:13.1Z,1,REGULAR,3pt,Jump Shot,[],1629004,4.5499342969776615,3.9215686274509802,1610612766,0,1,2023-03-31T23:12:17Z,150000,False,230.0,-10.0,1,left,MISS S. Mykhailiuk 3PT,[1629004],1610612766.0,CHA,,,,Mykhailiuk,S. Mykhailiuk,,,,,Right Corner 3,24+ Right,23.06,Missed,,,,,,,,,,,,,,,,,,
16,PT10M52.00S,2023-03-31T23:12:15.1Z,1,REGULAR,rebound,defensive,[],1627936,,,1610612741,0,1,2023-03-31T23:12:17Z,160000,False,,,0,,A. Caruso REBOUND (Off:0 Def:1),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Right Corner 3,24+ Right,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M39.00S,2023-03-31T23:12:28.4Z,1,REGULAR,2pt,Jump Shot,[],201942,74.06373193166885,50.245098039215684,1610612741,0,1,2023-03-31T23:12:31Z,170000,False,1.0,191.0,1,right,MISS D. DeRozan 19' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Center,19.13,Missed,,,,,,,,,,,,,,,,,,
18,PT10M36.00S,2023-03-31T23:12:30.4Z,1,REGULAR,rebound,defensive,[],1631121,,,1610612766,0,1,2023-03-31T23:12:30Z,180000,False,,,0,,B. McGowens REBOUND (Off:0 Def:1),[1631121],1610612766.0,CHA,,,,McGowens,B. McGowens,,,,,Mid-Range,16-24 Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M30.00S,2023-03-31T23:12:37.0Z,1,REGULAR,turnover,bad pass,[],1631121,,,1610612766,0,1,2023-03-31T23:12:41Z,190000,False,,,0,,B. McGowens bad pass TURNOVER (1 TO),"[1631121, 203897]",1610612766.0,CHA,,,,McGowens,B. McGowens,,,,,Restricted Area,0-8 Center,,,,,,,,1.0,,,,,,LaVine,203897.0,,,,,
20,PT10M30.00S,2023-03-31T23:12:37.0Z,1,REGULAR,steal,,[],203897,,,1610612741,0,1,2023-03-31T23:15:06Z,200000,False,,,0,,Z. LaVine STEAL (1 STL),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M25.00S,2023-03-31T23:12:42.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1627936,94.30026281208936,96.81372549019608,1610612741,0,4,2023-03-31T23:12:47Z,210000,False,234.0,1.0,1,right,A. Caruso 3PT  (3 PTS) (Z. LaVine 1 AST),"[1627936, 203897]",1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Right Corner 3,24+ Right,23.41,Made,,,,,,,,,,,3.0,,,Z. LaVine,203897.0,1.0,,
23,PT10M10.00S,2023-03-31T23:12:58.3Z,1,REGULAR,turnover,out-of-bounds,[],1630177,,,1610612766,0,4,2023-03-31T23:13:06Z,230000,False,,,0,,T. Maledon lost ball out-of-bounds TURNOVER (1 TO),[1630177],1610612766.0,CHA,lost ball,,,Maledon,T. Maledon,,,,,Above the Break 3,24+ Left Center,,,,,,,204058.0,1.0,,,,,,,,,,,,
24,PT10M00.00S,2023-03-31T23:13:14.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202696,94.1688567674113,51.9607843137255,1610612741,0,6,2023-03-31T23:13:18Z,240000,False,10.0,2.0,1,right,N. Vucevic driving Layup (3 PTS) (Z. LaVine 2 AST),"[202696, 203897]",1610612741.0,CHI,driving,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,1.01,Made,,,,,,,,,,,3.0,,,Z. LaVine,203897.0,2.0,,
26,PT09M47.00S,2023-03-31T23:13:27.5Z,1,REGULAR,3pt,Jump Shot,[],1629023,28.991458607095925,76.9607843137255,1610612766,0,6,2023-03-31T23:13:32Z,260000,False,-135.0,220.0,1,left,MISS P. Washington 25' bank 3PT,[1629023],1610612766.0,CHA,bank,,,Washington,P. Washington,,,,,Above the Break 3,24+ Left Center,25.8,Missed,,,,,,,,,,,,,,,,,,
