actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-03-14T23:10:26.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-14T23:10:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2023-03-14T23:10:31.6Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2023-03-14T23:10:31Z,40000,False,,,0,,Jump Ball E. Mobley vs. N. Richards: Tip to D. Garland,"[1629636, 1630596, 1630208]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Mobley,1630596.0,Richards,1630208.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2023-03-14T23:10:49.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630596,5.995400788436268,54.65686274509803,1610612739,0,0,2023-03-14T23:10:55Z,70000,False,-23.0,4.0,1,left,MISS E. Mobley Layup,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,2.36,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2023-03-14T23:10:50.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,0,0,2023-03-14T23:10:55Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Restricted Area,0-8 Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2023-03-14T23:11:15.9Z,1,REGULAR,2pt,Jump Shot,[],1626162,76.82325886990802,66.91176470588235,1610612766,2,0,2023-03-14T23:11:20Z,100000,False,85.0,165.0,1,right,K. Oubre Jr. 18' pullup Jump Shot (2 PTS) (T. Rozier 1 AST),"[1626162, 1626179]",1610612766.0,CHA,pullup,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,16-24 Right Center,18.58,Made,,2.0,T. Rozier,1626179.0,1.0,,,,,,,,,,,,,
11,PT10M54.00S,2023-03-14T23:11:37.4Z,1,REGULAR,3pt,Jump Shot,[],1629636,30.962549277266753,67.8921568627451,1610612739,2,3,2023-03-14T23:11:42Z,110000,False,-89.0,239.0,1,left,D. Garland 25' 3PT step back (3 PTS),[1629636],1610612739.0,CLE,step back,,,Garland,D. Garland,,,,,Above the Break 3,24+ Left Center,25.47,Made,,3.0,,,,,,,,,,,,,,,,
12,PT10M42.00S,2023-03-14T23:11:48.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630208,92.32917214191852,50.49019607843137,1610612766,4,3,2023-03-14T23:11:52Z,120000,False,2.0,20.0,1,right,N. Richards alley-oop DUNK (2 PTS) (T. Rozier 2 AST),"[1630208, 1626179]",1610612766.0,CHA,alley-oop,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,1.98,Made,,2.0,T. Rozier,1626179.0,2.0,,,,,,,,,,,,,
14,PT10M28.00S,2023-03-14T23:12:04.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627747,8.09789750328515,59.31372549019608,1610612739,4,3,2023-03-14T23:12:11Z,140000,False,-47.0,24.0,1,left,MISS C. LeVert driving Layup - blocked,"[1627747, 1630208]",1610612739.0,CLE,driving,,,LeVert,C. LeVert,,,,,In The Paint (Non-RA),0-8 Center,5.22,Missed,,,,,,Richards,1630208.0,,,,,,,,,,,
16,PT10M28.00S,2023-03-14T23:12:04.2Z,1,REGULAR,block,,[],1630208,,,1610612739,4,3,2023-03-14T23:12:11Z,145000,False,,,0,,N. Richards BLOCK (1 BLK),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M25.00S,2023-03-14T23:12:07.2Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,4,3,2023-03-14T23:12:11Z,150000,False,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,,,14.0,,,,,,,1.0,1.0,0.0,,,,,,,,
17,PT10M19.00S,2023-03-14T23:12:12.8Z,1,REGULAR,3pt,Jump Shot,[],1629023,68.01905387647832,33.82352941176471,1610612766,4,3,2023-03-14T23:12:17Z,160000,False,-81.0,248.0,1,right,MISS P. Washington 26' 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Center,26.1,Missed,,,,,,,,,,,,,,,,,,
18,PT10M16.00S,2023-03-14T23:12:15.3Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,4,3,2023-03-14T23:12:15Z,170000,False,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Center,,,17.0,,,,,,,1.0,1.0,0.0,,,,,,,,
19,PT10M07.00S,2023-03-14T23:12:24.2Z,1,REGULAR,2pt,Jump Shot,[],1629636,18.347568988173457,23.284313725490197,1610612739,4,3,2023-03-14T23:12:28Z,180000,False,134.0,120.0,1,left,MISS D. Garland 17' pullup Shot,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,Mid-Range,16-24 Right Center,17.96,Missed,,,,,,,,,,,,,,,,,,
20,PT10M05.00S,2023-03-14T23:12:26.2Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612766,4,3,2023-03-14T23:12:28Z,190000,False,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Mid-Range,16-24 Right Center,,,19.0,,,,,,,1.0,1.0,0.0,,,,,,,,
21,PT09M58.00S,2023-03-14T23:12:34.0Z,1,REGULAR,2pt,Jump Shot,[],1626179,92.72339027595268,17.15686274509804,1610612766,6,3,2023-03-14T23:17:16Z,200000,False,-164.0,16.0,1,right,T. Rozier 16' step back Jump Shot (2 PTS),[1626179],1610612766.0,CHA,step back,,,Rozier,T. Rozier,,,,,Mid-Range,16-24 Left,16.5,Made,,2.0,,,,,,,,,,,,,,,,
22,PT09M33.00S,2023-03-14T23:12:57.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,4.812746386333772,54.41176470588235,1610612739,6,5,2023-03-14T23:13:03Z,210000,False,-22.0,-7.0,1,left,D. Garland driving finger roll Layup (5 PTS),[1629636],1610612739.0,CLE,driving finger roll,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,2.33,Made,,5.0,,,,,,,,,,,,,,,,
23,PT09M19.00S,2023-03-14T23:13:11.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626162,94.1688567674113,47.549019607843135,1610612766,8,5,2023-03-14T23:13:16Z,220000,False,-12.0,2.0,1,right,K. Oubre Jr. driving DUNK (4 PTS) (T. Rozier 3 AST),"[1626162, 1626179]",1610612766.0,CHA,driving,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,1.25,Made,,4.0,T. Rozier,1626179.0,3.0,,,,,,,,,,,,,
24,PT09M07.00S,2023-03-14T23:13:23.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627747,7.835085413929041,53.67647058823529,1610612739,8,5,2023-03-14T23:13:28Z,230000,False,-18.0,21.0,1,left,MISS C. LeVert driving Layup - blocked,"[1627747, 1626162]",1610612739.0,CLE,driving,,,LeVert,C. LeVert,,,,,Restricted Area,0-8 Center,2.8,Missed,,,,,,Oubre Jr.,1626162.0,,,,,,,,,,,
25,PT09M07.00S,2023-03-14T23:13:23.8Z,1,REGULAR,block,,[],1626162,,,1610612739,8,5,2023-03-14T23:13:26Z,240000,False,,,0,,K. Oubre Jr. BLOCK (1 BLK),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
26,PT09M04.00S,2023-03-14T23:13:26.8Z,1,REGULAR,rebound,defensive,[],202330,,,1610612766,8,5,2023-03-14T23:13:28Z,250000,False,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Restricted Area,0-8 Center,,,24.0,,,,,,,1.0,1.0,0.0,,,,,,,,
27,PT09M00.00S,2023-03-14T23:13:30.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202330,71.43561103810775,79.41176470588235,1610612766,8,5,2023-03-14T23:13:51Z,260000,False,147.0,216.0,1,right,MISS G. Hayward 26' running pullup 3PT,[202330],1610612766.0,CHA,running pullup,,,Hayward,G. Hayward,,,,,Above the Break 3,24+ Right Center,26.13,Missed,,,,,,,,,,,,,,,,,,
28,PT08M59.00S,2023-03-14T23:13:31.6Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612766,8,5,2023-03-14T23:13:51Z,270000,False,,,0,,N. Richards REBOUND (Off:1 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Right Center,,,27.0,,,,,,,2.0,1.0,1.0,,,,,,,,
29,PT08M59.00S,2023-03-14T23:13:51.9Z,1,REGULAR,foul,personal,['2freethrow'],1630596,,,1610612766,8,5,2023-03-14T23:14:14Z,280000,False,,,0,,E. Mobley shooting personal FOUL (1 PF) (Richards 2 FT),"[1630596, 1630208]",1610612739.0,CLE,shooting,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1155.0,1.0,0.0,Richards,1630208.0,,,
31,PT08M59.00S,2023-03-14T23:14:07.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630208,,,1610612766,8,5,2023-03-14T23:14:07Z,300000,False,,,0,,MISS N. Richards Free Throw 1 of 2,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
32,PT08M59.00S,2023-03-14T23:14:07.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,8,5,2023-03-14T23:14:07Z,310000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,
33,PT08M59.00S,2023-03-14T23:14:24.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630208,,,1610612766,9,5,2023-03-14T23:14:24Z,320000,False,,,0,,N. Richards Free Throw 2 of 2 (3 PTS),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,Made,,3.0,,,,,,,,,,,,,,,,
35,PT08M41.00S,2023-03-14T23:14:45.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630205,16.113666228646515,47.30392156862745,1610612739,9,5,2023-03-14T23:14:50Z,330000,False,13.0,99.0,1,left,MISS L. Stevens 9' pullup Shot,[1630205],1610612739.0,CLE,pullup,,,Stevens,L. Stevens,,,,,In The Paint (Non-RA),8-16 Center,9.99,Missed,,,,,,,,,,,,,,,,,,
36,PT08M39.00S,2023-03-14T23:14:48.3Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,9,5,2023-03-14T23:14:48Z,340000,False,,,0,,E. Mobley REBOUND (Off:1 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),8-16 Center,,,35.0,,,,,,,2.0,1.0,1.0,,,,,,,,
37,PT08M36.00S,2023-03-14T23:14:51.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627747,24.52365308804205,86.27450980392157,1610612739,9,8,2023-03-14T23:14:59Z,350000,False,-181.0,178.0,1,left,C. LeVert 25' 3PT  (3 PTS) (E. Mobley 1 AST),"[1627747, 1630596]",1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Above the Break 3,24+ Left Center,25.41,Made,,3.0,E. Mobley,1630596.0,1.0,,,,,,,,,,,,,
39,PT08M27.00S,2023-03-14T23:15:13.6Z,1,REGULAR,foul,personal,[],1630171,,,1610612766,9,8,2023-03-14T23:17:59Z,370000,False,,,0,,I. Okoro personal FOUL (1 PF),"[1630171, 202330]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,1628484.0,1.0,0.0,Hayward,202330.0,,,
41,PT08M12.00S,2023-03-14T23:15:39.8Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612766,9,8,2023-03-14T23:16:06Z,390000,False,,,0,,CHA shot clock Team TURNOVER,[],1610612766.0,CHA,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1155.0,,,,,,,
