actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-29T23:10:36.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-29T23:10:36Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2022-10-29T23:10:37.3Z,1,REGULAR,jumpball,recovered,[],1628372,,,1610612766,0,0,2022-10-29T23:10:37Z,40000,,,0,,Jump Ball M. Plumlee vs. K. Looney: Tip to D. Smith Jr.,"[1628372, 203486, 1626172]",1610612766.0,CHA,startperiod,D. Smith Jr.,1628372.0,Smith Jr.,D. Smith Jr.,Plumlee,203486.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-10-29T23:10:45.5Z,1,REGULAR,2pt,Jump Shot,[],202330,75.64060446780552,49.26470588235294,1610612766,2,0,2022-10-29T23:10:54Z,70000,-4.0,176.0,1,right,G. Hayward 17' pullup Jump Shot (2 PTS) (M. Plumlee 1 AST),"[202330, 203486]",1610612766.0,CHA,pullup,,,Hayward,G. Hayward,,,,,Mid-Range,16-24 Center,17.65,Made,2.0,M. Plumlee,203486.0,1.0,,,,,,,,,,,,,,
9,PT11M29.00S,2022-10-29T23:11:01.7Z,1,REGULAR,2pt,Jump Shot,[],1626172,23.99802890932983,24.754901960784316,1610612744,2,2,2022-10-29T23:11:10Z,90000,126.0,173.0,1,left,K. Looney 21' Jump Shot (2 PTS) (K. Thompson 1 AST),"[1626172, 202691]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,Mid-Range,16-24 Right Center,21.42,Made,2.0,K. Thompson,202691.0,1.0,,,,,,,,,,,,,,
11,PT11M13.00S,2022-10-29T23:11:17.1Z,1,REGULAR,2pt,Jump Shot,[],202330,75.77201051248358,68.13725490196079,1610612766,4,2,2022-10-29T23:11:23Z,110000,91.0,175.0,1,right,G. Hayward 19' Jump Shot (4 PTS) (M. Plumlee 2 AST),"[202330, 203486]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Mid-Range,16-24 Right Center,19.73,Made,4.0,M. Plumlee,203486.0,2.0,,,,,,,,,,,,,,
13,PT11M05.00S,2022-10-29T23:11:25.8Z,1,REGULAR,3pt,Jump Shot,[],203952,29.38567674113009,18.872549019607842,1610612744,4,2,2022-10-29T23:11:32Z,130000,156.0,224.0,1,left,MISS A. Wiggins 27' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Right Center,27.25,Missed,,,,,,,,,,,,,,,,,,
14,PT11M02.00S,2022-10-29T23:11:28.8Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,4,2,2022-10-29T23:11:32Z,140000,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Above the Break 3,24+ Right Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M49.00S,2022-10-29T23:11:42.1Z,1,REGULAR,3pt,Jump Shot,[],1626162,65.91655716162943,47.549019607843135,1610612766,7,2,2022-10-29T23:11:47Z,150000,-12.0,268.0,1,right,K. Oubre Jr. 26' 3PT  (3 PTS) (G. Hayward 1 AST),"[1626162, 202330]",1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Center,26.82,Made,3.0,G. Hayward,202330.0,1.0,,,,,,,,,,,,,,
17,PT10M35.00S,2022-10-29T23:11:55.9Z,1,REGULAR,3pt,Jump Shot,[],201939,31.488173455978973,62.5,1610612744,7,2,2022-10-29T23:12:01Z,170000,-62.0,243.0,1,left,MISS S. Curry 25' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,25.14,Missed,,,,,,,,,,,,,,,,,,
18,PT10M32.00S,2022-10-29T23:11:59.5Z,1,REGULAR,rebound,offensive,[],203952,,,1610612744,7,2,2022-10-29T23:11:59Z,180000,,,0,,A. Wiggins REBOUND (Off:1 Def:0),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Center,,,,,,,17.0,1.0,0.0,1.0,,,,,,,,,,
19,PT10M30.00S,2022-10-29T23:12:01.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203952,29.6484888304862,26.96078431372549,1610612744,7,5,2022-10-29T23:12:06Z,190000,115.0,226.0,1,left,A. Wiggins 25' 3PT  (3 PTS) (K. Thompson 2 AST),"[203952, 202691]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Right Center,25.38,Made,3.0,K. Thompson,202691.0,2.0,,,,,,,,,,,,,,
21,PT10M14.00S,2022-10-29T23:12:17.0Z,1,REGULAR,3pt,Jump Shot,[],1629023,71.17279894875165,23.284313725490197,1610612766,10,5,2022-10-29T23:12:43Z,210000,-134.0,218.0,1,right,P. Washington 25' 3PT pullup (3 PTS) (D. Smith Jr. 1 AST),"[1629023, 1628372]",1610612766.0,CHA,pullup,,,Washington,P. Washington,,,,,Above the Break 3,24+ Left Center,25.61,Made,3.0,D. Smith Jr.,1628372.0,1.0,,,,,,,,,,,,,,
23,PT09M56.00S,2022-10-29T23:12:34.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,7.440867279894875,48.77450980392157,1610612744,10,7,2022-10-29T23:12:41Z,230000,6.0,17.0,1,left,K. Looney Layup (4 PTS) (A. Wiggins 1 AST),"[1626172, 203952]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,1.84,Made,4.0,A. Wiggins,203952.0,1.0,,,,,,,,,,,,,,
25,PT09M45.00S,2022-10-29T23:12:45.1Z,1,REGULAR,2pt,Jump Shot,[],202330,76.42904073587385,64.70588235294117,1610612766,12,7,2022-10-29T23:13:42Z,250000,74.0,169.0,1,right,G. Hayward 18' pullup Jump Shot (6 PTS) (P. Washington 1 AST),"[202330, 1629023]",1610612766.0,CHA,pullup,,,Hayward,G. Hayward,,,,,Mid-Range,16-24 Right Center,18.44,Made,6.0,P. Washington,1629023.0,1.0,,,,,,,,,,,,,,
26,PT09M26.00S,2022-10-29T23:13:04.2Z,1,REGULAR,2pt,Jump Shot,[],203952,10.726018396846255,30.14705882352941,1610612744,12,7,2022-10-29T23:13:11Z,260000,99.0,48.0,1,left,MISS A. Wiggins 11' bank Shot,[203952],1610612744.0,GSW,bank,,,Wiggins,A. Wiggins,,,,,Mid-Range,8-16 Right,11.04,Missed,,,,,,,,,,,,,,,,,,
27,PT09M24.00S,2022-10-29T23:13:06.6Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,12,7,2022-10-29T23:13:06Z,270000,,,0,,M. Plumlee REBOUND (Off:0 Def:2),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Mid-Range,8-16 Right,,,,,,,26.0,2.0,2.0,0.0,,,,,,,,,,
28,PT09M19.00S,2022-10-29T23:13:11.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629023,93.64323258869908,45.83333333333333,1610612766,14,7,2022-10-29T23:13:15Z,280000,-21.0,7.0,1,right,P. Washington reverse Layup (5 PTS) (M. Plumlee 3 AST),"[1629023, 203486]",1610612766.0,CHA,reverse,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,2.2,Made,5.0,M. Plumlee,203486.0,3.0,,,,,,,,,,,,,,
30,PT09M19.00S,2022-10-29T23:13:19.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,14,7,2022-10-29T23:16:18Z,300000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M03.00S,2022-10-29T23:16:21.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626172,11.383048620236531,39.21568627450981,1610612744,14,7,2022-10-29T23:16:27Z,310000,54.0,55.0,1,left,MISS K. Looney 7' Hook,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,In The Paint (Non-RA),0-8 Center,7.67,Missed,,,,,,,,,,,,,,,,,,
34,PT09M00.00S,2022-10-29T23:16:24.8Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612766,14,7,2022-10-29T23:16:27Z,330000,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,
35,PT08M56.00S,2022-10-29T23:16:29.6Z,1,REGULAR,2pt,Jump Shot,[],1626162,89.04402102496715,28.921568627450984,1610612766,14,7,2022-10-29T23:16:38Z,340000,-105.0,50.0,1,right,MISS K. Oubre Jr. 11' Jump Shot,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,8-16 Left,11.69,Missed,,,,,,,,,,,,,,,,,,
36,PT08M51.00S,2022-10-29T23:16:33.1Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,14,7,2022-10-29T23:16:33Z,350000,,,0,,M. Plumlee REBOUND (Off:1 Def:2),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Mid-Range,8-16 Left,,,,,,,35.0,3.0,2.0,1.0,,,,,,,,,,
37,PT08M51.00S,2022-10-29T23:16:33.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203486,94.40999984741211,50.0,1610612766,14,7,2022-10-29T23:16:33Z,360000,0.0,0.0,1,right,MISS M. Plumlee tip Layup,[203486],1610612766.0,CHA,tip,,,Plumlee,M. Plumlee,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
38,PT08M50.00S,2022-10-29T23:16:34.1Z,1,REGULAR,rebound,defensive,[],202691,,,1610612744,14,7,2022-10-29T23:16:34Z,370000,,,0,,K. Thompson REBOUND (Off:0 Def:1),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Mid-Range,8-16 Left,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,
39,PT08M32.00S,2022-10-29T23:16:53.0Z,1,REGULAR,3pt,Jump Shot,[],201939,36.61300919842313,40.68627450980392,1610612744,14,7,2022-10-29T23:17:00Z,380000,47.0,292.0,1,left,MISS S. Curry 29' pullup 3PT,[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,29.54,Missed,,,,,,,,,,,,,,,,,,
40,PT08M28.00S,2022-10-29T23:16:57.0Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612766,14,7,2022-10-29T23:17:00Z,390000,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:2),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Center,,,,,,,39.0,2.0,2.0,0.0,,,,,,,,,,
41,PT08M15.00S,2022-10-29T23:17:10.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202330,84.97043363994744,55.88235294117647,1610612766,14,7,2022-10-29T23:20:46Z,400000,29.0,89.0,1,right,MISS G. Hayward 9' fadeaway Shot,[202330],1610612766.0,CHA,fadeaway,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),8-16 Center,9.35,Missed,,,,,,,,,,,,,,,,,,
42,PT08M13.00S,2022-10-29T23:17:12.3Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,14,7,2022-10-29T23:17:18Z,410000,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,41.0,1.0,1.0,0.0,,,,,,,,,,
43,PT08M09.00S,2022-10-29T23:17:15.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203952,7.835085413929041,52.69607843137255,1610612744,14,7,2022-10-29T23:17:26Z,420000,-13.0,21.0,1,left,MISS A. Wiggins alley-oop Layup,[203952],1610612744.0,GSW,alley-oop,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,2.5,Missed,,,,,,,,,,,,,,,,,,
44,PT08M09.00S,2022-10-29T23:17:15.9Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612766,14,7,2022-10-29T23:17:26Z,430000,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,,,
45,PT08M00.00S,2022-10-29T23:17:25.7Z,1,REGULAR,2pt,Jump Shot,[],1629023,75.77201051248358,25.245098039215684,1610612766,14,7,2022-10-29T23:21:30Z,440000,-124.0,175.0,1,right,MISS P. Washington 21' pullup Shot,[1629023],1610612766.0,CHA,pullup,,,Washington,P. Washington,,,,,Mid-Range,16-24 Left Center,21.45,Missed,,,,,,,,,,,,,,,,,,
46,PT07M58.00S,2022-10-29T23:17:27.7Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,14,7,2022-10-29T23:17:29Z,450000,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Mid-Range,16-24 Left Center,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,
47,PT07M54.00S,2022-10-29T23:17:30.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201939,6.915243101182654,52.450980392156865,1610612744,14,9,2022-10-29T23:22:09Z,460000,-12.0,13.0,1,left,S. Curry finger roll Layup (2 PTS),[201939],1610612744.0,GSW,finger roll,,,Curry,S. Curry,,,,,Restricted Area,0-8 Center,1.75,Made,2.0,,,,,,,,,,,,,,,,,
48,PT07M34.00S,2022-10-29T23:17:50.3Z,1,REGULAR,3pt,Jump Shot,[],202330,72.22404730617609,77.94117647058823,1610612766,14,9,2022-10-29T23:17:55Z,470000,140.0,209.0,1,right,MISS G. Hayward 25' 3PT,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Above the Break 3,24+ Right Center,25.11,Missed,,,,,,,,,,,,,,,,,,
49,PT07M32.00S,2022-10-29T23:17:52.3Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,14,9,2022-10-29T23:17:55Z,480000,,,0,,D. Green REBOUND (Off:0 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Right Center,,,,,,,48.0,2.0,2.0,0.0,,,,,,,,,,
50,PT07M21.00S,2022-10-29T23:18:04.4Z,1,REGULAR,2pt,Jump Shot,[],202691,5.995400788436268,78.92156862745098,1610612744,14,11,2022-10-29T23:18:10Z,490000,-145.0,4.0,1,left,K. Thompson 14' fadeaway Jump Shot (2 PTS) (K. Looney 1 AST),"[202691, 1626172]",1610612744.0,GSW,fadeaway,,,Thompson,K. Thompson,,,,,Mid-Range,8-16 Left,14.47,Made,2.0,K. Looney,1626172.0,1.0,,,,,,,,,,,,,,
51,PT07M01.00S,2022-10-29T23:18:23.5Z,1,REGULAR,3pt,Jump Shot,[],1629023,78.53153745072274,7.107843137254902,1610612766,14,11,2022-10-29T23:18:29Z,500000,-214.0,149.0,1,right,MISS P. Washington 26' 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Left Center,26.13,Missed,,,,,,,,,,,,,,,,,,
52,PT06M58.00S,2022-10-29T23:18:26.9Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,14,11,2022-10-29T23:18:26Z,510000,,,0,,M. Plumlee REBOUND (Off:2 Def:2),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Above the Break 3,24+ Left Center,,,,,,,51.0,4.0,2.0,2.0,,,,,,,,,,
53,PT06M55.00S,2022-10-29T23:18:29.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629023,93.64323258869908,50.49019607843137,1610612766,16,11,2022-10-29T23:18:33Z,520000,2.0,7.0,1,right,P. Washington DUNK (7 PTS) (D. Smith Jr. 2 AST),"[1629023, 1628372]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,0.77,Made,7.0,D. Smith Jr.,1628372.0,2.0,,,,,,,,,,,,,,
55,PT06M43.00S,2022-10-29T23:18:42.1Z,1,REGULAR,2pt,Jump Shot,[],201939,29.38567674113009,57.59803921568627,1610612744,16,13,2022-10-29T23:18:48Z,540000,-38.0,224.0,1,left,S. Curry 22' Jump Shot (4 PTS) (D. Green 1 AST),"[201939, 203110]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Mid-Range,16-24 Center,22.69,Made,4.0,D. Green,203110.0,1.0,,,,,,,,,,,,,,
57,PT06M24.00S,2022-10-29T23:19:01.2Z,1,REGULAR,2pt,Jump Shot,[],202330,77.87450722733246,27.941176470588236,1610612766,16,13,2022-10-29T23:19:06Z,560000,-110.0,155.0,1,right,MISS G. Hayward 19' Jump Shot,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Mid-Range,16-24 Left Center,19.06,Missed,,,,,,,,,,,,,,,,,,
