actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-02-28T00:10:15.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-28T00:10:15Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2023-02-28T00:10:19.6Z,1,REGULAR,jumpball,recovered,[],1630164,,,1610612765,0,0,2023-02-28T00:10:19Z,40000,False,,,0,,Jump Ball J. Wiseman vs. M. Williams: Tip to J. Wiseman,"[1630164, 1630164, 1631109]",1610612765.0,DET,startperiod,J. Wiseman,1630164.0,Wiseman,J. Wiseman,Wiseman,1630164.0,Williams,1631109.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2023-02-28T00:10:31.9Z,1,REGULAR,3pt,Jump Shot,[],203585,92.59198423127464,4.166666666666666,1610612765,0,3,2023-02-28T00:10:37Z,70000,False,-229.0,17.0,1,right,R. McGruder 3PT  (3 PTS) (K. Hayes 1 AST),"[203585, 1630165]",1610612765.0,DET,,,,McGruder,R. McGruder,,,,,Left Corner 3,24+ Left,22.98,Made,3.0,K. Hayes,1630165.0,1.0,,,,,,,,,,,,,,
9,PT11M24.00S,2023-02-28T00:10:49.9Z,1,REGULAR,2pt,Jump Shot,[],1630163,25.443495400788436,55.88235294117647,1610612766,0,3,2023-02-28T00:11:00Z,90000,False,-29.0,187.0,1,left,MISS L. Ball 18' pullup Shot,[1630163],1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,Mid-Range,16-24 Center,18.9,Missed,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2023-02-28T00:10:50.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,0,3,2023-02-28T00:11:00Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Mid-Range,16-24 Center,,,,,,,9.0,,,,,,,,,,,,,
12,PT11M10.00S,2023-02-28T00:11:16.2Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1631109,8.229303547963205,45.09803921568628,1610612766,2,3,2023-02-28T00:11:23Z,120000,False,25.0,25.0,1,left,M. Williams Hook (2 PTS) (G. Hayward 1 AST),"[1631109, 202330]",1610612766.0,CHA,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,3.49,Made,2.0,G. Hayward,202330.0,1.0,,,,,,,,,,,,,,
14,PT10M54.00S,2023-02-28T00:11:32.2Z,1,REGULAR,2pt,Jump Shot,[],1630165,81.68528252299606,70.83333333333334,1610612765,2,5,2023-02-28T00:11:37Z,140000,False,104.0,120.0,1,right,K. Hayes 15' step back Jump Shot (2 PTS),[1630165],1610612765.0,DET,step back,,,Hayes,K. Hayes,,,,,Mid-Range,8-16 Right,15.87,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M38.00S,2023-02-28T00:11:48.6Z,1,REGULAR,3pt,Jump Shot,[],1630163,38.84691195795006,49.50980392156863,1610612766,5,5,2023-02-28T00:12:52Z,150000,False,2.0,313.0,1,left,L. Ball 31' 3PT pullup (3 PTS),[1630163],1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,31.27,Made,3.0,,,,,,,,,,,,,,,,,
16,PT10M24.00S,2023-02-28T00:12:02.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202692,85.89027595269383,55.63725490196079,1610612765,5,7,2023-02-28T00:14:44Z,160000,False,28.0,80.0,1,right,A. Burks 8' floating Jump Shot (2 PTS) (K. Hayes 2 AST),"[202692, 1630165]",1610612765.0,DET,floating,,,Burks,A. Burks,,,,,In The Paint (Non-RA),8-16 Center,8.49,Made,2.0,K. Hayes,1630165.0,2.0,,,,,,,,,,,,,,
18,PT10M09.00S,2023-02-28T00:12:22.3Z,1,REGULAR,foul,personal,[],202692,,,1610612766,5,7,2023-02-28T00:12:33Z,180000,False,,,0,,A. Burks personal FOUL (1 PF),"[202692, 202330]",1610612765.0,DET,,,,Burks,A. Burks,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1162.0,1.0,0.0,Hayward,202330.0,,,,,,,,
20,PT09M58.00S,2023-02-28T00:12:50.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202330,15.982260183968464,39.950980392156865,1610612766,7,7,2023-02-28T00:12:56Z,200000,False,50.0,98.0,1,left,G. Hayward 10' pullup Jump Shot (2 PTS),[202330],1610612766.0,CHA,pullup,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),8-16 Center,10.98,Made,2.0,,,,,,,,,,,,,,,,,
21,PT09M46.00S,2023-02-28T00:13:02.3Z,1,REGULAR,3pt,Jump Shot,[],1630587,74.72076215505913,13.23529411764706,1610612765,7,7,2023-02-28T00:13:10Z,210000,False,-184.0,185.0,1,right,MISS I. Livers 26' 3PT,[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,Above the Break 3,24+ Left Center,26.09,Missed,,,,,,,,,,,,,,,,,,
22,PT09M40.00S,2023-02-28T00:13:08.3Z,1,REGULAR,rebound,offensive,[],1630164,,,1610612765,7,7,2023-02-28T00:13:10Z,220000,False,,,0,,J. Wiseman REBOUND (Off:1 Def:0),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Above the Break 3,24+ Left Center,,,,,,,21.0,,,,,,1.0,0.0,1.0,,,,,
23,PT09M40.00S,2023-02-28T00:13:08.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630164,94.40999984741211,50.0,1610612765,7,9,2023-02-28T00:13:08Z,230000,False,0.0,0.0,1,right,J. Wiseman putback DUNK (2 PTS),[1630164],1610612765.0,DET,putback,,,Wiseman,J. Wiseman,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
24,PT09M37.00S,2023-02-28T00:13:19.1Z,1,REGULAR,foul,personal,[],203585,,,1610612766,7,9,2023-02-28T00:17:54Z,240000,False,,,0,,R. McGruder personal FOUL (1 PF),"[203585, 1626179]",1610612765.0,DET,,,,McGruder,R. McGruder,,,,,Above the Break 3,24+ Right Center,,,,,,,,202035.0,1.0,0.0,Rozier,1626179.0,,,,,,,,
26,PT09M33.00S,2023-02-28T00:13:34.6Z,1,REGULAR,turnover,bad pass,[],1630163,,,1610612766,7,9,2023-02-28T00:18:08Z,260000,False,,,0,,L. Ball bad pass TURNOVER (1 TO),"[1630163, 1630165]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,1.0,Hayes,1630165.0,,
27,PT09M33.00S,2023-02-28T00:13:34.6Z,1,REGULAR,steal,,[],1630165,,,1610612765,7,9,2023-02-28T00:13:36Z,270000,False,,,0,,K. Hayes STEAL (1 STL),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
28,PT09M27.00S,2023-02-28T00:13:40.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630164,88.12417871222075,50.49019607843137,1610612765,7,11,2023-02-28T00:20:03Z,280000,False,2.0,59.0,1,right,J. Wiseman running Jump Shot (4 PTS) (K. Hayes 3 AST),"[1630164, 1630165]",1610612765.0,DET,running,,,Wiseman,J. Wiseman,,,,,In The Paint (Non-RA),0-8 Center,5.92,Made,4.0,K. Hayes,1630165.0,3.0,,,,,,,,,,,,,,
30,PT09M18.00S,2023-02-28T00:13:49.9Z,1,REGULAR,turnover,bad pass,[],1630163,,,1610612766,7,11,2023-02-28T00:13:55Z,300000,False,,,0,,L. Ball bad pass TURNOVER (2 TO),"[1630163, 203585]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,2.0,McGruder,203585.0,,
31,PT09M18.00S,2023-02-28T00:13:49.9Z,1,REGULAR,steal,,[],203585,,,1610612765,7,11,2023-02-28T00:13:51Z,310000,False,,,0,,R. McGruder STEAL (1 STL),[203585],1610612765.0,DET,,,,McGruder,R. McGruder,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
32,PT09M11.00S,2023-02-28T00:13:56.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202692,74.72076215505913,13.970588235294118,1610612765,7,11,2023-02-28T00:14:02Z,320000,False,-180.0,185.0,1,right,MISS A. Burks 25' 3PT,[202692],1610612765.0,DET,,,,Burks,A. Burks,,,,,Above the Break 3,24+ Left Center,25.83,Missed,,,,,,,,,,,,,,,,,,
33,PT09M06.00S,2023-02-28T00:14:01.9Z,1,REGULAR,rebound,defensive,[],202330,,,1610612766,7,11,2023-02-28T00:14:02Z,330000,False,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Above the Break 3,24+ Left Center,,,,,,,32.0,,,,,,1.0,1.0,0.0,,,,,
34,PT09M02.00S,2023-02-28T00:14:05.2Z,1,REGULAR,turnover,bad pass,[],1630163,,,1610612766,7,11,2023-02-28T00:14:09Z,340000,False,,,0,,L. Ball bad pass TURNOVER (3 TO),"[1630163, 202692]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,3.0,Burks,202692.0,,
