actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-16T18:09:52.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-16T18:09:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-16T18:09:55.3Z,1,REGULAR,jumpball,recovered,[],201143,,,1610612738,0,0,2023-01-16T18:09:55Z,40000,False,,,0,,Jump Ball R. Williams III vs. M. Plumlee: Tip to A. Horford,"[201143, 1629057, 203486]",1610612738.0,BOS,startperiod,A. Horford,201143.0,Horford,A. Horford,Williams III,1629057.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2023-01-16T18:10:05.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203935,6.1268068331143235,48.77450980392157,1610612738,0,2,2023-01-16T18:10:10Z,70000,False,6.0,5.0,1,left,M. Smart alley-oop DUNK (2 PTS) (D. White 1 AST),"[203935, 1628401]",1610612738.0,BOS,alley-oop,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,0.8,Made,2.0,D. White,1628401.0,1.0,,,,,,,,,,,,,,
9,PT11M32.00S,2023-01-16T18:10:19.4Z,1,REGULAR,3pt,Jump Shot,[],1629667,90.88370565045992,96.56862745098039,1610612766,0,2,2023-01-16T18:10:27Z,90000,False,233.0,33.0,1,right,MISS J. McDaniels 3PT,[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,Right Corner 3,24+ Right,23.52,Missed,,,,,,,,,,,,,,,,,,
10,PT11M30.00S,2023-01-16T18:10:21.4Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,0,2,2023-01-16T18:10:27Z,100000,False,,,0,,M. Plumlee REBOUND (Off:1 Def:0),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Right Corner 3,24+ Right,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,
11,PT11M26.00S,2023-01-16T18:10:25.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629667,92.19776609724047,45.588235294117645,1610612766,0,2,2023-01-16T18:10:36Z,110000,False,-22.0,21.0,1,right,MISS J. McDaniels reverse Layup - blocked,"[1629667, 1629057]",1610612766.0,CHA,reverse,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,3.03,Missed,,,,,,,,,Williams III,1629057.0,,,,,,,,
12,PT11M26.00S,2023-01-16T18:10:25.8Z,1,REGULAR,block,,[],1629057,,,1610612766,0,2,2023-01-16T18:10:28Z,120000,False,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M26.00S,2023-01-16T18:10:25.8Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,0,2,2023-01-16T18:10:36Z,130000,False,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
14,PT11M15.00S,2023-01-16T18:10:38.0Z,1,REGULAR,turnover,out-of-bounds,[],1629057,,,1610612738,0,2,2023-01-16T18:10:49Z,140000,False,,,0,,R. Williams III bad pass out-of-bounds TURNOVER (1 TO),[1629057],1610612738.0,BOS,bad pass,,,Williams III,R. Williams III,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,2534.0,1.0,,,,,,
15,PT10M58.00S,2023-01-16T18:11:01.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629023,92.85479632063075,45.09803921568628,1610612766,2,2,2023-01-16T18:11:06Z,150000,False,-25.0,15.0,1,right,P. Washington driving Layup (2 PTS) (T. Rozier 1 AST),"[1629023, 1626179]",1610612766.0,CHA,driving,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,2.86,Made,2.0,T. Rozier,1626179.0,1.0,,,,,,,,,,,,,,
17,PT10M42.00S,2023-01-16T18:11:17.8Z,1,REGULAR,3pt,Jump Shot,[],1628401,32.40801576872536,55.14705882352941,1610612738,2,5,2023-01-16T18:12:59Z,170000,False,-26.0,252.0,1,left,D. White 25' 3PT pullup (3 PTS) (A. Horford 1 AST),"[1628401, 201143]",1610612738.0,BOS,pullup,,,White,D. White,,,,,Above the Break 3,24+ Center,25.34,Made,3.0,A. Horford,201143.0,1.0,,,,,,,,,,,,,,
19,PT10M29.00S,2023-01-16T18:11:30.0Z,1,REGULAR,3pt,Jump Shot,[],1630163,66.44218134034165,66.42156862745098,1610612766,2,5,2023-01-16T18:11:35Z,190000,False,82.0,263.0,1,right,MISS L. Ball 27' step back 3PT,[1630163],1610612766.0,CHA,step back,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,27.54,Missed,,,,,,,,,,,,,,,,,,
20,PT10M26.00S,2023-01-16T18:11:33.9Z,1,REGULAR,rebound,offensive,[],1629023,,,1610612766,2,5,2023-01-16T18:11:33Z,200000,False,,,0,,P. Washington REBOUND (Off:1 Def:0),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Center,,,,,,,19.0,1.0,0.0,1.0,,,,,,,,,,
21,PT10M23.00S,2023-01-16T18:11:36.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629667,67.09921156373193,41.17647058823529,1610612766,5,5,2023-01-16T18:11:40Z,210000,False,-44.0,257.0,1,right,J. McDaniels 26' 3PT  (3 PTS) (P. Washington 1 AST),"[1629667, 1629023]",1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Center,26.06,Made,3.0,P. Washington,1629023.0,1.0,,,,,,,,,,,,,,
