shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
12:00,2,PT12M00.00S,2022-12-06T00:10:15.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-06T00:10:15Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:57,4,PT11M57.00S,2022-12-06T00:10:18.5Z,1,REGULAR,jumpball,recovered,[],202694,,,1610612746,0,0,2022-12-06T00:10:18Z,40000,False,,,0,,Jump Ball I. Zubac vs. M. Plumlee: Tip to M. Morris Sr.,"[202694, 1627826, 203486]",8,1610612746.0,LAC,startperiod,M. Morris Sr.,202694.0,Morris Sr.,M. Morris Sr.,Zubac,1627826.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,
11:41,7,PT11M41.00S,2022-12-06T00:10:33.8Z,1,REGULAR,3pt,Jump Shot,[],202695,68.9388961892247,69.36274509803921,1610612746,0,0,2022-12-06T00:10:50Z,70000,False,97.0,239.0,1,right,MISS K. Leonard 25' pullup 3PT,[202695],2,1610612746.0,LAC,pullup,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Right Center,25.83,Missed,,,,,,,,,,,,,,,,,,
11:36,8,PT11M36.00S,2022-12-06T00:10:38.8Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,0,0,2022-12-06T00:10:40Z,80000,False,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],3,1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11:34,9,PT11M34.00S,2022-12-06T00:10:40.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629667,10.068988173455978,4.166666666666666,1610612766,0,0,2022-12-06T00:10:47Z,90000,False,229.0,42.0,1,left,MISS J. McDaniels 3PT,[1629667],6,1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,Right Corner 3,24+ Right,23.3,Missed,,,,,,,,,,,,,,,,,,
11:31,10,PT11M31.00S,2022-12-06T00:10:43.9Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,0,0,2022-12-06T00:10:47Z,100000,False,,,0,,K. Leonard REBOUND (Off:0 Def:1),[202695],2,1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Right Corner 3,24+ Right,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11:26,11,PT11M26.00S,2022-12-06T00:10:49.1Z,1,REGULAR,turnover,bad pass,[],202704,,,1610612746,0,0,2022-12-06T00:10:56Z,110000,False,,,0,,R. Jackson bad pass TURNOVER (1 TO),"[202704, 1629667]",1,1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,McDaniels,1629667.0,,,,,,,,,,,
11:26,12,PT11M26.00S,2022-12-06T00:10:49.1Z,1,REGULAR,steal,,[],1629667,,,1610612766,0,0,2022-12-06T00:17:59Z,120000,False,,,0,,J. McDaniels STEAL (1 STL),[1629667],6,1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
11:19,13,PT11M19.00S,2022-12-06T00:10:56.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626162,4.681340341655716,90.68627450980392,1610612766,2,0,2022-12-06T00:11:05Z,130000,False,-203.0,-8.0,1,left,K. Oubre Jr. 20' Jump Shot (2 PTS) (J. McDaniels 1 AST),"[1626162, 1629667]",12,1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,16-24 Left,20.36,Made,,,,,,,,2.0,J. McDaniels,1629667.0,1.0,,,,,,,
10:58,15,PT10M58.00S,2022-12-06T00:11:16.2Z,1,REGULAR,3pt,Jump Shot,[],202694,90.75229960578186,4.6568627450980395,1610612746,2,3,2022-12-06T00:11:24Z,150000,False,-227.0,34.0,1,right,M. Morris Sr. 3PT  (3 PTS) (P. George 1 AST),"[202694, 202331]",8,1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,Left Corner 3,24+ Left,22.93,Made,,,,,,,,3.0,P. George,202331.0,1.0,,,,,,,
10:46,18,PT10M46.00S,2022-12-06T00:11:40.8Z,1,REGULAR,violation,kicked ball,[],1627826,,,1610612766,2,3,2022-12-06T00:13:43Z,180000,False,,,0,,I. Zubac kicked ball VIOLATION,[1627826],40,1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,2003.0,,,,,,
10:37,19,PT10M37.00S,2022-12-06T00:11:56.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,11.383048620236531,52.20588235294118,1610612766,2,3,2022-12-06T00:12:23Z,190000,False,-11.0,55.0,1,left,MISS T. Rozier Layup - blocked,"[1626179, 1627826]",3,1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),0-8 Center,5.56,Missed,,,,,,,,,,,,,Zubac,1627826.0,,,,
10:37,20,PT10M37.00S,2022-12-06T00:11:56.4Z,1,REGULAR,block,,[],1627826,,,1610612766,2,3,2022-12-06T00:12:00Z,200000,False,,,0,,I. Zubac BLOCK (1 BLK),[1627826],40,1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
10:36,21,PT10M36.00S,2022-12-06T00:11:57.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,2,3,2022-12-06T00:12:35Z,210000,False,,,0,,TEAM defensive REBOUND,[],,1610612746.0,LAC,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,19.0,,,,,,,,,,,,,,,,,
10:35,22,PT10M35.00S,2022-12-06T00:12:17.6Z,1,REGULAR,foul,personal,[],1626179,,,1610612746,2,3,2022-12-06T00:14:45Z,220000,False,,,0,,T. Rozier loose ball personal FOUL (1 PF),"[1626179, 202694]",3,1610612766.0,CHA,loose ball,,,Rozier,T. Rozier,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,2003.0,,,1.0,0.0,Morris Sr.,202694.0
10:17,24,PT10M17.00S,2022-12-06T00:12:35.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202695,86.94152431011827,50.73529411764706,1610612746,2,3,2022-12-06T00:15:28Z,240000,False,4.0,70.0,1,right,MISS K. Leonard 7' turnaround Hook,[202695],2,1610612746.0,LAC,turnaround,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),0-8 Center,7.03,Missed,,,,,,,,,,,,,,,,,,
10:15,25,PT10M15.00S,2022-12-06T00:12:37.7Z,1,REGULAR,rebound,defensive,[],1629667,,,1610612766,2,3,2022-12-06T00:12:37Z,250000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1629667],6,1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10:07,26,PT10M07.00S,2022-12-06T00:12:46.1Z,1,REGULAR,3pt,Jump Shot,[],1629023,24.78646517739816,85.04901960784314,1610612766,2,3,2022-12-06T00:12:50Z,260000,False,-175.0,180.0,1,left,MISS P. Washington 25' 3PT,[1629023],25,1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Left Center,25.15,Missed,,,,,,,,,,,,,,,,,,
10:04,27,PT10M04.00S,2022-12-06T00:12:49.1Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,2,3,2022-12-06T00:12:50Z,270000,False,,,0,,M. Morris Sr. REBOUND (Off:0 Def:1),[202694],8,1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,Above the Break 3,24+ Left Center,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,
09:59,28,PT09M59.00S,2022-12-06T00:12:54.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",202331,82.07950065703022,50.0,1610612746,2,3,2022-12-06T00:13:00Z,280000,False,0.0,116.0,1,right,MISS P. George 11' pullup Shot,[202331],13,1610612746.0,LAC,pullup,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Center,11.6,Missed,,,,,,,,,,,,,,,,,,
09:54,29,PT09M54.00S,2022-12-06T00:12:59.0Z,1,REGULAR,rebound,offensive,[],202331,,,1610612746,2,3,2022-12-06T00:12:59Z,290000,False,,,0,,P. George REBOUND (Off:1 Def:0),[202331],13,1610612746.0,LAC,,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Center,,,28.0,1.0,0.0,1.0,,,,,,,,,,,,,,
09:51,30,PT09M51.00S,2022-12-06T00:13:01.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202704,92.06636005256242,2.696078431372549,1610612746,2,6,2022-12-06T00:13:05Z,300000,False,-237.0,22.0,1,right,R. Jackson 3PT  (3 PTS) (P. George 2 AST),"[202704, 202331]",1,1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,Left Corner 3,24+ Left,23.75,Made,,,,,,,,3.0,P. George,202331.0,2.0,,,,,,,
09:43,32,PT09M43.00S,2022-12-06T00:13:14.2Z,1,REGULAR,turnover,traveling,[],203486,,,1610612766,2,6,2022-12-06T00:13:22Z,320000,False,,,0,,M. Plumlee traveling TURNOVER (1 TO),[203486],24,1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,,,,,,,1198.0,,,,,,
09:30,33,PT09M30.00S,2022-12-06T00:13:41.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202704,73.9323258869908,49.26470588235294,1610612746,2,6,2022-12-06T00:13:47Z,330000,False,-4.0,193.0,1,right,MISS R. Jackson 19' pullup Shot,[202704],1,1610612746.0,LAC,pullup,,,Jackson,R. Jackson,,,,,Mid-Range,16-24 Center,19.25,Missed,,,,,,,,,,,,,,,,,,
09:25,34,PT09M25.00S,2022-12-06T00:13:46.5Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,2,6,2022-12-06T00:13:47Z,340000,False,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],24,1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Mid-Range,16-24 Center,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,
09:16,35,PT09M16.00S,2022-12-06T00:13:54.8Z,1,REGULAR,3pt,Jump Shot,[],1629023,26.363337713534822,82.1078431372549,1610612766,5,6,2022-12-06T00:13:59Z,350000,False,-161.0,195.0,1,left,P. Washington 25' 3PT  (3 PTS) (J. McDaniels 2 AST),"[1629023, 1629667]",25,1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Left Center,25.28,Made,,,,,,,,3.0,J. McDaniels,1629667.0,2.0,,,,,,,
09:01,37,PT09M01.00S,2022-12-06T00:14:10.6Z,1,REGULAR,turnover,bad pass,[],202695,,,1610612746,5,6,2022-12-06T00:14:15Z,370000,False,,,0,,K. Leonard bad pass TURNOVER (1 TO),"[202695, 1629667]",2,1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,1.0,McDaniels,1629667.0,,,,,,,,,,,
09:01,38,PT09M01.00S,2022-12-06T00:14:10.6Z,1,REGULAR,steal,,[],1629667,,,1610612766,5,6,2022-12-06T00:14:14Z,380000,False,,,0,,J. McDaniels STEAL (2 STL),[1629667],6,1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
08:46,39,PT08M46.00S,2022-12-06T00:14:26.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626179,8.360709592641262,5.637254901960785,1610612766,5,6,2022-12-06T00:14:31Z,390000,False,222.0,26.0,1,left,MISS T. Rozier step back 3PT,[1626179],3,1610612766.0,CHA,step back,,,Rozier,T. Rozier,,,,,Right Corner 3,24+ Right,22.33,Missed,,,,,,,,,,,,,,,,,,
