actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-02-16T00:10:37.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-16T00:10:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-02-16T00:10:40.7Z,1,REGULAR,jumpball,recovered,[],1629023,,,1610612766,0,0,2023-02-16T00:10:40Z,40000,False,,,0,,Jump Ball M. Williams vs. Z. Collins: Tip to P. Washington,"[1629023, 1631109, 1628380]",1610612766.0,CHA,startperiod,P. Washington,1629023.0,Washington,P. Washington,Williams,1631109.0,Collins,1628380.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-02-16T00:10:52.2Z,1,REGULAR,turnover,out-of-bounds,[],202330,,,1610612766,0,0,2023-02-16T00:10:59Z,70000,False,,,0,,G. Hayward bad pass out-of-bounds TURNOVER (1 TO),[202330],1610612766.0,CHA,bad pass,,,Hayward,G. Hayward,,,,,Left Corner 3,24+ Left,1627529.0,1.0,,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2023-02-16T00:11:16.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628380,31.61957950065703,50.245098039215684,1610612759,0,0,2023-02-16T00:11:20Z,90000,False,-1.0,245.0,1,left,MISS Z. Collins 24' 3PT,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Above the Break 3,24+ Center,,,24.47,Missed,,,,,,,,,,,,,,,,
10,PT11M30.00S,2023-02-16T00:11:19.9Z,1,REGULAR,rebound,defensive,[],1628372,,,1610612766,0,0,2023-02-16T00:11:20Z,100000,False,,,0,,D. Smith Jr. REBOUND (Off:0 Def:1),[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,Above the Break 3,24+ Center,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,
11,PT11M17.00S,2023-02-16T00:11:32.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631109,91.67214191852825,46.81372549019608,1610612766,0,0,2023-02-16T00:12:24Z,110000,False,-16.0,26.0,1,right,MISS M. Williams Layup,[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,3.03,Missed,,,,,,,,,,,,,,,,
12,PT11M15.00S,2023-02-16T00:11:34.4Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,0,0,2023-02-16T00:11:38Z,120000,False,,,0,,Z. Collins REBOUND (Off:0 Def:1),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Restricted Area,0-8 Center,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,
13,PT11M10.00S,2023-02-16T00:11:39.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631103,6.783837056504599,47.549019607843135,1610612759,0,2,2023-02-16T00:13:23Z,130000,False,12.0,11.0,1,left,M. Branham cutting Layup (2 PTS) (Z. Collins 1 AST),"[1631103, 1628380]",1610612759.0,SAS,cutting,,,Branham,M. Branham,,,,,Restricted Area,0-8 Center,,,1.67,Made,,,,,2.0,Z. Collins,1628380.0,1.0,,,,,,,,
15,PT11M01.00S,2023-02-16T00:11:51.6Z,1,REGULAR,turnover,out-of-bounds,[],1630163,,,1610612766,0,2,2023-02-16T00:11:58Z,150000,False,,,0,,L. Ball step out-of-bounds TURNOVER (1 TO),[1630163],1610612766.0,CHA,step,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,2004.0,1.0,,,,,,,,,,,,,,,,,,
16,PT10M40.00S,2023-02-16T00:12:21.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631110,16.245072273324574,58.82352941176471,1610612759,0,2,2023-02-16T00:12:25Z,160000,False,-44.0,100.0,1,left,MISS J. Sochan 10' pullup Shot,[1631110],1610612759.0,SAS,pullup,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),8-16 Center,,,10.95,Missed,,,,,,,,,,,,,,,,
