actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-27T00:39:55.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-27T00:39:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2023-01-27T00:39:59.6Z,1,REGULAR,jumpball,recovered,[],1630245,,,1610612741,0,0,2023-01-27T00:39:59Z,40000,False,,,0,,Jump Ball N. Vucevic vs. M. Plumlee: Tip to A. Dosunmu,"[1630245, 202696, 203486]",1610612741.0,CHI,startperiod,A. Dosunmu,1630245.0,Dosunmu,A. Dosunmu,Vucevic,202696.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2023-01-27T00:40:06.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630245,93.24901445466492,50.245098039215684,1610612741,0,2,2023-01-27T00:40:15Z,70000,False,1.0,11.0,1,right,A. Dosunmu driving Layup (2 PTS),[1630245],1610612741.0,CHI,driving,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,1.11,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2023-01-27T00:40:23.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,9.674770039421814,47.549019607843135,1610612766,0,2,2023-01-27T00:40:35Z,80000,False,12.0,38.0,1,left,MISS T. Rozier driving Layup - blocked,"[1626179, 1630172]",1610612766.0,CHA,driving,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,4.03,Missed,,Williams,1630172.0,,,,,,,,,,,,,,,
9,PT11M31.00S,2023-01-27T00:40:23.1Z,1,REGULAR,block,,[],1630172,,,1610612766,0,2,2023-01-27T00:40:35Z,90000,False,,,0,,P. Williams BLOCK (1 BLK),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2023-01-27T00:40:27.1Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,2,2023-01-27T00:40:35Z,100000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M23.00S,2023-01-27T00:40:31.4Z,1,REGULAR,2pt,Jump Shot,[],201942,91.40932982917214,26.47058823529412,1610612741,0,2,2023-01-27T00:40:54Z,110000,False,-118.0,28.0,1,right,MISS D. DeRozan 12' turnaround Shot,[201942],1610612741.0,CHI,turnaround,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,12.1,Missed,,,,,,,,,,,,,,,,,,
12,PT11M19.00S,2023-01-27T00:40:35.4Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,0,2,2023-01-27T00:40:42Z,120000,False,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Mid-Range,8-16 Left,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M10.00S,2023-01-27T00:40:43.8Z,1,REGULAR,3pt,Jump Shot,[],1630163,23.73521681997372,88.23529411764706,1610612766,0,2,2023-01-27T00:41:23Z,130000,False,-191.0,171.0,1,left,MISS L. Ball 25' pullup 3PT,[1630163],1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,25.62,Missed,,,,,,,,,,,,,,,,,,
14,PT11M06.00S,2023-01-27T00:40:47.8Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,0,2,2023-01-27T00:40:51Z,140000,False,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Left Center,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
