actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-17T00:10:38.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-17T00:10:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-17T00:10:41.6Z,1,REGULAR,jumpball,recovered,[],1630188,,,1610612754,0,0,2022-11-17T00:10:41Z,40000,False,,,0,,Jump Ball M. Turner vs. M. Plumlee: Tip to J. Smith,"[1630188, 1626167, 203486]",1610612754.0,IND,startperiod,J. Smith,1630188.0,Smith,J. Smith,Turner,1626167.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-11-17T00:10:59.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626167,9.149145860709593,50.245098039215684,1610612754,0,0,2022-11-17T00:12:05Z,70000,False,-1.0,34.0,1,left,MISS M. Turner turnaround fadeaway Shot,[1626167],1610612754.0,IND,turnaround fadeaway,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,3.35,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2022-11-17T00:11:01.7Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,0,0,2022-11-17T00:11:04Z,80000,False,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2022-11-17T00:11:15.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203486,90.75229960578186,48.77450980392157,1610612766,0,0,2022-11-17T00:11:20Z,90000,False,-6.0,34.0,1,right,MISS M. Plumlee Hook,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,3.49,Missed,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2022-11-17T00:11:17.2Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,0,0,2022-11-17T00:11:17Z,100000,False,,,0,,M. Plumlee REBOUND (Off:1 Def:0),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M17.00S,2022-11-17T00:11:19.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203486,93.38042049934296,46.32352941176471,1610612766,2,0,2022-11-17T00:11:25Z,110000,False,-18.0,10.0,1,right,M. Plumlee putback Layup (2 PTS),[203486],1610612766.0,CHA,putback,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,2.08,Made,,,,,2.0,,,,,,,,,,,,,
12,PT11M07.00S,2022-11-17T00:11:36.1Z,1,REGULAR,turnover,out-of-bounds,[],1630169,,,1610612754,2,0,2022-11-17T00:12:04Z,120000,False,,,0,,T. Haliburton bad pass out-of-bounds TURNOVER (1 TO),[1630169],1610612754.0,IND,bad pass,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1626300.0,1.0,,,,,,,,,,,
13,PT10M44.00S,2022-11-17T00:12:12.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203486,93.9060446780552,51.225490196078425,1610612766,4,0,2022-11-17T00:12:17Z,130000,False,6.0,5.0,1,right,M. Plumlee alley-oop DUNK (4 PTS) (T. Rozier 1 AST),"[203486, 1626179]",1610612766.0,CHA,alley-oop,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,0.78,Made,,,,,4.0,,,T. Rozier,1626179.0,1.0,,,,,,,,
15,PT10M34.00S,2022-11-17T00:12:22.7Z,1,REGULAR,turnover,bad pass,[],1626167,,,1610612754,4,0,2022-11-17T00:12:27Z,150000,False,,,0,,M. Turner bad pass TURNOVER (1 TO),"[1626167, 1626162]",1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,,,,Oubre Jr.,1626162.0,,,,,,
16,PT10M34.00S,2022-11-17T00:12:22.7Z,1,REGULAR,steal,,[],1626162,,,1610612766,4,0,2022-11-17T00:12:24Z,160000,False,,,0,,K. Oubre Jr. STEAL (1 STL),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M28.00S,2022-11-17T00:12:28.9Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1626162,71.30420499342969,20.34313725490196,1610612766,4,0,2022-11-17T00:13:37Z,170000,False,-148.0,217.0,1,right,MISS K. Oubre Jr. 26' running pullup 3PT,[1626162],1610612766.0,CHA,running pullup,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Left Center,26.3,Missed,,,,,,,,,,,,,,,,,,
18,PT10M25.00S,2022-11-17T00:12:31.9Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,4,0,2022-11-17T00:12:34Z,180000,False,,,0,,J. Smith REBOUND (Off:0 Def:1),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Above the Break 3,24+ Left Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M16.00S,2022-11-17T00:12:40.4Z,1,REGULAR,3pt,Jump Shot,[],1630188,31.225361366622867,33.57843137254902,1610612754,4,0,2022-11-17T00:12:45Z,190000,False,82.0,241.0,1,left,MISS J. Smith 25' 3PT,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Above the Break 3,24+ Right Center,25.46,Missed,,,,,,,,,,,,,,,,,,
20,PT10M12.00S,2022-11-17T00:12:44.6Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,4,0,2022-11-17T00:12:44Z,200000,False,,,0,,M. Plumlee REBOUND (Off:1 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Above the Break 3,24+ Right Center,,,19.0,2.0,1.0,1.0,,,,,,,,,,,,,,
21,PT10M04.00S,2022-11-17T00:12:52.4Z,1,REGULAR,2pt,Jump Shot,[],1630163,76.69185282522996,61.51960784313726,1610612766,4,0,2022-11-17T00:12:56Z,210000,False,58.0,167.0,1,right,MISS L. Ball 17' pullup Shot,[1630163],1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,Mid-Range,16-24 Right Center,17.63,Missed,,,,,,,,,,,,,,,,,,
22,PT10M01.00S,2022-11-17T00:12:55.4Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,4,0,2022-11-17T00:12:56Z,220000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Mid-Range,16-24 Right Center,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT09M54.00S,2022-11-17T00:13:02.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,5.601182654402102,43.627450980392155,1610612754,4,2,2022-11-17T00:13:07Z,230000,False,32.0,0.0,1,left,M. Turner driving Layup (2 PTS) (T. Haliburton 1 AST),"[1626167, 1630169]",1610612754.0,IND,driving,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,3.19,Made,,,,,2.0,,,T. Haliburton,1630169.0,1.0,,,,,,,,
