actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-10-21T23:11:01.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-21T23:11:01Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-10-21T23:11:16.9Z,1,REGULAR,jumpball,recovered,[],1629023,,,1610612766,0,0,2022-10-21T23:11:17Z,40000,,,0,,Jump Ball M. Plumlee vs. J. Valanciunas: Tip to P. Washington,"[1629023, 203486, 202685]",1610612766.0,CHA,startperiod,P. Washington,1629023.0,Washington,P. Washington,Plumlee,203486.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-10-21T23:11:31.3Z,1,REGULAR,2pt,Jump Shot,[],202330,22.946780551905388,35.78431372549019,1610612766,0,0,2022-10-21T23:11:35Z,70000,71.0,163.0,1,left,MISS G. Hayward 17' pullup Shot,[202330],1610612766.0,CHA,pullup,,,Hayward,G. Hayward,,,,,Mid-Range,16-24 Right Center,17.8,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-10-21T23:11:33.8Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,0,0,2022-10-21T23:11:33Z,80000,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Mid-Range,16-24 Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M33.00S,2022-10-21T23:11:41.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,84.31340341655716,42.64705882352941,1610612740,0,2,2022-10-21T23:11:51Z,90000,-37.0,95.0,1,right,B. Ingram 10' driving floating Jump Shot (2 PTS) (Z. Williamson 1 AST),"[1627742, 1629627]",1610612740.0,NOP,driving floating,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,10.19,Made,,,,,2.0,Z. Williamson,1629627.0,1.0,,,,,,,,,,
11,PT11M19.00S,2022-10-21T23:11:54.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,6.258212877792378,46.81372549019608,1610612766,0,2,2022-10-21T23:12:00Z,110000,16.0,6.0,1,left,MISS T. Rozier Layup,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,1.71,Missed,,,,,,,,,,,,,,,,,,
12,PT11M15.00S,2022-10-21T23:11:58.3Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,0,2,2022-10-21T23:12:00Z,120000,,,0,,M. Plumlee REBOUND (Off:1 Def:0),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT11M15.00S,2022-10-21T23:11:59.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203486,5.590000152587891,50.0,1610612766,2,2,2022-10-21T23:11:59Z,130000,0.0,0.0,1,left,M. Plumlee tip Layup (2 PTS),[203486],1610612766.0,CHA,tip,,,Plumlee,M. Plumlee,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
14,PT10M53.00S,2022-10-21T23:12:22.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,91.40932982917214,46.81372549019608,1610612740,2,2,2022-10-21T23:15:05Z,140000,-16.0,28.0,1,right,MISS B. Ingram driving Layup - blocked,"[1627742, 1626179]",1610612740.0,NOP,driving,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,3.25,Missed,,,,,,,,,Rozier,1626179.0,,,,,,,,
15,PT10M53.00S,2022-10-21T23:12:22.6Z,1,REGULAR,block,,[],1626179,,,1610612740,2,2,2022-10-21T23:12:25Z,150000,,,0,,T. Rozier BLOCK (1 BLK),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
