actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-05T23:10:15.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-05T23:10:15Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-11-05T23:10:17.4Z,1,REGULAR,jumpball,recovered,[],1628410,,,1610612751,0,0,2022-11-05T23:10:17Z,40000,,,0,,Jump Ball N. Claxton vs. M. Plumlee: Tip to E. Sumner,"[1628410, 1629651, 203486]",1610612751.0,BKN,startperiod,E. Sumner,1628410.0,Sumner,E. Sumner,Claxton,1629651.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-11-05T23:10:38.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626220,7.703679369250986,51.225490196078425,1610612751,0,0,2022-11-05T23:10:55Z,70000,-6.0,20.0,1,left,MISS R. O'Neale driving Layup,[1626220],1610612751.0,BKN,driving,,,O'Neale,R. O'Neale,,,,,Restricted Area,0-8 Center,2.08,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2022-11-05T23:10:40.0Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612766,0,0,2022-11-05T23:10:56Z,80000,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M28.00S,2022-11-05T23:10:45.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1626179,90.48948751642575,49.754901960784316,1610612766,2,0,2022-11-06T06:18:08Z,90000,-1.0,37.0,1,right,T. Rozier driving floating Jump Shot (2 PTS),[1626179],1610612766.0,CHA,driving floating,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,3.69,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M01.00S,2022-11-05T23:11:14.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,12.565703022339028,56.61764705882353,1610612751,2,2,2022-11-05T23:11:24Z,100000,-33.0,66.0,1,left,K. Durant 7' fadeaway Jump Shot (2 PTS) (N. Claxton 1 AST),"[201142, 1629651]",1610612751.0,BKN,fadeaway,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,7.35,Made,,,,,2.0,N. Claxton,1629651.0,1.0,,,,,,,,,,
11,PT10M44.00S,2022-11-05T23:11:30.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,92.32917214191852,51.9607843137255,1610612766,2,2,2022-11-05T23:12:55Z,110000,10.0,20.0,1,right,MISS T. Rozier driving Layup - blocked,"[1626179, 1629651]",1610612766.0,CHA,driving,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,2.19,Missed,,,,,,,,,Claxton,1629651.0,,,,,,,,
12,PT10M44.00S,2022-11-05T23:11:30.7Z,1,REGULAR,block,,[],1629651,,,1610612766,2,2,2022-11-05T23:11:33Z,120000,,,0,,N. Claxton BLOCK (1 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT10M41.00S,2022-11-05T23:11:33.7Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,2,2,2022-11-05T23:11:40Z,130000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,Restricted Area,0-8 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M39.00S,2022-11-05T23:11:36.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628410,7.5722733245729295,45.34313725490196,1610612751,2,2,2022-11-05T23:13:21Z,140000,23.0,19.0,1,left,MISS E. Sumner running Layup - blocked,"[1628410, 1629023]",1610612751.0,BKN,running,,,Sumner,E. Sumner,,,,,Restricted Area,0-8 Center,2.99,Missed,,,,,,,,,Washington,1629023.0,,,,,,,,
15,PT10M39.00S,2022-11-05T23:11:36.0Z,1,REGULAR,block,,[],1629023,,,1610612751,2,2,2022-11-06T06:18:22Z,150000,,,0,,P. Washington BLOCK (1 BLK),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT10M39.00S,2022-11-05T23:11:36.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,2,2,2022-11-05T23:11:48Z,160000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Restricted Area,0-8 Center,,,14.0,,,,,,,,,,,,,,,,,
