actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-03-04T00:10:55.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-04T00:10:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-04T00:10:57.6Z,1,REGULAR,jumpball,recovered,[],202330,,,1610612766,0,0,2023-03-04T00:10:57Z,40000,False,,,0,,Jump Ball M. Williams vs. W. Carter Jr.: Tip to G. Hayward,"[202330, 1631109, 1628976]",1610612766.0,CHA,startperiod,G. Hayward,202330.0,Hayward,G. Hayward,Williams,1631109.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2023-03-04T00:11:16.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1631109,87.59855453350855,50.73529411764706,1610612766,0,0,2023-03-04T00:11:20Z,70000,False,4.0,64.0,1,right,MISS M. Williams 6' Hook,[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,In The Paint (Non-RA),0-8 Center,6.42,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2023-03-04T00:11:17.1Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,0,0,2023-03-04T00:11:20Z,80000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M21.00S,2023-03-04T00:11:33.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,8.886333771353483,48.03921568627451,1610612753,0,0,2023-03-04T00:11:38Z,90000,False,10.0,31.0,1,left,MISS F. Wagner driving Layup - blocked,"[1630532, 1631109]",1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,3.25,Missed,,,,,Williams,1631109.0,,,,,,,,,,,,
10,PT11M21.00S,2023-03-04T00:11:33.1Z,1,REGULAR,block,,[],1631109,,,1610612753,0,0,2023-03-04T00:11:35Z,100000,False,,,0,,M. Williams BLOCK (1 BLK),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M19.00S,2023-03-04T00:11:35.1Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612766,0,0,2023-03-04T00:11:38Z,110000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M15.00S,2023-03-04T00:11:39.7Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1626162,93.64323258869908,49.01960784313725,1610612766,2,0,2023-03-04T00:12:02Z,120000,False,-5.0,7.0,1,right,K. Oubre Jr. running DUNK (2 PTS),[1626162],1610612766.0,CHA,running,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,0.88,Made,,,,,,,2.0,,,,,,,,,,,
13,PT10M53.00S,2023-03-04T00:12:01.2Z,1,REGULAR,3pt,Jump Shot,[],203914,6.389618922470433,96.32352941176471,1610612753,2,3,2023-03-04T00:12:05Z,130000,False,-232.0,8.0,1,left,G. Harris 3PT  (3 PTS) (F. Wagner 1 AST),"[203914, 1630532]",1610612753.0,ORL,,,,Harris,G. Harris,,,,,Left Corner 3,24+ Left,23.17,Made,,,,,,,3.0,F. Wagner,1630532.0,1.0,,,,,,,,
15,PT10M25.00S,2023-03-04T00:12:28.3Z,1,REGULAR,2pt,Jump Shot,[],1630550,78.53153745072274,50.49019607843137,1610612766,4,3,2023-03-04T00:12:34Z,150000,False,2.0,149.0,1,right,J. Thor 14' step back Jump Shot (2 PTS) (K. Oubre Jr. 1 AST),"[1630550, 1626162]",1610612766.0,CHA,step back,,,Thor,J. Thor,,,,,Mid-Range,8-16 Center,14.93,Made,,,,,,,2.0,K. Oubre Jr.,1626162.0,1.0,,,,,,,,
