actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-03-12T21:10:35.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-12T21:10:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-03-12T21:10:38.0Z,1,REGULAR,jumpball,recovered,[],1630205,,,1610612739,0,0,2023-03-12T21:10:38Z,40000,False,,,0,,Jump Ball E. Mobley vs. N. Richards: Tip to L. Stevens,"[1630205, 1630596, 1630208]",1610612739.0,CLE,startperiod,L. Stevens,1630205.0,Stevens,L. Stevens,Mobley,1630596.0,Richards,1630208.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-03-12T21:10:52.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,17.69053876478318,60.049019607843135,1610612739,0,2,2023-03-12T21:10:56Z,70000,False,-50.0,114.0,1,left,D. Garland 12' pullup Jump Shot (2 PTS),[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,In The Paint (Non-RA),8-16 Center,12.44,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M19.00S,2023-03-12T21:11:15.4Z,1,REGULAR,2pt,Jump Shot,[],1628372,77.4802890932983,44.85294117647059,1610612766,0,2,2023-03-12T21:11:23Z,80000,False,-26.0,159.0,1,right,MISS D. Smith Jr. 16' pullup Shot,[1628372],1610612766.0,CHA,pullup,,,Smith Jr.,D. Smith Jr.,,,,,Mid-Range,16-24 Center,16.13,Missed,,,,,,,,,,,,,,,,,,
9,PT11M16.00S,2023-03-12T21:11:18.4Z,1,REGULAR,rebound,defensive,[],1630205,,,1610612739,0,2,2023-03-12T21:11:23Z,90000,False,,,0,,L. Stevens REBOUND (Off:0 Def:1),[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,Mid-Range,16-24 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT10M54.00S,2023-03-12T21:11:40.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,13.87976346911958,50.98039215686274,1610612739,0,4,2023-03-12T21:11:44Z,100000,False,-5.0,78.0,1,left,D. Mitchell 7' turnaround fadeaway Jump Shot (2 PTS),[1628378],1610612739.0,CLE,turnaround fadeaway,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,7.82,Made,2.0,,,,,,,,,,,,,,,,,
12,PT10M48.00S,2023-03-12T21:12:05.0Z,1,REGULAR,foul,personal,[],1630205,,,1610612766,0,4,2023-03-12T21:12:13Z,120000,False,,,0,,L. Stevens personal FOUL (1 PF),"[1630205, 1629023]",1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1627964.0,1.0,0.0,Washington,1629023.0,,,,,,,,
14,PT10M40.00S,2023-03-12T21:12:13.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202330,93.11760840998686,51.225490196078425,1610612766,2,4,2023-03-12T21:12:40Z,140000,False,6.0,12.0,1,right,G. Hayward cutting Layup (2 PTS) (P. Washington 1 AST),"[202330, 1629023]",1610612766.0,CHA,cutting,,,Hayward,G. Hayward,,,,,Restricted Area,0-8 Center,1.36,Made,2.0,,,,,,,,,,P. Washington,1629023.0,1.0,,,,,
16,PT10M25.00S,2023-03-12T21:12:31.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,6.258212877792378,49.26470588235294,1610612739,2,6,2023-03-12T21:12:36Z,160000,False,4.0,6.0,1,left,D. Mitchell driving Layup (4 PTS),[1628378],1610612739.0,CLE,driving,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,0.73,Made,4.0,,,,,,,,,,,,,,,,,
17,PT10M25.00S,2023-03-12T21:12:34.8Z,1,REGULAR,foul,personal,['1freethrow'],1629023,,,1610612739,2,6,2023-03-12T21:13:02Z,170000,False,,,0,,P. Washington shooting personal FOUL (1 PF) (Mitchell 1 FT),"[1629023, 1628378]",1610612766.0,CHA,shooting,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,,,,,,2005.0,1.0,0.0,Mitchell,1628378.0,,,,,,,,
19,PT10M25.00S,2023-03-12T21:13:03.8Z,1,REGULAR,freethrow,1 of 1,[],1628378,,,1610612739,2,7,2023-03-12T21:13:03Z,190000,False,,,0,,D. Mitchell Free Throw 1 of 1 (5 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
20,PT10M03.00S,2023-03-12T21:13:24.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629023,92.59198423127464,48.03921568627451,1610612766,4,7,2023-03-12T21:13:30Z,200000,False,-10.0,17.0,1,right,P. Washington driving reverse Layup (2 PTS) (G. Hayward 1 AST),"[1629023, 202330]",1610612766.0,CHA,driving reverse,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,1.97,Made,2.0,,,,,,,,,,G. Hayward,202330.0,1.0,,,,,
21,PT09M45.00S,2023-03-12T21:13:42.6Z,1,REGULAR,2pt,Jump Shot,[],1628378,12.959921156373195,68.62745098039215,1610612739,4,9,2023-03-12T21:15:39Z,210000,False,-93.0,69.0,1,left,D. Mitchell 11' driving floating Jump Shot (7 PTS),[1628378],1610612739.0,CLE,driving floating,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Left,11.61,Made,7.0,,,,,,,,,,,,,,,,,
22,PT09M31.00S,2023-03-12T21:13:56.4Z,1,REGULAR,3pt,Jump Shot,[],1626179,89.43823915900131,3.1862745098039214,1610612766,7,9,2023-03-12T21:14:00Z,220000,False,-234.0,47.0,1,right,T. Rozier 3PT  (3 PTS) (G. Hayward 2 AST),"[1626179, 202330]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Left Corner 3,24+ Left,23.87,Made,3.0,,,,,,,,,,G. Hayward,202330.0,2.0,,,,,
