actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-12-03T23:10:28.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-03T23:10:28Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-12-03T23:10:30.5Z,1,REGULAR,jumpball,recovered,[],1626171,,,1610612749,0,0,2022-12-03T23:10:30Z,40000,False,,,0,,Jump Ball B. Lopez vs. M. Plumlee: Tip to B. Portis,"[1626171, 201572, 203486]",1610612749.0,MIL,startperiod,B. Portis,1626171.0,Portis,B. Portis,Lopez,201572.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-12-03T23:10:46.7Z,1,REGULAR,2pt,Jump Shot,[],1626171,94.30026281208936,20.098039215686274,1610612749,0,2,2022-12-03T23:10:51Z,70000,False,-150.0,1.0,1,right,B. Portis 14' Jump Shot (2 PTS) (J. Carter 1 AST),"[1626171, 1628975]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,Mid-Range,8-16 Left,14.95,Made,2.0,J. Carter,1628975.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2022-12-03T23:11:01.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,5.469776609724048,49.26470588235294,1610612766,2,2,2022-12-03T23:11:08Z,90000,False,4.0,-1.0,1,left,T. Rozier driving Layup (2 PTS),[1626179],1610612766.0,CHA,driving,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,0.39,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M06.00S,2022-12-03T23:11:21.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629670,93.64323258869908,52.94117647058824,1610612749,2,2,2022-12-03T23:11:27Z,100000,False,15.0,7.0,1,right,MISS J. Nwora driving Layup - blocked,"[1629670, 1629667]",1610612749.0,MIL,driving,,,Nwora,J. Nwora,,,,,Restricted Area,0-8 Center,1.64,Missed,,,,,McDaniels,1629667.0,,,,,,,,,,,,
11,PT11M06.00S,2022-12-03T23:11:21.1Z,1,REGULAR,block,,[],1629667,,,1610612749,2,2,2022-12-03T23:11:23Z,110000,False,,,0,,J. McDaniels BLOCK (1 BLK),[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M00.00S,2022-12-03T23:11:27.1Z,1,REGULAR,rebound,offensive,[],1629670,,,1610612749,2,2,2022-12-03T23:11:27Z,120000,False,,,0,,J. Nwora REBOUND (Off:1 Def:0),[1629670],1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,Restricted Area,0-8 Center,,,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,
13,PT11M00.00S,2022-12-03T23:11:26.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629670,94.30026281208936,46.07843137254902,1610612749,2,4,2022-12-03T23:11:33Z,130000,False,-20.0,1.0,1,right,J. Nwora putback Layup (2 PTS),[1629670],1610612749.0,MIL,putback,,,Nwora,J. Nwora,,,,,Restricted Area,0-8 Center,1.96,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M45.00S,2022-12-03T23:11:41.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203486,11.251642575558476,36.029411764705884,1610612766,4,4,2022-12-03T23:11:48Z,140000,False,70.0,53.0,1,left,M. Plumlee 8' turnaround Hook (2 PTS) (T. Rozier 1 AST),"[203486, 1626179]",1610612766.0,CHA,turnaround,,,Plumlee,M. Plumlee,,,,,In The Paint (Non-RA),8-16 Right,8.79,Made,2.0,T. Rozier,1626179.0,1.0,,,,,,,,,,,,,,
16,PT10M35.00S,2022-12-03T23:11:52.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626171,85.3646517739816,48.529411764705884,1610612749,4,4,2022-12-03T23:11:56Z,160000,False,-7.0,85.0,1,right,MISS B. Portis 8' turnaround Hook,[1626171],1610612749.0,MIL,turnaround,,,Portis,B. Portis,,,,,In The Paint (Non-RA),8-16 Center,8.54,Missed,,,,,,,,,,,,,,,,,,
17,PT10M33.00S,2022-12-03T23:11:54.6Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612766,4,4,2022-12-03T23:11:56Z,170000,False,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,
18,PT10M28.00S,2022-12-03T23:11:59.5Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1629023,26.757555847568987,65.93137254901961,1610612766,4,4,2022-12-03T23:13:31Z,180000,False,-80.0,199.0,1,left,MISS P. Washington 21' running pullup Shot,[1629023],1610612766.0,CHA,running pullup,,,Washington,P. Washington,,,,,Mid-Range,16-24 Left Center,21.44,Missed,,,,,,,,,,,,,,,,,,
19,PT10M26.00S,2022-12-03T23:12:01.5Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612749,4,4,2022-12-03T23:12:05Z,190000,False,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,Mid-Range,16-24 Left Center,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,
20,PT10M19.00S,2022-12-03T23:12:08.1Z,1,REGULAR,3pt,Jump Shot,[],1628960,70.12155059132719,75.98039215686273,1610612749,4,4,2022-12-03T23:12:14Z,200000,False,130.0,228.0,1,right,MISS G. Allen 26' pullup 3PT,[1628960],1610612749.0,MIL,pullup,,,Allen,G. Allen,,,,,Above the Break 3,24+ Right Center,26.28,Missed,,,,,,,,,,,,,,,,,,
21,PT10M16.00S,2022-12-03T23:12:11.1Z,1,REGULAR,rebound,offensive,[],1629670,,,1610612749,4,4,2022-12-03T23:12:11Z,210000,False,,,0,,J. Nwora REBOUND (Off:2 Def:0),[1629670],1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,Above the Break 3,24+ Right Center,,,,,,,,,20.0,2.0,0.0,2.0,,,,,,,,
22,PT10M16.00S,2022-12-03T23:12:12.5Z,1,REGULAR,foul,personal,['2freethrow'],1626179,,,1610612749,4,4,2022-12-03T23:12:25Z,220000,False,,,0,,T. Rozier shooting personal FOUL (1 PF) (Nwora 2 FT),"[1626179, 1629670]",1610612766.0,CHA,shooting,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1628171.0,1.0,0.0,Nwora,1629670.0,,,
24,PT10M16.00S,2022-12-03T23:12:37.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629670,,,1610612749,4,4,2022-12-03T23:12:37Z,240000,False,,,0,,MISS J. Nwora Free Throw 1 of 2,[1629670],1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
25,PT10M16.00S,2022-12-03T23:12:37.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,4,4,2022-12-03T23:12:37Z,250000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,
26,PT10M16.00S,2022-12-03T23:12:49.7Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629670,,,1610612749,4,5,2022-12-03T23:12:49Z,260000,False,,,0,,J. Nwora Free Throw 2 of 2 (3 PTS),[1629670],1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
27,PT10M04.00S,2022-12-03T23:13:03.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629023,7.30946123521682,50.245098039215684,1610612766,4,5,2022-12-03T23:13:11Z,270000,False,-1.0,16.0,1,left,MISS P. Washington driving Layup - blocked,"[1629023, 201572]",1610612766.0,CHA,driving,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,1.62,Missed,,,,,Lopez,201572.0,,,,,,,,,,,,
28,PT10M04.00S,2022-12-03T23:13:03.9Z,1,REGULAR,block,,[],201572,,,1610612766,4,5,2022-12-03T23:13:06Z,280000,False,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
29,PT10M01.00S,2022-12-03T23:13:06.9Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,4,5,2022-12-03T23:13:11Z,290000,False,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,
30,PT09M55.00S,2022-12-03T23:13:16.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626171,91.93495400788436,47.30392156862745,1610612749,4,5,2022-12-03T23:13:22Z,300000,False,-13.0,23.0,1,right,MISS B. Portis driving Layup - blocked,"[1626171, 1629023]",1610612749.0,MIL,driving,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,2.69,Missed,,,,,Washington,1629023.0,,,,,,,,,,,,
84,PT09M55.00S,2022-12-03T23:13:16.5Z,1,REGULAR,block,,[],1629023,,,1610612749,4,5,2022-12-03T23:19:14Z,305000,False,,,0,,P. Washington BLOCK (1 BLK),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
31,PT09M55.00S,2022-12-03T23:13:16.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,4,5,2022-12-03T23:19:14Z,310000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,30.0,,,,,,,,,,,
32,PT09M51.00S,2022-12-03T23:13:36.2Z,1,REGULAR,jumpball,recovered,[],1628975,,,1610612749,4,5,2022-12-03T23:19:14Z,320000,False,,,0,,Jump Ball B. Portis vs. P. Washington: Tip to J. Carter,"[1628975, 1626171, 1629023]",1610612749.0,MIL,heldball,J. Carter,1628975.0,Carter,J. Carter,Portis,1626171.0,Washington,1629023.0,,,,,,,,,,,,,,,,,,,,,,
37,PT09M38.00S,2022-12-03T23:13:49.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1626171,91.01511169513797,52.69607843137255,1610612749,4,7,2022-12-03T23:19:14Z,370000,False,13.0,32.0,1,right,B. Portis turnaround bank Jump Shot (4 PTS),[1626171],1610612749.0,MIL,turnaround bank,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,3.47,Made,4.0,,,,,,,,,,,,,,,,,
38,PT09M21.00S,2022-12-03T23:14:06.2Z,1,REGULAR,2pt,Jump Shot,[],1626162,4.28712220762155,29.411764705882355,1610612766,4,7,2022-12-03T23:14:10Z,380000,False,103.0,-12.0,1,left,MISS K. Oubre Jr. 10' pullup Shot,[1626162],1610612766.0,CHA,pullup,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,8-16 Right,10.36,Missed,,,,,,,,,,,,,,,,,,
39,PT09M20.00S,2022-12-03T23:14:07.2Z,1,REGULAR,rebound,defensive,[],1629670,,,1610612749,4,7,2022-12-03T23:14:10Z,390000,False,,,0,,J. Nwora REBOUND (Off:2 Def:1),[1629670],1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,Mid-Range,8-16 Right,,,,,,,,,38.0,3.0,1.0,2.0,,,,,,,,
40,PT09M11.00S,2022-12-03T23:14:16.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628975,92.32917214191852,51.9607843137255,1610612749,4,7,2022-12-03T23:14:29Z,400000,False,10.0,20.0,1,right,MISS J. Carter driving reverse Layup,[1628975],1610612749.0,MIL,driving reverse,,,Carter,J. Carter,,,,,Restricted Area,0-8 Center,2.19,Missed,,,,,,,,,,,,,,,,,,
41,PT09M09.00S,2022-12-03T23:14:18.3Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612766,4,7,2022-12-03T23:14:29Z,410000,False,,,0,,P. Washington REBOUND (Off:0 Def:2),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,,,,,,,40.0,2.0,2.0,0.0,,,,,,,,
42,PT08M56.00S,2022-12-03T23:14:32.1Z,1,REGULAR,3pt,Jump Shot,[],1629667,25.312089356110377,81.37254901960785,1610612766,4,7,2022-12-03T23:14:38Z,420000,False,-157.0,185.0,1,left,MISS J. McDaniels 24' 3PT,[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Left Center,24.29,Missed,,,,,,,,,,,,,,,,,,
43,PT08M54.00S,2022-12-03T23:14:34.1Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,4,7,2022-12-03T23:14:38Z,430000,False,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,,,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,
45,PT08M42.00S,2022-12-03T23:15:03.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1629670,91.93495400788436,50.98039215686274,1610612749,4,9,2022-12-03T23:15:18Z,450000,False,5.0,23.0,1,right,J. Nwora reverse Layup (5 PTS) (B. Portis 1 AST),"[1629670, 1626171]",1610612749.0,MIL,reverse,,,Nwora,J. Nwora,,,,,Restricted Area,0-8 Center,2.38,Made,5.0,B. Portis,1626171.0,1.0,,,,,,,,,,,,,,
47,PT08M42.00S,2022-12-03T23:15:08.1Z,1,REGULAR,violation,defensive goaltending,[],1629667,,,1610612749,4,9,2022-12-03T23:15:18Z,470000,False,,,0,,J. McDaniels defensive goaltending VIOLATION,[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,202027.0,,,,,,,
48,PT08M35.00S,2022-12-03T23:15:19.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203486,8.09789750328515,48.529411764705884,1610612766,4,9,2022-12-03T23:20:38Z,480000,False,7.0,24.0,1,left,MISS M. Plumlee driving Layup - blocked,"[203486, 201572]",1610612766.0,CHA,driving,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,2.47,Missed,,,,,Lopez,201572.0,,,,,,,,,,,,
49,PT08M35.00S,2022-12-03T23:15:19.3Z,1,REGULAR,block,,[],201572,,,1610612766,4,9,2022-12-03T23:15:21Z,490000,False,,,0,,B. Lopez BLOCK (2 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
50,PT08M32.00S,2022-12-03T23:15:22.3Z,1,REGULAR,rebound,defensive,[],1628975,,,1610612749,4,9,2022-12-03T23:15:24Z,500000,False,,,0,,J. Carter REBOUND (Off:0 Def:1),[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,Restricted Area,0-8 Center,,,,,,,,,48.0,1.0,1.0,0.0,,,,,,,,
51,PT08M29.00S,2022-12-03T23:15:25.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628975,68.80749014454665,27.205882352941174,1610612749,4,9,2022-12-03T23:21:16Z,510000,False,-114.0,241.0,1,right,MISS J. Carter 26' running pullup 3PT,[1628975],1610612749.0,MIL,running pullup,,,Carter,J. Carter,,,,,Above the Break 3,24+ Left Center,26.63,Missed,,,,,,,,,,,,,,,,,,
52,PT08M26.00S,2022-12-03T23:15:28.4Z,1,REGULAR,rebound,offensive,[],1629670,,,1610612749,4,9,2022-12-03T23:21:16Z,520000,False,,,0,,J. Nwora REBOUND (Off:3 Def:1),[1629670],1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,Above the Break 3,24+ Left Center,,,,,,,,,51.0,4.0,1.0,3.0,,,,,,,,
53,PT08M23.00S,2022-12-03T23:15:52.2Z,1,REGULAR,jumpball,recovered,[],1626162,,,1610612749,4,9,2022-12-03T23:15:52Z,530000,False,,,0,,Jump Ball P. Washington vs. J. Nwora: Tip to K. Oubre Jr.,"[1626162, 1629023, 1629670]",1610612766.0,CHA,heldball,K. Oubre Jr.,1626162.0,Oubre Jr.,K. Oubre Jr.,Washington,1629023.0,Nwora,1629670.0,,,,,,,,,,,,,,,,,,,,,,
56,PT08M23.00S,2022-12-03T23:15:52.2Z,1,REGULAR,turnover,lost ball,[],1629670,,,1610612749,4,9,2022-12-03T23:15:52Z,560000,False,,,0,,J. Nwora lost ball TURNOVER (1 TO),"[1629670, 1629023]",1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,,,,,,,,,,,,,,,,,,,,1.0,Washington,1629023.0
57,PT08M23.00S,2022-12-03T23:15:52.2Z,1,REGULAR,steal,,[],1629023,,,1610612766,4,9,2022-12-03T23:15:52Z,570000,False,,,0,,P. Washington STEAL (1 STL),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT08M11.00S,2022-12-03T23:16:03.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629023,25.57490144546649,85.29411764705883,1610612766,4,9,2022-12-03T23:16:07Z,580000,False,-176.0,188.0,1,left,MISS P. Washington 25' 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Left Center,25.78,Missed,,,,,,,,,,,,,,,,,,
59,PT08M09.00S,2022-12-03T23:16:05.5Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,4,9,2022-12-03T23:16:05Z,590000,False,,,0,,B. Lopez REBOUND (Off:0 Def:2),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,,,,,,,,,58.0,2.0,2.0,0.0,,,,,,,,
60,PT08M04.00S,2022-12-03T23:16:10.3Z,1,REGULAR,turnover,bad pass,[],1628975,,,1610612749,4,9,2022-12-03T23:16:16Z,600000,False,,,0,,J. Carter bad pass TURNOVER (1 TO),"[1628975, 1629023]",1610612749.0,MIL,,,,Carter,J. Carter,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Washington,1629023.0
61,PT08M04.00S,2022-12-03T23:16:10.3Z,1,REGULAR,steal,,[],1629023,,,1610612766,4,9,2022-12-03T23:16:11Z,610000,False,,,0,,P. Washington STEAL (2 STL),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
62,PT07M52.00S,2022-12-03T23:16:22.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626179,7.5722733245729295,98.77450980392157,1610612766,7,9,2022-12-03T23:16:26Z,620000,False,-244.0,19.0,1,left,T. Rozier 24' 3PT  (5 PTS),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Left Corner 3,24+ Left,24.46,Made,5.0,,,,,,,,,,,,,,,,,
