actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2023-04-04T23:10:12.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-04T23:10:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-04-04T23:10:14.2Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612761,0,0,2023-04-04T23:10:14Z,40000,False,,,0,,Jump Ball J. Poeltl vs. N. Richards: Tip to P. Siakam,"[1627783, 1627751, 1630208]",1610612761.0,TOR,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Poeltl,1627751.0,Richards,1630208.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-04-04T23:10:26.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630567,8.492115637319317,48.28431372549019,1610612761,0,0,2023-04-04T23:10:32Z,70000,False,9.0,27.0,1,left,MISS S. Barnes turnaround Hook,[1630567],1610612761.0,TOR,turnaround,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,2.86,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2023-04-04T23:10:29.9Z,1,REGULAR,rebound,defensive,[],1630550,,,1610612766,0,0,2023-04-04T23:10:32Z,80000,False,,,0,,J. Thor REBOUND (Off:0 Def:1),[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M33.00S,2023-04-04T23:10:41.0Z,1,REGULAR,foul,personal,[],1627832,,,1610612766,0,0,2023-04-04T23:10:51Z,90000,False,,,0,,F. VanVleet personal FOUL (1 PF),"[1627832, 1629004]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Right Center,,,,,,,201245.0,1.0,0.0,Mykhailiuk,1629004.0,,,,,,,,,
11,PT11M23.00S,2023-04-04T23:11:06.5Z,1,REGULAR,turnover,bad pass,[],1629004,,,1610612766,0,0,2023-04-04T23:11:11Z,110000,False,,,0,,S. Mykhailiuk bad pass TURNOVER (1 TO),"[1629004, 1627832]",1610612766.0,CHA,,,,Mykhailiuk,S. Mykhailiuk,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,VanVleet,1627832.0,,,,,,
12,PT11M23.00S,2023-04-04T23:11:06.5Z,1,REGULAR,steal,,[],1627832,,,1610612761,0,0,2023-04-04T23:11:08Z,120000,False,,,0,,F. VanVleet STEAL (1 STL),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M08.00S,2023-04-04T23:11:21.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628384,6.915243101182654,51.470588235294116,1610612761,0,0,2023-04-04T23:11:26Z,130000,False,-7.0,13.0,1,left,MISS O. Anunoby driving Layup,[1628384],1610612761.0,TOR,driving,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,1.45,Missed,,,,,,,,,,,,,,,,,,
14,PT11M07.00S,2023-04-04T23:11:22.1Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,0,0,2023-04-04T23:11:26Z,140000,False,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT11M00.00S,2023-04-04T23:11:29.5Z,1,REGULAR,3pt,Jump Shot,[],1631121,91.80354796320631,2.450980392156863,1610612766,0,0,2023-04-04T23:11:34Z,150000,False,-238.0,25.0,1,right,MISS B. McGowens 3PT - blocked,"[1631121, 1627783]",1610612766.0,CHA,,,,McGowens,B. McGowens,,,,,Left Corner 3,24+ Left,23.9,Missed,,,,,,,,,,,,,Siakam,1627783.0,,,,
16,PT11M00.00S,2023-04-04T23:11:29.5Z,1,REGULAR,block,,[],1627783,,,1610612766,0,0,2023-04-04T23:11:32Z,160000,False,,,0,,P. Siakam BLOCK (1 BLK),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,,,,,,
17,PT10M57.00S,2023-04-04T23:11:32.5Z,1,REGULAR,rebound,offensive,[],1630177,,,1610612766,0,0,2023-04-04T23:11:34Z,170000,False,,,0,,T. Maledon REBOUND (Off:1 Def:0),[1630177],1610612766.0,CHA,,,,Maledon,T. Maledon,,,,,Left Corner 3,24+ Left,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,,,
18,PT10M54.00S,2023-04-04T23:11:34.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630208,93.51182654402102,51.470588235294116,1610612766,2,0,2023-04-04T23:12:10Z,180000,False,7.0,8.0,1,right,N. Richards cutting DUNK (2 PTS) (T. Maledon 1 AST),"[1630208, 1630177]",1610612766.0,CHA,cutting,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,1.13,Made,,,,,,,,,,,,,,,2.0,T. Maledon,1630177.0,1.0
20,PT10M34.00S,2023-04-04T23:11:54.8Z,1,REGULAR,3pt,Jump Shot,[],1627783,13.61695137976347,96.56862745098039,1610612761,2,0,2023-04-04T23:11:59Z,200000,False,-233.0,75.0,1,left,MISS P. Siakam 24' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Left Corner 3,24+ Left,24.47,Missed,,,,,,,,,,,,,,,,,,
21,PT10M32.00S,2023-04-04T23:11:56.8Z,1,REGULAR,rebound,defensive,[],1631121,,,1610612766,2,0,2023-04-04T23:11:59Z,210000,False,,,0,,B. McGowens REBOUND (Off:0 Def:1),[1631121],1610612766.0,CHA,,,,McGowens,B. McGowens,,,,,Left Corner 3,24+ Left,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT10M22.00S,2023-04-04T23:12:08.2Z,1,REGULAR,3pt,Jump Shot,[],1630177,67.7562417871222,26.96078431372549,1610612766,2,0,2023-04-04T23:12:12Z,220000,False,-115.0,251.0,1,right,MISS T. Maledon 27' 3PT,[1630177],1610612766.0,CHA,,,,Maledon,T. Maledon,,,,,Above the Break 3,24+ Left Center,27.58,Missed,,,,,,,,,,,,,,,,,,
23,PT10M20.00S,2023-04-04T23:12:10.2Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,2,0,2023-04-04T23:12:12Z,230000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
24,PT10M13.00S,2023-04-04T23:12:18.6Z,1,REGULAR,foul,personal,['2freethrow'],1630208,,,1610612761,2,0,2023-04-04T23:12:26Z,240000,False,,,0,,N. Richards shooting personal FOUL (1 PF) (Siakam 2 FT),"[1630208, 1627783]",1610612766.0,CHA,shooting,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,201245.0,1.0,0.0,Siakam,1627783.0,,,,,,,,,
26,PT10M13.00S,2023-04-04T23:12:43.9Z,1,REGULAR,freethrow,1 of 2,[],1627783,,,1610612761,2,1,2023-04-04T23:12:43Z,260000,False,,,0,,P. Siakam Free Throw 1 of 2 (1 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,Made,,,,,,,,,,,,,,,1.0,,,
27,PT10M13.00S,2023-04-04T23:13:00.4Z,1,REGULAR,freethrow,2 of 2,[],1627783,,,1610612761,2,2,2023-04-04T23:13:00Z,270000,False,,,0,,P. Siakam Free Throw 2 of 2 (2 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,Made,,,,,,,,,,,,,,,2.0,,,
28,PT09M51.00S,2023-04-04T23:13:24.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630177,93.64323258869908,50.245098039215684,1610612766,4,2,2023-04-04T23:13:31Z,280000,False,1.0,7.0,1,right,T. Maledon driving Layup (2 PTS) (S. Mykhailiuk 1 AST),"[1630177, 1629004]",1610612766.0,CHA,driving,,,Maledon,T. Maledon,,,,,Restricted Area,0-8 Center,0.74,Made,,,,,,,,,,,,,,,2.0,S. Mykhailiuk,1629004.0,1.0
29,PT09M33.00S,2023-04-04T23:13:42.4Z,1,REGULAR,3pt,Jump Shot,[],1630567,26.888961892247043,79.16666666666666,1610612761,4,2,2023-04-04T23:13:46Z,290000,False,-146.0,200.0,1,left,MISS S. Barnes 24' 3PT,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,24.77,Missed,,,,,,,,,,,,,,,,,,
30,PT09M30.00S,2023-04-04T23:13:44.7Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,4,2,2023-04-04T23:13:44Z,300000,False,,,0,,N. Richards REBOUND (Off:0 Def:2),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Left Center,,,29.0,2.0,2.0,0.0,,,,,,,,,,,,,,
31,PT09M27.00S,2023-04-04T23:13:51.5Z,1,REGULAR,foul,personal,['2freethrow'],1627783,,,1610612766,4,2,2023-04-04T23:14:00Z,310000,False,,,0,,P. Siakam shooting personal FOUL (1 PF) (McGowens 2 FT),"[1627783, 1631121]",1610612761.0,TOR,shooting,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,202056.0,1.0,0.0,McGowens,1631121.0,,,,,,,,,
33,PT09M27.00S,2023-04-04T23:14:12.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1631121,,,1610612766,4,2,2023-04-04T23:14:12Z,330000,False,,,0,,MISS B. McGowens Free Throw 1 of 2,[1631121],1610612766.0,CHA,,,,McGowens,B. McGowens,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
34,PT09M27.00S,2023-04-04T23:14:12.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,4,2,2023-04-04T23:14:12Z,340000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,
35,PT09M27.00S,2023-04-04T23:14:23.0Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1631121,,,1610612766,5,2,2023-04-04T23:14:23Z,350000,False,,,0,,B. McGowens Free Throw 2 of 2 (1 PTS),[1631121],1610612766.0,CHA,,,,McGowens,B. McGowens,,,,,,,,Made,,,,,,,,,,,,,,,1.0,,,
36,PT09M15.00S,2023-04-04T23:14:36.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,8.886333771353483,53.431372549019606,1610612761,5,2,2023-04-04T23:16:25Z,360000,False,-17.0,31.0,1,left,MISS J. Poeltl cutting Layup - blocked,"[1627751, 1630550]",1610612761.0,TOR,cutting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,3.55,Missed,,,,,,,,,,,,,Thor,1630550.0,,,,
42,PT09M15.00S,2023-04-04T23:14:36.6Z,1,REGULAR,block,,[],1630550,,,1610612761,5,2,2023-04-04T23:15:23Z,365000,False,,,0,,J. Thor BLOCK (1 BLK),[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
37,PT09M13.00S,2023-04-04T23:14:38.6Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,5,2,2023-04-04T23:14:43Z,370000,False,,,0,,N. Richards REBOUND (Off:0 Def:3),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,36.0,3.0,3.0,0.0,,,,,,,,,,,,,,
38,PT09M06.00S,2023-04-04T23:14:45.9Z,1,REGULAR,3pt,Jump Shot,[],1629004,92.72339027595268,4.166666666666666,1610612766,8,2,2023-04-04T23:14:49Z,380000,False,-229.0,16.0,1,right,S. Mykhailiuk 3PT  (3 PTS) (T. Maledon 2 AST),"[1629004, 1630177]",1610612766.0,CHA,,,,Mykhailiuk,S. Mykhailiuk,,,,,Left Corner 3,24+ Left,22.98,Made,,,,,,,,,,,,,,,3.0,T. Maledon,1630177.0,2.0
39,PT08M52.00S,2023-04-04T23:15:05.3Z,1,REGULAR,foul,technical,['1freethrow'],1630550,,,1610612761,8,2,2023-04-04T23:15:12Z,390000,False,,,0,,J. Thor defensive-3-second technical FOUL (1 Tech),[1630550],1610612766.0,CHA,defensive-3-second,,,Thor,J. Thor,,,,,,,,,,,,,201245.0,0.0,1.0,,,,,,,,,,,
40,PT08M52.00S,2023-04-04T23:15:20.8Z,1,REGULAR,freethrow,1 of 1,[],1627832,,,1610612761,8,2,2023-04-04T23:15:20Z,400000,False,,,0,,MISS F. VanVleet technical Free Throw 1 of 1,[1627832],1610612761.0,TOR,technical,,,VanVleet,F. VanVleet,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
41,PT08M52.00S,2023-04-04T23:15:20.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612761,8,2,2023-04-04T23:15:20Z,410000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,
43,PT08M44.00S,2023-04-04T23:15:36.8Z,1,REGULAR,2pt,Jump Shot,[],1627783,14.14257555847569,25.49019607843137,1610612761,8,2,2023-04-04T23:15:44Z,420000,False,123.0,80.0,1,left,MISS P. Siakam 14' Jump Shot,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Right,14.65,Missed,,,,,,,,,,,,,,,,,,
45,PT08M43.00S,2023-04-04T23:15:37.8Z,1,REGULAR,rebound,defensive,[],1631121,,,1610612766,8,2,2023-04-04T23:15:44Z,430000,False,,,0,,B. McGowens REBOUND (Off:0 Def:2),[1631121],1610612766.0,CHA,,,,McGowens,B. McGowens,,,,,Mid-Range,8-16 Right,,,43.0,2.0,2.0,0.0,,,,,,,,,,,,,,
46,PT08M36.00S,2023-04-04T23:15:46.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630208,92.46057818659659,51.470588235294116,1610612766,10,2,2023-04-04T23:18:15Z,440000,False,7.0,18.0,1,right,N. Richards running Layup (4 PTS) (B. McGowens 1 AST),"[1630208, 1631121]",1610612766.0,CHA,running,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,1.98,Made,,,,,,,,,,,,,,,4.0,B. McGowens,1631121.0,1.0
