actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-17T00:10:14.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-17T00:10:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT12M00.00S,2022-12-17T00:10:18.2Z,1,REGULAR,violation,delay-of-game,['team'],0,,,0,0,0,2022-12-17T00:17:34Z,25000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612766.0,CHA,204059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2022-12-17T00:10:20.7Z,1,REGULAR,jumpball,recovered,[],1629667,,,1610612766,0,0,2022-12-17T00:10:20Z,40000,False,,,0,,Jump Ball M. Plumlee vs. O. Okongwu: Tip to J. McDaniels,"[1629667, 203486, 1630168]",1610612766.0,CHA,,startperiod,J. McDaniels,1629667.0,McDaniels,J. McDaniels,Plumlee,203486.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-12-17T00:10:32.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202330,82.9993429697766,39.46078431372549,1610612766,0,0,2022-12-17T00:11:56Z,80000,False,-53.0,107.0,1,right,MISS G. Hayward 11' pullup Shot,[202330],1610612766.0,CHA,,pullup,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),8-16 Center,11.95,Missed,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2022-12-17T00:10:38.4Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,0,0,2022-12-17T00:10:38Z,90000,False,,,0,,M. Plumlee REBOUND (Off:1 Def:0),[203486],1610612766.0,CHA,,,,,Plumlee,M. Plumlee,,,,,In The Paint (Non-RA),8-16 Center,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M33.00S,2022-12-17T00:10:40.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203486,93.24901445466492,49.50980392156863,1610612766,2,0,2022-12-17T00:12:42Z,100000,False,-2.0,11.0,1,right,M. Plumlee driving DUNK (2 PTS),[203486],1610612766.0,CHA,,driving,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,1.13,Made,,,,,2.0,,,,,,,,,,,,
11,PT11M09.00S,2022-12-17T00:11:04.5Z,1,REGULAR,3pt,Jump Shot,[],1629631,30.962549277266753,62.745098039215684,1610612737,2,0,2022-12-17T00:11:18Z,110000,False,-64.0,239.0,1,left,MISS D. Hunter 24' 3PT,[1629631],1610612737.0,ATL,,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Center,24.69,Missed,,,,,,,,,,,,,,,,,
12,PT11M09.00S,2022-12-17T00:11:04.5Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,2,0,2022-12-17T00:11:18Z,120000,False,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT11M03.00S,2022-12-17T00:11:13.8Z,1,REGULAR,foul,personal,['2freethrow'],1630235,,,1610612766,2,0,2022-12-17T00:11:28Z,130000,False,,,0,,T. Forrest shooting personal FOUL (1 PF) (Hayward 2 FT),"[1630235, 202330]",1610612737.0,ATL,201245.0,shooting,,,Forrest,T. Forrest,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,0.0,Hayward,202330.0,,,,,,,,
15,PT11M03.00S,2022-12-17T00:11:36.9Z,1,REGULAR,freethrow,1 of 2,[],202330,,,1610612766,3,0,2022-12-17T00:12:00Z,150000,False,,,0,,G. Hayward Free Throw 1 of 2 (1 PTS),[202330],1610612766.0,CHA,,,,,Hayward,G. Hayward,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,
