actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-11-08T00:00:17.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-08T00:00:17Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-08T00:00:21.2Z,1,REGULAR,jumpball,recovered,[],1630166,,,1610612764,0,0,2022-11-08T00:00:21Z,40000,,,0,,Jump Ball K. Porzingis vs. M. Plumlee: Tip to D. Avdija,"[1630166, 204001, 203486]",1610612764.0,WAS,startperiod,D. Avdija,1630166.0,Avdija,D. Avdija,Porzingis,204001.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-11-08T00:00:30.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],204001,91.27792378449409,49.50980392156863,1610612764,0,2,2022-11-08T00:00:35Z,70000,-2.0,29.0,1,right,K. Porzingis Layup (2 PTS) (D. Avdija 1 AST),"[204001, 1630166]",1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,2.96,Made,2.0,D. Avdija,1630166.0,1.0,,,,,,,,,,,,,,
9,PT11M25.00S,2022-11-08T00:00:51.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626162,10.200394218134035,47.05882352941176,1610612766,0,2,2022-11-08T00:00:58Z,90000,15.0,43.0,1,left,MISS K. Oubre Jr. driving floating Shot,[1626162],1610612766.0,CHA,driving floating,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),0-8 Center,4.58,Missed,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2022-11-08T00:00:54.9Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,0,2,2022-11-08T00:00:58Z,100000,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M12.00S,2022-11-08T00:01:04.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,91.67214191852825,50.98039215686274,1610612764,0,4,2022-11-08T00:01:09Z,110000,5.0,26.0,1,right,K. Kuzma driving Layup (2 PTS) (K. Porzingis 1 AST),"[1628398, 204001]",1610612764.0,WAS,driving,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,2.63,Made,2.0,K. Porzingis,204001.0,1.0,,,,,,,,,,,,,,
13,PT10M52.00S,2022-11-08T00:01:24.8Z,1,REGULAR,2pt,Jump Shot,[],1629023,10.85742444152431,29.411764705882355,1610612766,2,4,2022-11-08T00:01:29Z,130000,103.0,50.0,1,left,P. Washington 11' turnaround fadeaway Jump Shot (2 PTS),[1629023],1610612766.0,CHA,turnaround fadeaway,,,Washington,P. Washington,,,,,Mid-Range,8-16 Right,11.42,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M40.00S,2022-11-08T00:01:36.7Z,1,REGULAR,3pt,Jump Shot,[],1630557,94.82588699080158,3.431372549019608,1610612764,2,7,2022-11-08T00:01:41Z,140000,-233.0,-4.0,1,right,C. Kispert 3PT  (3 PTS) (K. Kuzma 1 AST),"[1630557, 1628398]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Left Corner 3,24+ Left,23.28,Made,3.0,K. Kuzma,1628398.0,1.0,,,,,,,,,,,,,,
16,PT10M29.00S,2022-11-08T00:01:48.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,10.5946123521682,50.0,1610612766,4,7,2022-11-08T00:01:53Z,160000,0.0,47.0,1,left,T. Rozier floating Jump Shot (2 PTS),[1626179],1610612766.0,CHA,floating,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),0-8 Center,4.71,Made,2.0,,,,,,,,,,,,,,,,,
17,PT10M10.00S,2022-11-08T00:02:06.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628398,84.83902759526939,52.20588235294118,1610612764,4,9,2022-11-08T00:02:11Z,170000,11.0,90.0,1,right,K. Kuzma 9' driving floating Jump Shot (4 PTS),[1628398],1610612764.0,WAS,driving floating,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),8-16 Center,9.07,Made,4.0,,,,,,,,,,,,,,,,,
