actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-25T22:10:30.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-25T22:10:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-25T22:10:32.5Z,1,REGULAR,jumpball,recovered,[],1626156,,,1610612750,0,0,2022-11-25T22:10:32Z,40000,False,,,0,,Jump Ball R. Gobert vs. M. Plumlee: Tip to D. Russell,"[1626156, 203497, 203486]",1610612750.0,MIN,startperiod,D. Russell,1626156.0,Russell,D. Russell,Gobert,203497.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-11-25T22:11:03.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,8.09789750328515,55.63725490196079,1610612750,0,0,2022-11-25T22:12:00Z,80000,False,-28.0,24.0,1,left,MISS K. Towns driving Layup - blocked,"[1626157, 1629023]",1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,3.68,Missed,Washington,1629023.0,,,,,,,,,,,,,,,,
9,PT11M39.00S,2022-11-25T22:11:03.3Z,1,REGULAR,block,,[],1629023,,,1610612750,0,0,2022-11-25T22:11:06Z,90000,False,,,0,,P. Washington BLOCK (1 BLK),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M39.00S,2022-11-25T22:11:03.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,0,0,2022-11-25T22:11:19Z,100000,False,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Restricted Area,0-8 Center,,,,,8.0,,,,,,,,,,,,,,,
12,PT11M24.00S,2022-11-25T22:11:25.4Z,1,REGULAR,3pt,Jump Shot,[],1629023,74.72076215505913,86.02941176470588,1610612766,3,0,2022-11-25T22:11:32Z,120000,False,180.0,185.0,1,right,P. Washington 25' 3PT  (3 PTS) (K. Oubre Jr. 1 AST),"[1629023, 1626162]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,25.83,Made,,,,3.0,K. Oubre Jr.,1626162.0,1.0,,,,,,,,,,,
14,PT11M06.00S,2022-11-25T22:11:42.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630183,6.521024967148489,50.49019607843137,1610612750,3,0,2022-11-25T22:14:28Z,140000,False,-2.0,9.0,1,left,MISS J. McDaniels driving Layup,[1630183],1610612750.0,MIN,driving,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,0.91,Missed,,,,,,,,,,,,,,,,,,
15,PT11M05.00S,2022-11-25T22:11:44.0Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,3,0,2022-11-25T22:11:44Z,150000,False,,,0,,R. Gobert REBOUND (Off:1 Def:0),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,14.0,,,,,1.0,0.0,1.0,,,,,,,,
16,PT11M02.00S,2022-11-25T22:11:46.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630162,29.517082785808146,76.22549019607843,1610612750,3,0,2022-11-25T22:11:53Z,160000,False,-131.0,225.0,1,left,MISS A. Edwards 26' 3PT,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,26.04,Missed,,,,,,,,,,,,,,,,,,
17,PT10M59.00S,2022-11-25T22:11:49.5Z,1,REGULAR,rebound,offensive,[],1626156,,,1610612750,3,0,2022-11-25T22:11:53Z,170000,False,,,0,,D. Russell REBOUND (Off:1 Def:0),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,,,,,16.0,,,,,1.0,0.0,1.0,,,,,,,,
