actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2022-10-31T23:10:03.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-31T23:10:03Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-10-31T23:10:06.6Z,1,REGULAR,jumpball,recovered,[],1629023,,,1610612766,0,0,2022-10-31T23:10:06Z,40000,,,0,,Jump Ball M. Plumlee vs. D. Sabonis: Tip to P. Washington,"[1629023, 203486, 1627734]",1610612766.0,CHA,startperiod,P. Washington,1629023.0,Washington,P. Washington,Plumlee,203486.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-10-31T23:10:22.0Z,1,REGULAR,3pt,Jump Shot,[],1628372,71.56701708278581,22.058823529411764,1610612766,0,0,2022-10-31T23:10:27Z,70000,-140.0,215.0,1,right,MISS D. Smith Jr. 25' 3PT,[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,Above the Break 3,24+ Left Center,25.62,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2022-10-31T23:10:27.0Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,0,0,2022-10-31T23:10:27Z,80000,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M16.00S,2022-10-31T23:10:48.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,11.645860709592641,48.28431372549019,1610612758,0,0,2022-10-31T23:11:43Z,90000,9.0,57.0,1,left,MISS D. Sabonis Layup - blocked,"[1627734, 1628372]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,5.76,Missed,,,,,Smith Jr.,1628372.0,,,,,,,,,,,,
10,PT11M16.00S,2022-10-31T23:10:48.0Z,1,REGULAR,block,,[],1628372,,,1610612758,0,0,2022-10-31T23:10:50Z,100000,,,0,,D. Smith Jr. BLOCK (1 BLK),[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M16.00S,2022-10-31T23:10:48.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,0,0,2022-10-31T23:10:58Z,110000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,,,,,,,,,,,,,,,,,
13,PT11M12.00S,2022-10-31T23:11:01.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628989,8.229303547963205,45.83333333333333,1610612758,0,0,2022-10-31T23:12:32Z,130000,21.0,25.0,1,left,MISS K. Huerter floating Shot,[1628989],1610612758.0,SAC,floating,,,Huerter,K. Huerter,,,,,Restricted Area,0-8 Center,3.24,Missed,,,,,,,,,,,,,,,,,,
14,PT11M09.00S,2022-10-31T23:11:05.3Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,0,0,2022-10-31T23:11:05Z,140000,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT11M03.00S,2022-10-31T23:11:10.6Z,1,REGULAR,2pt,Jump Shot,[],1626162,76.82325886990802,51.225490196078425,1610612766,0,0,2022-10-31T23:11:16Z,150000,6.0,165.0,1,right,MISS K. Oubre Jr. 16' pullup Shot,[1626162],1610612766.0,CHA,pullup,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,16-24 Center,16.55,Missed,,,,,,,,,,,,,,,,,,
16,PT10M59.00S,2022-10-31T23:11:14.6Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,0,2022-10-31T23:11:16Z,160000,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,16-24 Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M54.00S,2022-10-31T23:11:20.6Z,1,REGULAR,turnover,bad pass,[],1627734,,,1610612758,0,0,2022-10-31T23:11:27Z,170000,,,0,,D. Sabonis bad pass TURNOVER (1 TO),"[1627734, 202330]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,8-16 Right,,,,,,,,,1.0,Hayward,202330.0,,,,,,,,,
18,PT10M54.00S,2022-10-31T23:11:20.6Z,1,REGULAR,steal,,[],202330,,,1610612766,0,0,2022-10-31T23:11:23Z,180000,,,0,,G. Hayward STEAL (1 STL),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
19,PT10M46.00S,2022-10-31T23:11:28.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626162,78.79434954007884,89.70588235294117,1610612766,0,0,2022-10-31T23:11:34Z,190000,199.0,147.0,1,right,MISS K. Oubre Jr. 24' 3PT,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Right Center,24.69,Missed,,,,,,,,,,,,,,,,,,
20,PT10M43.00S,2022-10-31T23:11:31.3Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,0,2022-10-31T23:11:34Z,200000,,,0,,D. Sabonis REBOUND (Off:0 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Right Center,,,19.0,2.0,2.0,0.0,,,,,,,,,,,,,,
21,PT10M36.00S,2022-10-31T23:11:37.8Z,1,REGULAR,3pt,Jump Shot,[],1631099,5.732588699080158,3.9215686274509802,1610612758,0,0,2022-10-31T23:11:42Z,210000,230.0,1.0,1,left,MISS K. Murray 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Right Corner 3,24+ Right,23.04,Missed,,,,,,,,,,,,,,,,,,
22,PT10M32.00S,2022-10-31T23:11:41.8Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,0,0,2022-10-31T23:11:42Z,220000,,,0,,M. Plumlee REBOUND (Off:0 Def:2),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Right Corner 3,24+ Right,,,21.0,2.0,2.0,0.0,,,,,,,,,,,,,,
23,PT10M29.00S,2022-10-31T23:11:53.5Z,1,REGULAR,foul,personal,[],1628989,,,1610612766,0,0,2022-10-31T23:12:01Z,230000,,,0,,K. Huerter personal FOUL (1 PF),"[1628989, 202330]",1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,201639.0,1.0,0.0,Hayward,202330.0,,,,
