actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-02-05T18:10:21.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-05T18:10:21Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-02-05T18:10:23.1Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2023-02-05T18:10:23Z,40000,False,,,0,,Jump Ball M. Plumlee vs. W. Carter Jr.: Tip to L. Ball,"[1630163, 203486, 1628976]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Plumlee,203486.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-02-05T18:10:37.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203486,94.69448094612353,51.470588235294116,1610612766,2,0,2023-02-05T18:10:42Z,70000,False,7.0,-3.0,1,right,M. Plumlee Layup (2 PTS) (G. Hayward 1 AST),"[203486, 202330]",1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,0.78,Made,2.0,G. Hayward,202330.0,1.0,,,,,,,,,,,,,,
9,PT11M23.00S,2023-02-05T18:10:57.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628976,5.601182654402102,60.5392156862745,1610612753,2,2,2023-02-05T18:11:21Z,90000,False,-53.0,0.0,1,left,W. Carter Jr. turnaround Jump Shot (2 PTS) (P. Banchero 1 AST),"[1628976, 1631094]",1610612753.0,ORL,turnaround,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.27,Made,2.0,P. Banchero,1631094.0,1.0,,,,,,,,,,,,,,
12,PT11M04.00S,2023-02-05T18:11:32.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629023,94.43166885676742,54.166666666666664,1610612766,4,2,2023-02-05T18:11:37Z,120000,False,21.0,0.0,1,right,P. Washington cutting Layup (2 PTS) (T. Rozier 1 AST),"[1629023, 1626179]",1610612766.0,CHA,cutting,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,2.08,Made,2.0,T. Rozier,1626179.0,1.0,,,,,,,,,,,,,,
14,PT10M45.00S,2023-02-05T18:11:54.6Z,1,REGULAR,foul,personal,[],1629023,,,1610612753,4,2,2023-02-05T18:12:05Z,140000,False,,,0,,P. Washington personal FOUL (1 PF),"[1629023, 1631094]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,,,,,200832.0,1.0,0.0,Banchero,1631094.0,,,,,,,,,
16,PT10M38.00S,2023-02-05T18:12:19.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628365,5.206964520367937,48.03921568627451,1610612753,4,2,2023-02-05T18:12:26Z,160000,False,10.0,-4.0,1,left,MISS M. Fultz reverse Layup - blocked,"[1628365, 1629023]",1610612753.0,ORL,reverse,,,Fultz,M. Fultz,,,,,Restricted Area,0-8 Center,1.04,Missed,,,,,,,,,,Washington,1629023.0,,,,,,,
34,PT10M38.00S,2023-02-05T18:12:19.1Z,1,REGULAR,block,,[],1629023,,,1610612753,4,2,2023-02-05T18:14:10Z,165000,False,,,0,,P. Washington BLOCK (1 BLK),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M38.00S,2023-02-05T18:12:19.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,4,2,2023-02-05T18:14:10Z,170000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,16.0,,,,,,
18,PT10M32.00S,2023-02-05T18:12:42.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628976,28.33442838370565,79.41176470588235,1610612753,4,2,2023-02-05T18:12:48Z,180000,False,-147.0,214.0,1,left,MISS W. Carter Jr. 25' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Left Center,25.95,Missed,,,,,,,,,,,,,,,,,,
19,PT10M30.00S,2023-02-05T18:12:44.4Z,1,REGULAR,rebound,offensive,[],1631094,,,1610612753,4,2,2023-02-05T18:12:44Z,190000,False,,,0,,P. Banchero REBOUND (Off:1 Def:0),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,18.0,1.0,0.0,1.0,,,
20,PT10M20.00S,2023-02-05T18:12:54.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628976,7.835085413929041,75.98039215686273,1610612753,4,2,2023-02-05T18:13:00Z,200000,False,-130.0,21.0,1,left,MISS W. Carter Jr. 13' pullup Shot,[1628976],1610612753.0,ORL,pullup,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,8-16 Left,13.16,Missed,,,,,,,,,,,,,,,,,,
21,PT10M18.00S,2023-02-05T18:12:56.5Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,4,2,2023-02-05T18:13:00Z,210000,False,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,
22,PT10M13.00S,2023-02-05T18:13:01.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630163,71.17279894875165,75.73529411764706,1610612766,4,2,2023-02-05T18:15:43Z,220000,False,129.0,218.0,1,right,MISS L. Ball 25' running pullup 3PT,[1630163],1610612766.0,CHA,running pullup,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,25.36,Missed,,,,,,,,,,,,,,,,,,
23,PT10M10.00S,2023-02-05T18:13:04.4Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,4,2,2023-02-05T18:13:07Z,230000,False,,,0,,P. Banchero REBOUND (Off:1 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,22.0,2.0,1.0,1.0,,,
24,PT09M56.00S,2023-02-05T18:13:18.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631094,11.645860709592641,44.85294117647059,1610612753,4,4,2023-02-05T18:13:22Z,240000,False,26.0,57.0,1,left,P. Banchero 6' fadeaway Jump Shot (2 PTS),[1631094],1610612753.0,ORL,fadeaway,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,6.25,Made,2.0,,,,,,,,,,,,,,,,,
