actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-01-03T00:10:16.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-03T00:10:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2023-01-03T00:10:21.8Z,1,REGULAR,jumpball,recovered,[],1629023,,,1610612766,0,0,2023-01-03T00:10:21Z,40000,False,,,0,,Jump Ball M. Plumlee vs. T. Bryant: Tip to P. Washington,"[1629023, 203486, 1628418]",1610612766.0,CHA,startperiod,P. Washington,1629023.0,Washington,P. Washington,Plumlee,203486.0,Bryant,1628418.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2023-01-03T00:10:29.9Z,1,REGULAR,turnover,palming,[],1630163,,,1610612766,0,0,2023-01-03T00:10:37Z,70000,False,,,0,,L. Ball palming TURNOVER (1 TO),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,In The Paint (Non-RA),8-16 Right,202901.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2023-01-03T00:10:52.7Z,1,REGULAR,turnover,bad pass,[],201976,,,1610612747,0,0,2023-01-03T00:10:58Z,80000,False,,,0,,P. Beverley bad pass TURNOVER (1 TO),"[201976, 1630163]",1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,In The Paint (Non-RA),0-8 Center,,1.0,Ball,1630163.0,,,,,,,,,,,,,,,,
9,PT11M34.00S,2023-01-03T00:10:52.7Z,1,REGULAR,steal,,[],1630163,,,1610612766,0,0,2023-01-03T00:10:55Z,90000,False,,,0,,L. Ball STEAL (1 STL),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M29.00S,2023-01-03T00:10:57.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203486,6.1268068331143235,50.245098039215684,1610612766,2,0,2023-01-03T00:11:02Z,100000,False,-1.0,5.0,1,left,M. Plumlee running Layup (2 PTS),[203486],1610612766.0,CHA,running,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,,,,,0.52,Made,2.0,,,,,,,,,,,,,
12,PT11M07.00S,2023-01-03T00:11:22.5Z,1,REGULAR,turnover,out-of-bounds,[],2544,,,1610612747,2,0,2023-01-03T00:11:30Z,120000,False,,,0,,L. James bad pass out-of-bounds TURNOVER (1 TO),[2544],1610612747.0,LAL,bad pass,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,2004.0,1.0,,,,,,,,,,,,,,,,,,
13,PT10M50.00S,2023-01-03T00:11:43.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202330,12.697109067017081,62.254901960784316,1610612766,2,0,2023-01-03T00:12:50Z,130000,False,-61.0,67.0,1,left,MISS G. Hayward 9' pullup bank Shot,[202330],1610612766.0,CHA,pullup bank,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),8-16 Left,,,,,9.07,Missed,,,,,,,,,,,,,,
14,PT10M48.00S,2023-01-03T00:11:45.3Z,1,REGULAR,rebound,defensive,[],1628418,,,1610612747,2,0,2023-01-03T00:11:47Z,140000,False,,,0,,T. Bryant REBOUND (Off:0 Def:1),[1628418],1610612747.0,LAL,,,,Bryant,T. Bryant,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,
15,PT10M45.00S,2023-01-03T00:11:48.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201976,79.71419185282524,6.372549019607843,1610612747,2,3,2023-01-03T00:13:50Z,150000,False,-218.0,138.0,1,right,P. Beverley 25' 3PT running (3 PTS) (L. James 1 AST),"[201976, 2544]",1610612747.0,LAL,running,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Left Center,,,,,25.82,Made,3.0,,,,,L. James,2544.0,1.0,,,,,,
17,PT10M25.00S,2023-01-03T00:12:08.0Z,1,REGULAR,3pt,Jump Shot,[],1629023,8.623521681997373,3.431372549019608,1610612766,2,3,2023-01-03T00:12:12Z,170000,False,233.0,29.0,1,left,MISS P. Washington 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Right Corner 3,24+ Right,,,,,23.46,Missed,,,,,,,,,,,,,,
18,PT10M22.00S,2023-01-03T00:12:11.0Z,1,REGULAR,rebound,defensive,[],203471,,,1610612747,2,3,2023-01-03T00:12:12Z,180000,False,,,0,,D. Schroder REBOUND (Off:0 Def:1),[203471],1610612747.0,LAL,,,,Schroder,D. Schroder,,,,,Right Corner 3,24+ Right,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,
