shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
10:39,17,PT10M39.00S,2022-12-10T00:11:43.0Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,2,2,2022-12-10T00:11:47Z,170000,False,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],3,1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Center,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,
10:31,18,PT10M31.00S,2022-12-10T00:11:51.9Z,1,REGULAR,3pt,Jump Shot,[],1626162,96.13994743758212,97.30392156862744,1610612766,5,2,2022-12-10T00:11:55Z,180000,False,237.0,-16.0,1,right,K. Oubre Jr. 3PT  (3 PTS) (T. Rozier 1 AST),"[1626162, 1626179]",12,1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Right Corner 3,24+ Right,,,,,,23.71,Made,,,,,3.0,T. Rozier,1626179.0,1.0,,,,,
10:14,20,PT10M14.00S,2022-12-10T00:12:07.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,6.783837056504599,53.67647058823529,1610612752,5,2,2022-12-10T00:12:26Z,200000,False,-18.0,11.0,1,left,MISS R. Barrett driving finger roll Layup,[1629628],9,1610612752.0,NYK,driving finger roll,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,,,,2.16,Missed,,,,,,,,,,,,,
10:10,21,PT10M10.00S,2022-12-10T00:12:11.7Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,5,2,2022-12-10T00:12:15Z,210000,False,,,0,,M. Robinson REBOUND (Off:1 Def:0),[1629011],23,1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,,20.0,1.0,0.0,1.0,,,,,,,,,
10:10,22,PT10M10.00S,2022-12-10T00:12:12.1Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1629011,5.590000152587891,50.0,1610612752,5,4,2022-12-10T00:12:43Z,220000,False,0.0,0.0,1,left,M. Robinson tip DUNK (4 PTS),[1629011],23,1610612752.0,NYK,tip,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,,,,0.0,Made,,,,,4.0,,,,,,,,
09:58,23,PT09M58.00S,2022-12-10T00:12:27.4Z,1,REGULAR,foul,personal,[],1629628,,,1610612766,5,4,2022-12-10T00:12:36Z,230000,False,,,0,,R. Barrett personal FOUL (1 PF),"[1629628, 203486]",9,1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Mid-Range,16-24 Right Center,2715.0,1.0,0.0,Plumlee,203486.0,,,,,,,,,,,,,,,
09:48,25,PT09M48.00S,2022-12-10T00:12:53.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,91.5407358738502,51.225490196078425,1610612766,5,4,2022-12-10T00:13:14Z,250000,False,6.0,27.0,1,right,MISS T. Rozier driving finger roll Layup,[1626179],3,1610612766.0,CHA,driving finger roll,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,,,,,,2.77,Missed,,,,,,,,,,,,,
09:46,26,PT09M46.00S,2022-12-10T00:12:55.1Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,5,4,2022-12-10T00:12:57Z,260000,False,,,0,,M. Robinson REBOUND (Off:1 Def:1),[1629011],23,1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,,25.0,2.0,1.0,1.0,,,,,,,,,
09:35,27,PT09M35.00S,2022-12-10T00:13:05.3Z,1,REGULAR,3pt,Jump Shot,[],1628973,31.882391590013142,35.294117647058826,1610612752,5,7,2022-12-10T00:13:34Z,270000,False,74.0,247.0,1,left,J. Brunson 25' 3PT pullup (3 PTS) (J. Randle 1 AST),"[1628973, 203944]",11,1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Center,,,,,,25.79,Made,,,,,3.0,J. Randle,203944.0,1.0,,,,,
09:18,29,PT09M18.00S,2022-12-10T00:13:22.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629023,89.17542706964521,50.98039215686274,1610612766,5,7,2022-12-10T00:13:31Z,290000,False,5.0,49.0,1,right,MISS P. Washington driving Hook,[1629023],25,1610612766.0,CHA,driving,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,,,,,,4.95,Missed,,,,,,,,,,,,,
